frame,seed,policy,vram_allocated_mb,vram_max_mb
8,43,error_only,60.052734375,538.40771484375
9,43,error_only,60.07470703125,538.40771484375
10,43,error_only,60.0888671875,538.40771484375
11,43,error_only,60.10888671875,538.40771484375
12,43,error_only,60.12158203125,538.40771484375
13,43,error_only,60.14404296875,538.40771484375
14,43,error_only,60.1552734375,538.40771484375
15,43,error_only,60.1767578125,538.40771484375
16,43,error_only,60.2060546875,538.40771484375
17,43,error_only,60.21728515625,538.40771484375
18,43,error_only,60.23876953125,538.40771484375
19,43,error_only,60.25,538.40771484375
20,43,error_only,60.271484375,538.40771484375
21,43,error_only,60.28515625,538.40771484375
22,43,error_only,60.30517578125,538.40771484375
23,43,error_only,60.318359375,538.40771484375
24,43,error_only,60.34130859375,538.40771484375
25,43,error_only,60.3525390625,538.40771484375
26,43,error_only,60.3740234375,538.40771484375
27,43,error_only,60.38525390625,538.40771484375
28,43,error_only,60.4130859375,538.40771484375
29,43,error_only,60.435546875,538.40771484375
1,43,ours,59.92529296875,538.40771484375
2,43,ours,59.947265625,538.40771484375
3,43,ours,59.95849609375,538.40771484375
4,43,ours,59.986328125,538.40771484375
5,43,ours,60.0087890625,538.40771484375
6,43,ours,60.02001953125,538.40771484375
7,43,ours,60.04150390625,538.40771484375
8,43,ours,60.05517578125,538.40771484375
9,43,ours,60.076171875,538.40771484375
10,43,ours,60.0888671875,538.40771484375
11,43,ours,60.10888671875,538.40771484375
12,43,ours,60.12158203125,538.40771484375
13,43,ours,60.14404296875,538.40771484375
14,43,ours,60.1552734375,538.40771484375
15,43,ours,60.1767578125,538.40771484375
16,43,ours,60.2060546875,538.40771484375
17,43,ours,60.21728515625,538.40771484375
18,43,ours,60.23876953125,538.40771484375
19,43,ours,60.25,538.40771484375
20,43,ours,60.271484375,538.40771484375
21,43,ours,60.28515625,538.40771484375
22,43,ours,60.3056640625,538.40771484375
23,43,ours,60.318359375,538.40771484375
24,43,ours,60.34130859375,538.40771484375
25,43,ours,60.3525390625,538.40771484375
26,43,ours,60.3740234375,538.40771484375
27,43,ours,60.38525390625,538.40771484375
28,43,ours,60.4130859375,538.40771484375
29,43,ours,60.435546875,538.40771484375
1,44,no_op,59.92529296875,538.40771484375
2,44,no_op,59.947265625,538.40771484375
3,44,no_op,59.95849609375,538.40771484375
4,44,no_op,59.986328125,538.40771484375
5,44,no_op,60.0087890625,538.40771484375
6,44,no_op,60.02001953125,538.40771484375
7,44,no_op,60.04150390625,538.40771484375
8,44,no_op,60.0556640625,538.40771484375
9,44,no_op,60.076171875,538.40771484375
10,44,no_op,60.0888671875,538.40771484375
11,44,no_op,60.111328125,538.40771484375
12,44,no_op,60.12255859375,538.40771484375
13,44,no_op,60.14404296875,538.40771484375
14,44,no_op,60.1552734375,538.40771484375
15,44,no_op,60.18310546875,538.40771484375
16,44,no_op,60.2060546875,538.40771484375
17,44,no_op,60.21728515625,538.40771484375
18,44,no_op,60.23876953125,538.40771484375
19,44,no_op,60.25244140625,538.40771484375
20,44,no_op,60.2724609375,538.40771484375
21,44,no_op,60.28564453125,538.40771484375
22,44,no_op,60.3056640625,538.40771484375
23,44,no_op,60.318359375,538.40771484375
24,44,no_op,60.3388671875,538.40771484375
25,44,no_op,60.3515625,538.40771484375
26,44,no_op,60.3740234375,538.40771484375
27,44,no_op,60.38525390625,538.40771484375
28,44,no_op,60.4130859375,538.40771484375
29,44,no_op,60.435546875,538.40771484375
1,44,error_only,59.92529296875,538.40771484375
2,44,error_only,59.947265625,538.40771484375
3,44,error_only,59.95849609375,538.40771484375
4,44,error_only,59.97998046875,538.40771484375
5,44,error_only,59.9912109375,538.40771484375
6,44,error_only,60.01904296875,538.40771484375
7,44,error_only,60.04150390625,538.40771484375
8,44,error_only,60.052734375,538.40771484375
9,44,error_only,60.07470703125,538.40771484375
10,44,error_only,60.08837890625,538.40771484375
11,44,error_only,60.1083984375,538.40771484375
12,44,error_only,60.12109375,538.40771484375
13,44,error_only,60.1416015625,538.40771484375
14,44,error_only,60.154296875,538.40771484375
15,44,error_only,60.1767578125,538.40771484375
16,44,error_only,60.18798828125,538.40771484375
17,44,error_only,60.2099609375,538.40771484375
18,44,error_only,60.22119140625,538.40771484375
19,44,error_only,60.2490234375,538.40771484375
20,44,error_only,60.271484375,538.40771484375
21,44,error_only,60.28271484375,538.40771484375
22,44,error_only,60.30419921875,538.40771484375
23,44,error_only,60.31787109375,538.40771484375
24,44,error_only,60.33837890625,538.40771484375
25,44,error_only,60.3515625,538.40771484375
26,44,error_only,60.37158203125,538.40771484375
27,44,error_only,60.38427734375,538.40771484375
28,44,error_only,60.40673828125,538.40771484375
29,44,error_only,60.41796875,538.40771484375
1,44,ours,59.92529296875,538.40771484375
2,44,ours,59.947265625,538.40771484375
3,44,ours,59.95849609375,538.40771484375
4,44,ours,59.97998046875,538.40771484375
5,44,ours,60.0087890625,538.40771484375
6,44,ours,60.02001953125,538.40771484375
7,44,ours,60.04150390625,538.40771484375
8,44,ours,60.05517578125,538.40771484375
9,44,ours,60.076171875,538.40771484375
10,44,ours,60.0888671875,538.40771484375
11,44,ours,60.111328125,538.40771484375
12,44,ours,60.12255859375,538.40771484375
13,44,ours,60.14404296875,538.40771484375
14,44,ours,60.1552734375,538.40771484375
15,44,ours,60.1767578125,538.40771484375
16,44,ours,60.18798828125,538.40771484375
17,44,ours,60.21630859375,538.40771484375
18,44,ours,60.23876953125,538.40771484375
19,44,ours,60.25,538.40771484375
20,44,ours,60.271484375,538.40771484375
21,44,ours,60.28515625,538.40771484375
22,44,ours,60.30517578125,538.40771484375
23,44,ours,60.31787109375,538.40771484375
24,44,ours,60.3388671875,538.40771484375
25,44,ours,60.3515625,538.40771484375
26,44,ours,60.3740234375,538.40771484375
27,44,ours,60.38525390625,538.40771484375
28,44,ours,60.40673828125,538.40771484375
29,44,ours,60.41796875,538.40771484375
1,45,no_op,59.92529296875,538.40771484375
2,45,no_op,59.947265625,538.40771484375
3,45,no_op,59.97607421875,538.40771484375
4,45,no_op,59.9873046875,538.40771484375
5,45,no_op,60.0087890625,538.40771484375
6,45,no_op,60.02001953125,538.40771484375
7,45,no_op,60.04150390625,538.40771484375
8,45,no_op,60.05517578125,538.40771484375
9,45,no_op,60.076171875,538.40771484375
10,45,no_op,60.0888671875,538.40771484375
11,45,no_op,60.10888671875,538.40771484375
12,45,no_op,60.12158203125,538.40771484375
13,45,no_op,60.14404296875,538.40771484375
14,45,no_op,60.1552734375,538.40771484375
15,45,no_op,60.1767578125,538.40771484375
16,45,no_op,60.18798828125,538.40771484375
17,45,no_op,60.21630859375,538.40771484375
18,45,no_op,60.23876953125,538.40771484375
19,45,no_op,60.25,538.40771484375
20,45,no_op,60.271484375,538.40771484375
21,45,no_op,60.28515625,538.40771484375
22,45,no_op,60.30517578125,538.40771484375
23,45,no_op,60.318359375,538.40771484375
24,45,no_op,60.34130859375,538.40771484375
25,45,no_op,60.3525390625,538.40771484375
26,45,no_op,60.3740234375,538.40771484375
27,45,no_op,60.38525390625,538.40771484375
28,45,no_op,60.40673828125,538.40771484375
29,45,no_op,60.41796875,538.40771484375
1,45,error_only,59.92529296875,538.40771484375
2,45,error_only,59.947265625,538.40771484375
3,45,error_only,59.95849609375,538.40771484375
4,45,error_only,59.97998046875,538.40771484375
5,45,error_only,60.0087890625,538.40771484375
6,45,error_only,60.02001953125,538.40771484375
7,45,error_only,60.04150390625,538.40771484375
8,45,error_only,60.052734375,538.40771484375
9,45,error_only,60.07470703125,538.40771484375
10,45,error_only,60.08837890625,538.40771484375
11,45,error_only,60.10888671875,538.40771484375
12,45,error_only,60.12158203125,538.40771484375
13,45,error_only,60.14404296875,538.40771484375
14,45,error_only,60.1552734375,538.40771484375
15,45,error_only,60.1767578125,538.40771484375
16,45,error_only,60.2060546875,538.40771484375
17,45,error_only,60.21728515625,538.40771484375
18,45,error_only,60.23876953125,538.40771484375
19,45,error_only,60.25,538.40771484375
20,45,error_only,60.271484375,538.40771484375
21,45,error_only,60.28515625,538.40771484375
22,45,error_only,60.30517578125,538.40771484375
23,45,error_only,60.318359375,538.40771484375
24,45,error_only,60.34130859375,538.40771484375
25,45,error_only,60.3525390625,538.40771484375
26,45,error_only,60.3740234375,538.40771484375
27,45,error_only,60.38525390625,538.40771484375
28,45,error_only,60.4130859375,538.40771484375
29,45,error_only,60.435546875,538.40771484375
1,45,ours,59.92529296875,538.40771484375
2,45,ours,59.947265625,538.40771484375
3,45,ours,59.95849609375,538.40771484375
4,45,ours,59.986328125,538.40771484375
5,45,ours,60.0087890625,538.40771484375
6,45,ours,60.02001953125,538.40771484375
7,45,ours,60.04150390625,538.40771484375
8,45,ours,60.0556640625,538.40771484375
9,45,ours,60.07861328125,538.40771484375
10,45,ours,60.08984375,538.40771484375
11,45,ours,60.11767578125,538.40771484375
12,45,ours,60.14013671875,538.40771484375
13,45,ours,60.1513671875,538.40771484375
14,45,ours,60.1728515625,538.40771484375
15,45,ours,60.18408203125,538.40771484375
16,45,ours,60.2060546875,538.40771484375
17,45,ours,60.2197265625,538.40771484375
18,45,ours,60.23974609375,538.40771484375
19,45,ours,60.2529296875,538.40771484375
20,45,ours,60.27294921875,538.40771484375
21,45,ours,60.28564453125,538.40771484375
22,45,ours,60.30810546875,538.40771484375
23,45,ours,60.3193359375,538.40771484375
24,45,ours,60.34130859375,538.40771484375
25,45,ours,60.3525390625,538.40771484375
26,45,ours,60.38037109375,538.40771484375
27,45,ours,60.40283203125,538.40771484375
28,45,ours,60.4140625,538.40771484375
29,45,ours,60.435546875,538.40771484375
1,46,no_op,59.92529296875,538.40771484375
2,46,no_op,59.947265625,538.40771484375
3,46,no_op,59.97607421875,538.40771484375
4,46,no_op,59.9873046875,538.40771484375
5,46,no_op,60.0087890625,538.40771484375
6,46,no_op,60.02001953125,538.40771484375
7,46,no_op,60.04150390625,538.40771484375
8,46,no_op,60.05517578125,538.40771484375
9,46,no_op,60.07568359375,538.40771484375
10,46,no_op,60.0888671875,538.40771484375
11,46,no_op,60.111328125,538.40771484375
12,46,no_op,60.12255859375,538.40771484375
13,46,no_op,60.14404296875,538.40771484375
14,46,no_op,60.1552734375,538.40771484375
15,46,no_op,60.1767578125,538.40771484375
16,46,no_op,60.18798828125,538.40771484375
17,46,no_op,60.2099609375,538.40771484375
18,46,no_op,60.23876953125,538.40771484375
19,46,no_op,60.25,538.40771484375
20,46,no_op,60.271484375,538.40771484375
21,46,no_op,60.28271484375,538.40771484375
22,46,no_op,60.30419921875,538.40771484375
23,46,no_op,60.31787109375,538.40771484375
24,46,no_op,60.33837890625,538.40771484375
25,46,no_op,60.35107421875,538.40771484375
26,46,no_op,60.37158203125,538.40771484375
27,46,no_op,60.38427734375,538.40771484375
28,46,no_op,60.40673828125,538.40771484375
29,46,no_op,60.41796875,538.40771484375
1,46,error_only,61.90185546875,538.40771484375
2,46,error_only,61.9287109375,538.40771484375
3,46,error_only,61.96337890625,538.40771484375
4,46,error_only,61.9775390625,538.40771484375
5,46,error_only,62.00390625,538.40771484375
6,46,error_only,62.02197265625,538.40771484375
7,46,error_only,62.04541015625,538.40771484375
8,46,error_only,62.0634765625,538.40771484375
9,46,error_only,62.08740234375,538.40771484375
10,46,error_only,62.1044921875,538.40771484375
11,46,error_only,62.1318359375,538.40771484375
12,46,error_only,62.14599609375,538.40771484375
13,46,error_only,62.17919921875,538.40771484375
14,46,error_only,62.20703125,538.40771484375
15,46,error_only,62.22119140625,538.40771484375
16,46,error_only,62.248046875,538.40771484375
17,46,error_only,62.26611328125,538.40771484375
18,46,error_only,62.29052734375,538.40771484375
19,46,error_only,62.3076171875,538.40771484375
20,46,error_only,62.3349609375,538.40771484375
21,46,error_only,62.34912109375,538.40771484375
22,46,error_only,62.37548828125,538.40771484375
23,46,error_only,62.3896484375,538.40771484375
24,46,error_only,62.42333984375,538.40771484375
25,46,error_only,62.451171875,538.40771484375
26,46,error_only,62.46533203125,538.40771484375
27,46,error_only,62.49169921875,538.40771484375
28,46,error_only,62.509765625,538.40771484375
29,46,error_only,62.5341796875,538.40771484375
1,46,ours,59.92529296875,538.40771484375
2,46,ours,59.947265625,538.40771484375
3,46,ours,59.97607421875,538.40771484375
4,46,ours,59.9873046875,538.40771484375
5,46,ours,62.00390625,538.40771484375
6,46,ours,62.01806640625,538.40771484375
7,46,ours,62.04443359375,538.40771484375
8,46,ours,62.0625,538.40771484375
9,46,ours,62.08740234375,538.40771484375
10,46,ours,62.1044921875,538.40771484375
11,46,ours,62.1318359375,538.40771484375
12,46,ours,62.14599609375,538.40771484375
13,46,ours,62.17236328125,538.40771484375
14,46,ours,62.1865234375,538.40771484375
15,46,ours,62.2197265625,538.40771484375
16,46,ours,62.248046875,538.40771484375
17,46,ours,62.26220703125,538.40771484375
18,46,ours,62.28857421875,538.40771484375
19,46,ours,62.302734375,538.40771484375
20,46,ours,62.3291015625,538.40771484375
21,46,ours,62.34716796875,538.40771484375
22,46,ours,62.37060546875,538.40771484375
23,46,ours,62.388671875,538.40771484375
24,46,ours,62.41650390625,538.40771484375
25,46,ours,62.4306640625,538.40771484375
26,46,ours,62.45703125,538.40771484375
27,46,ours,62.47119140625,538.40771484375
28,46,ours,62.50439453125,538.40771484375
29,46,ours,62.53173828125,538.40771484375
