frame,seed,policy,n_gaussians,n_selected,fraction_selected,predicted_cost,scheduled_cost,budget_ms,jaccard_overlap,rejected_negative_count,norm_drift
2,42,ours,3643,0,0.0,0.0,0.0,15.0,0.0,3642,0.7532743215560913
3,42,ours,3713,0,0.0,0.0,0.0,15.0,0.0,2975,0.6838580369949341
4,42,ours,3781,0,0.0,0.0,0.0,15.0,0.0,3216,0.6217319965362549
5,42,ours,3850,0,0.0,0.0,0.0,15.0,0.0,3365,0.5659587383270264
6,42,ours,3923,0,0.0,0.0,0.0,15.0,0.0,3448,0.5162810683250427
7,42,ours,3989,0,0.0,0.0,0.0,15.0,0.0,3539,0.4717303216457367
8,42,ours,4059,1,0.0002463661000246366,13.629271507263184,14.992198944091797,15.0,0.0,3614,0.43179789185523987
9,42,ours,4127,1,0.000242306760358614,13.085262298583984,14.393789291381836,15.0,0.0,3696,0.3960667550563812
10,42,ours,4195,1,0.00023837902264600716,13.578579902648926,14.93643856048584,15.0,0.0,3783,0.36385297775268555
11,42,ours,4268,1,0.00023430178069353328,13.159809112548828,14.475790023803711,15.0,0.0,3864,0.3361642062664032
12,42,ours,4335,1,0.0002306805074971165,11.478856086730957,12.626742362976074,15.0,0.0,3948,0.314224511384964
13,42,ours,4405,1,0.00022701475595913735,10.955487251281738,12.05103588104248,15.0,0.0,4015,0.29419270157814026
14,42,ours,4480,1,0.0002232142857142857,13.398893356323242,14.73878288269043,15.0,0.0,4105,0.2758680582046509
15,42,ours,4545,1,0.00022002200220022002,9.572689056396484,10.52995777130127,15.0,0.0,4174,0.2596612572669983
16,42,ours,4611,1,0.00021687269572760788,9.633319854736328,10.596652030944824,15.0,0.0,4259,0.24476341903209686
17,42,ours,4681,1,0.00021362956633198035,9.374815940856934,10.312297821044922,15.0,0.0,4183,0.23099660873413086
18,42,ours,4749,1,0.0002105706464518846,10.135251998901367,11.14877700805664,15.0,0.0,4132,0.21884675323963165
19,42,ours,4818,1,0.00020755500207555002,8.936017990112305,9.829620361328125,15.0,0.0,4170,0.20761723816394806
20,42,ours,4888,1,0.00020458265139116204,8.763925552368164,9.640317916870117,15.0,0.0,4222,0.19734282791614532
21,42,ours,4951,1,0.00020197939810139365,12.25863265991211,13.484496116638184,15.0,0.0,4288,0.1883164346218109
22,42,ours,5020,1,0.00019920318725099602,12.810328483581543,14.091361999511719,15.0,0.0,4324,0.17988137900829315
23,42,ours,5093,1,0.00019634792852935403,8.139424324035645,8.953367233276367,15.0,0.0,4411,0.17196141183376312
24,42,ours,5163,2,0.0003873716831299632,13.188617706298828,14.507479190826416,15.0,0.0,4461,0.16510754823684692
25,42,ours,5232,1,0.00019113149847094801,13.51367473602295,14.865042686462402,15.0,0.5,4541,0.15888194739818573
26,42,ours,5301,1,0.00018864365214110544,12.667019844055176,13.933722496032715,15.0,0.0,4614,0.15348178148269653
27,42,ours,5368,1,0.00018628912071535022,13.356876373291016,14.692564010620117,15.0,0.0,4641,0.1485895961523056
28,42,ours,5438,1,0.00018389113644722325,12.96104907989502,14.25715446472168,15.0,0.0,4690,0.1440618336200714
29,42,ours,5508,1,0.00018155410312273057,12.850679397583008,14.135747909545898,15.0,0.0,4721,0.13991770148277283
1,42,full,3568,3568,1.0,0.0,0.0,15.0,0.0,0,0.0
2,42,full,3634,3634,1.0,0.0,0.0,15.0,0.0,0,0.0
3,42,full,3707,3707,1.0,0.0,0.0,15.0,0.0,0,0.0
4,42,full,3777,3777,1.0,0.0,0.0,15.0,0.0,0,0.0
5,42,full,3847,3847,1.0,0.0,0.0,15.0,0.0,0,0.0
6,42,full,3917,3917,1.0,0.0,0.0,15.0,0.0,0,0.0
7,42,full,3988,3988,1.0,0.0,0.0,15.0,0.0,0,0.0
8,42,full,4056,4056,1.0,0.0,0.0,15.0,0.0,0,0.0
9,42,full,4127,4127,1.0,0.0,0.0,15.0,0.0,0,0.0
10,42,full,4200,4200,1.0,0.0,0.0,15.0,0.0,0,0.0
11,42,full,4271,4271,1.0,0.0,0.0,15.0,0.0,0,0.0
12,42,full,4342,4342,1.0,0.0,0.0,15.0,0.0,0,0.0
13,42,full,4408,4408,1.0,0.0,0.0,15.0,0.0,0,0.0
14,42,full,4471,4471,1.0,0.0,0.0,15.0,0.0,0,0.0
15,42,full,4538,4538,1.0,0.0,0.0,15.0,0.0,0,0.0
16,42,full,4606,4606,1.0,0.0,0.0,15.0,0.0,0,0.0
17,42,full,4671,4671,1.0,0.0,0.0,15.0,0.0,0,0.0
18,42,full,4744,4744,1.0,0.0,0.0,15.0,0.0,0,0.0
19,42,full,4812,4812,1.0,0.0,0.0,15.0,0.0,0,0.0
20,42,full,4882,4882,1.0,0.0,0.0,15.0,0.0,0,0.0
21,42,full,4946,4946,1.0,0.0,0.0,15.0,0.0,0,0.0
22,42,full,5017,5017,1.0,0.0,0.0,15.0,0.0,0,0.0
23,42,full,5087,5087,1.0,0.0,0.0,15.0,0.0,0,0.0
24,42,full,5157,5157,1.0,0.0,0.0,15.0,0.0,0,0.0
25,42,full,5228,5228,1.0,0.0,0.0,15.0,0.0,0,0.0
26,42,full,5296,5296,1.0,0.0,0.0,15.0,0.0,0,0.0
27,42,full,5369,5369,1.0,0.0,0.0,15.0,0.0,0,0.0
28,42,full,5434,5434,1.0,0.0,0.0,15.0,0.0,0,0.0
29,42,full,5505,5505,1.0,0.0,0.0,15.0,0.0,0,0.0
1,43,no_op,3572,0,0.0,0.0,0.0,15.0,0.0,0,0.0
2,43,no_op,3648,0,0.0,0.0,0.0,15.0,0.0,0,0.0
3,43,no_op,3715,0,0.0,0.0,0.0,15.0,0.0,0,0.0
4,43,no_op,3787,0,0.0,0.0,0.0,15.0,0.0,0,0.0
5,43,no_op,3852,0,0.0,0.0,0.0,15.0,0.0,0,0.0
6,43,no_op,3920,0,0.0,0.0,0.0,15.0,0.0,0,0.0
7,43,no_op,3989,0,0.0,0.0,0.0,15.0,0.0,0,0.0
8,43,no_op,4053,0,0.0,0.0,0.0,15.0,0.0,0,0.0
9,43,no_op,4127,0,0.0,0.0,0.0,15.0,0.0,0,0.0
10,43,no_op,4197,0,0.0,0.0,0.0,15.0,0.0,0,0.0
11,43,no_op,4269,0,0.0,0.0,0.0,15.0,0.0,0,0.0
12,43,no_op,4341,0,0.0,0.0,0.0,15.0,0.0,0,0.0
13,43,no_op,4409,0,0.0,0.0,0.0,15.0,0.0,0,0.0
14,43,no_op,4479,0,0.0,0.0,0.0,15.0,0.0,0,0.0
15,43,no_op,4551,0,0.0,0.0,0.0,15.0,0.0,0,0.0
16,43,no_op,4622,0,0.0,0.0,0.0,15.0,0.0,0,0.0
17,43,no_op,4687,0,0.0,0.0,0.0,15.0,0.0,0,0.0
18,43,no_op,4758,0,0.0,0.0,0.0,15.0,0.0,0,0.0
19,43,no_op,4823,0,0.0,0.0,0.0,15.0,0.0,0,0.0
20,43,no_op,4895,0,0.0,0.0,0.0,15.0,0.0,0,0.0
21,43,no_op,4962,0,0.0,0.0,0.0,15.0,0.0,0,0.0
22,43,no_op,5029,0,0.0,0.0,0.0,15.0,0.0,0,0.0
23,43,no_op,5100,0,0.0,0.0,0.0,15.0,0.0,0,0.0
24,43,no_op,5165,0,0.0,0.0,0.0,15.0,0.0,0,0.0
25,43,no_op,5238,0,0.0,0.0,0.0,15.0,0.0,0,0.0
26,43,no_op,5301,0,0.0,0.0,0.0,15.0,0.0,0,0.0
27,43,no_op,5374,0,0.0,0.0,0.0,15.0,0.0,0,0.0
28,43,no_op,5448,0,0.0,0.0,0.0,15.0,0.0,0,0.0
29,43,no_op,5519,0,0.0,0.0,0.0,15.0,0.0,0,0.0
1,43,error_only,3573,0,0.0,0.0,0.0,15.0,0.0,0,0.0
2,43,error_only,3640,0,0.0,0.0,0.0,15.0,0.0,0,0.0
3,43,error_only,3710,0,0.0,0.0,0.0,15.0,0.0,0,0.0
4,43,error_only,3779,0,0.0,0.0,0.0,15.0,0.0,0,0.0
5,43,error_only,3849,0,0.0,0.0,0.0,15.0,0.0,0,0.0
6,43,error_only,3918,0,0.0,0.0,0.0,15.0,0.0,0,0.0
7,43,error_only,3984,0,0.0,0.0,0.0,15.0,0.0,0,0.0
8,43,error_only,4053,0,0.0,0.0,0.0,15.0,0.0,0,0.0
9,43,error_only,4124,0,0.0,0.0,0.0,15.0,0.0,0,0.0
10,43,error_only,4193,0,0.0,0.0,0.0,15.0,0.0,0,0.0
11,43,error_only,4266,0,0.0,0.0,0.0,15.0,0.0,0,0.0
12,43,error_only,4332,0,0.0,0.0,0.0,15.0,0.0,0,0.0
13,43,error_only,4404,0,0.0,0.0,0.0,15.0,0.0,0,0.0
14,43,error_only,4472,0,0.0,0.0,0.0,15.0,0.0,0,0.0
15,43,error_only,4544,0,0.0,0.0,0.0,15.0,0.0,0,0.0
16,43,error_only,4612,0,0.0,0.0,0.0,15.0,0.0,0,0.0
17,43,error_only,4676,0,0.0,0.0,0.0,15.0,0.0,0,0.0
18,43,error_only,4747,0,0.0,0.0,0.0,15.0,0.0,0,0.0
19,43,error_only,4815,0,0.0,0.0,0.0,15.0,0.0,0,0.0
20,43,error_only,4891,0,0.0,0.0,0.0,15.0,0.0,0,0.0
21,43,error_only,4960,0,0.0,0.0,0.0,15.0,0.0,0,0.0
22,43,error_only,5024,0,0.0,0.0,0.0,15.0,0.0,0,0.0
23,43,error_only,5093,0,0.0,0.0,0.0,15.0,0.0,0,0.0
24,43,error_only,5163,0,0.0,0.0,0.0,15.0,0.0,0,0.0
25,43,error_only,5233,0,0.0,0.0,0.0,15.0,0.0,0,0.0
26,43,error_only,5304,0,0.0,0.0,0.0,15.0,0.0,0,0.0
27,43,error_only,5372,0,0.0,0.0,0.0,15.0,0.0,0,0.0
28,43,error_only,5444,0,0.0,0.0,0.0,15.0,0.0,0,0.0
29,43,error_only,5515,0,0.0,0.0,0.0,15.0,0.0,0,0.0
1,43,ours,3572,0,0.0,0.0,0.0,15.0,0.0,2153,0.8310185074806213
2,43,ours,3641,0,0.0,0.0,0.0,15.0,0.0,856,0.7532497644424438
3,43,ours,3712,0,0.0,0.0,0.0,15.0,0.0,595,0.6838620901107788
4,43,ours,3779,0,0.0,0.0,0.0,15.0,0.0,626,0.6216552257537842
5,43,ours,3848,0,0.0,0.0,0.0,15.0,0.0,883,0.5659055113792419
6,43,ours,3918,0,0.0,0.0,0.0,15.0,0.0,1249,0.5161492824554443
7,43,ours,3993,0,0.0,0.0,0.0,15.0,0.0,1656,0.4716727137565613
8,43,ours,4061,0,0.0,0.0,0.0,15.0,0.0,2300,0.4318787753582001
9,43,ours,4132,0,0.0,0.0,0.0,15.0,0.0,2802,0.3960776627063751
10,43,ours,4196,0,0.0,0.0,0.0,15.0,0.0,2962,0.3641511797904968
11,43,ours,4261,0,0.0,0.0,0.0,15.0,0.0,3003,0.33635714650154114
12,43,ours,4327,0,0.0,0.0,0.0,15.0,0.0,3061,0.3142564296722412
13,43,ours,4402,0,0.0,0.0,0.0,15.0,0.0,3024,0.2941024899482727
14,43,ours,4472,0,0.0,0.0,0.0,15.0,0.0,2993,0.2760906219482422
15,43,ours,4539,0,0.0,0.0,0.0,15.0,0.0,2955,0.2596547305583954
16,43,ours,4612,0,0.0,0.0,0.0,15.0,0.0,2864,0.24460242688655853
17,43,ours,4683,0,0.0,0.0,0.0,15.0,0.0,2787,0.2311495840549469
18,43,ours,4752,0,0.0,0.0,0.0,15.0,0.0,2771,0.2189502716064453
19,43,ours,4821,0,0.0,0.0,0.0,15.0,0.0,2691,0.20768465101718903
20,43,ours,4888,0,0.0,0.0,0.0,15.0,0.0,2642,0.1975008100271225
21,43,ours,4951,0,0.0,0.0,0.0,15.0,0.0,2549,0.18842417001724243
22,43,ours,5026,0,0.0,0.0,0.0,15.0,0.0,2413,0.17953486740589142
23,43,ours,5092,0,0.0,0.0,0.0,15.0,0.0,2401,0.17232002317905426
24,43,ours,5166,0,0.0,0.0,0.0,15.0,0.0,2354,0.16491033136844635
25,43,ours,5236,0,0.0,0.0,0.0,15.0,0.0,2326,0.15893782675266266
26,43,ours,5308,0,0.0,0.0,0.0,15.0,0.0,2237,0.15355922281742096
27,43,ours,5376,0,0.0,0.0,0.0,15.0,0.0,2181,0.14875294268131256
28,43,ours,5444,0,0.0,0.0,0.0,15.0,0.0,2148,0.14411257207393646
29,43,ours,5516,0,0.0,0.0,0.0,15.0,0.0,2081,0.13987521827220917
1,44,no_op,3575,0,0.0,0.0,0.0,15.0,0.0,0,0.0
2,44,no_op,3641,0,0.0,0.0,0.0,15.0,0.0,0,0.0
3,44,no_op,3711,0,0.0,0.0,0.0,15.0,0.0,0,0.0
4,44,no_op,3785,0,0.0,0.0,0.0,15.0,0.0,0,0.0
5,44,no_op,3857,0,0.0,0.0,0.0,15.0,0.0,0,0.0
6,44,no_op,3925,0,0.0,0.0,0.0,15.0,0.0,0,0.0
7,44,no_op,3998,0,0.0,0.0,0.0,15.0,0.0,0,0.0
8,44,no_op,4067,0,0.0,0.0,0.0,15.0,0.0,0,0.0
9,44,no_op,4137,0,0.0,0.0,0.0,15.0,0.0,0,0.0
10,44,no_op,4204,0,0.0,0.0,0.0,15.0,0.0,0,0.0
11,44,no_op,4268,0,0.0,0.0,0.0,15.0,0.0,0,0.0
12,44,no_op,4338,0,0.0,0.0,0.0,15.0,0.0,0,0.0
13,44,no_op,4406,0,0.0,0.0,0.0,15.0,0.0,0,0.0
14,44,no_op,4474,0,0.0,0.0,0.0,15.0,0.0,0,0.0
15,44,no_op,4548,0,0.0,0.0,0.0,15.0,0.0,0,0.0
16,44,no_op,4617,0,0.0,0.0,0.0,15.0,0.0,0,0.0
17,44,no_op,4691,0,0.0,0.0,0.0,15.0,0.0,0,0.0
18,44,no_op,4755,0,0.0,0.0,0.0,15.0,0.0,0,0.0
19,44,no_op,4827,0,0.0,0.0,0.0,15.0,0.0,0,0.0
20,44,no_op,4895,0,0.0,0.0,0.0,15.0,0.0,0,0.0
21,44,no_op,4962,0,0.0,0.0,0.0,15.0,0.0,0,0.0
