frame,seed,policy,t_extract_ms,t_a1_ms,t_b2_norm_ms,t_infer_ms,t_knapsack_ms,t_selection_total_ms,t_cache_ms,actual_opt_ms,t_statestore_update_ms,t_render_and_overhead_ms,frame_wall_ms
3,42,error_only,0.30031100004634936,0.27996100016025594,0.047901000016281614,0.3000080000674643,0.4242289996909676,1.4830159998382442,182.8939914703369,10.119199752807617,0.346668000020145,5883.347614776994,6078.190489999997
4,42,error_only,0.3152320000481268,0.29678700002477854,0.08174699996743584,0.2979639998557104,0.4574269996737712,1.5831789996809675,197.37887382507324,7.335424423217773,0.3603929999371758,5784.213079752135,5990.870950000044
5,42,error_only,0.3216609998162312,0.3056549999200797,0.07803900007274933,0.36162000014883233,0.4641799996534246,1.6771730001892138,203.14717292785645,8.971929550170898,0.3827590003311343,5917.3863435216845,6131.565378000232
6,42,error_only,0.3034500000467233,0.26719099969341187,0.061021000419714255,0.2998559998559358,0.44399399985195487,1.5066590003698366,192.230224609375,5.539655685424805,0.38026499987608986,5859.004690705206,6058.661495000251
7,42,error_only,0.3239249999751337,0.2891809999709949,0.0677739999446203,0.36130299986325554,0.4717420001725259,1.6588030002822052,193.54557991027832,9.26518440246582,0.353496000116138,6015.2827036868075,6220.10576699995
8,42,error_only,0.3183290000379202,0.35337700001036865,0.09338299969385844,0.3539009999258269,0.5426580000857939,1.818708999962837,213.68956565856934,11.56926155090332,0.32724500033509685,5903.906067790103,6131.310848999874
9,42,error_only,0.295963000098709,0.2878029999919818,0.08810600002107094,0.33385400001861854,0.5110020001666271,1.6563789999963774,202.31938362121582,6.528615951538086,0.37146400018173154,5886.16025042711,6097.0360930000425
10,42,error_only,0.33267700018768664,0.27288100000077975,0.05623600009130314,0.29333500015127356,0.48044799996205256,1.5652780002710642,198.90236854553223,9.129524230957031,0.34170999970228877,5865.921660223648,6075.860541000111
11,42,error_only,0.28729900031976285,0.28777099987564725,0.058680000165622914,0.2940260001196293,0.4890529999102,1.5572289998999622,187.72029876708984,7.982969284057617,0.3527499998199346,5989.895988949229,6187.509236000096
12,42,error_only,0.30574099992008996,0.30552599992006435,0.08235599989347975,0.3327600002194231,0.5081350000182283,1.6709849996914272,201.74741744995117,8.186101913452148,0.322978999975021,5989.616792637207,6201.544276000277
13,42,error_only,0.34451800001988886,0.28770800008715014,0.060226999721635366,0.35649099982038024,0.5266819998723804,1.725468999666191,195.27173042297363,5.327463150024414,0.4059120001329575,5954.977751427123,6157.70832599992
14,42,error_only,0.3611920001276303,0.3006090000781114,0.06279599983827211,0.35541500028557493,0.5415069999799016,1.7687210001895437,221.588134765625,6.222009658813477,0.363038999694254,6329.885568575719,6559.827473000041
15,42,error_only,0.3285620000497147,0.33931200005099527,0.08355299996765098,0.342011000157072,0.6821549995947862,2.0359149998512294,215.56878089904785,8.646965026855469,0.3172529995936202,6287.300784074432,6513.86969799978
16,42,error_only,0.3197159999217547,0.29492199973901734,0.07867799968153122,0.3381800001989177,0.6122770000729361,1.8901550001828582,217.89121627807617,5.56635856628418,0.35726699979932164,6383.499794155796,6609.204791000138
17,42,error_only,0.3428679997341533,0.3227079996577231,0.07101900018824381,0.35048100016865646,0.6216669999048463,1.9676669999171281,276.63636207580566,7.281780242919922,0.3954960002374719,6763.85380568081,7050.13511099969
18,42,error_only,0.3055470001527283,0.2885809999497724,0.06096299966884544,0.31552700011161505,0.5553799996960151,1.6636679997645842,214.11871910095215,9.432554244995117,0.34310900036871317,6463.545218653962,6689.103269000043
19,42,error_only,0.3393689999029448,0.3358789999765577,0.09365000005345792,0.3430480001043179,0.6271519996516872,2.6876179999817396,233.02507400512695,9.066343307495117,0.4377780001050269,6394.882858687197,6640.099671999906
20,42,error_only,0.3100869998888811,0.317225999879156,0.08499500017933315,0.34944100025313674,0.5994460002511914,1.9166710003446497,234.1620922088623,9.886026382446289,0.35453300006338395,6967.591577408257,7213.9108999999735
21,42,error_only,0.34662799998841365,0.3173170002810366,0.10293000013916753,0.3711199997269432,0.6264170001486491,2.011954999943555,234.18331146240234,6.7119598388671875,0.391126000067743,6880.994860698593,7124.2932129998735
22,42,error_only,0.3455500000200118,0.36476500008575385,0.07182299987107399,0.3557869999895047,0.6457829999817477,2.0527330002551025,245.9430694580078,8.152008056640625,0.3732769996531715,6926.7276764853705,7183.248763999927
23,42,error_only,0.34148299982916797,0.3532270002324367,0.06222000001798733,0.3343869998388982,0.5980979999549163,1.827543999752379,219.52438354492188,6.040334701538086,0.33037499997590203,6732.951882753696,6960.674519999884
24,42,error_only,0.30608499992013094,0.29562300005636644,0.07150600004024454,0.31106400001590373,0.5733699999836972,1.692200999968918,214.94030952453613,8.132457733154297,0.3517589998409676,6392.079765742892,6617.196493000392
25,42,error_only,0.3181269999004144,0.32214499969995813,0.10814799998115632,0.3553810001903912,0.6128930003796995,1.9564690001061535,220.4594612121582,9.414434432983398,0.34288299957552226,6640.608601355325,6872.781849000148
26,42,error_only,0.35431500009508454,0.3087579998464207,0.08704499987288727,0.3401730000405223,0.677735999943252,2.013109000017721,248.28100204467773,6.526708602905273,0.40036399968812475,7040.648797352787,7297.869981000076
27,42,error_only,0.3256760001022485,0.35261399989394704,0.08075799996731803,0.3509170001052553,0.6855000001451117,2.047512999979517,249.7422695159912,9.858846664428711,0.39931199989950983,7335.806335819598,7597.854276999897
28,42,error_only,0.32366300001740456,0.3146110002489877,0.08331099979841383,0.3233520001231227,0.635085000340041,1.9227669999963837,233.28638076782227,8.870124816894531,0.3525329998410598,7332.277651415552,7576.709457000106
29,42,error_only,0.28553300035127904,0.341677000051277,0.13069999977233238,0.46733099998164107,0.6451730000662792,2.4743700000726676,308.5904121398926,6.279945373535156,0.41728499991222634,7321.247686486458,7639.009698999871
1,42,ours,0.31054400005814387,0.28544899987537065,0.36127100020166836,0.44407800032786326,0.4803229999197356,2.0256439997865527,198.48322868347168,11.842012405395508,0.37311799997041817,5931.554147911356,6144.27815099998
2,42,ours,0.3442649999669811,0.3107290003754315,0.3173710001647123,0.5133419999765465,0.47230500013029086,2.0576169999912963,0.0,0.0,0.327716000356304,5887.243731999661,5889.629065000008
3,42,ours,0.2986770000461547,0.28239699986443156,0.2808080002978386,0.2704809999158897,0.46806699992885115,1.6795460001048923,0.0,0.0,0.2569279999988794,5671.669303000272,5673.605777000375
4,42,ours,0.3103169997302757,0.28004199975839583,0.30098400020506233,0.42229900009260746,0.45274000012796023,1.8684000001485401,0.0,0.0,0.27982600022369297,5891.710509999484,5893.858735999856
5,42,ours,0.2912060003836814,0.2797480001390795,0.31604399964635377,0.4114109997317428,0.4930150003019662,1.8789539999488625,0.0,0.0,0.2796970002236776,5757.418929999858,5759.5775810000305
6,42,ours,0.3195290000803652,0.32815899976412766,0.3458179999142885,0.45285699980013305,0.5494470001394802,2.0906089998788957,0.0,0.0,0.30855700015308685,5955.644609999581,5958.043775999613
7,42,ours,0.34211400043204776,0.3216220002286718,0.34894700002041645,0.3880770000250777,0.5482619999384042,2.0445569998628343,0.0,0.0,0.33660899998722016,6018.683388000227,6021.064554000077
8,42,ours,0.3091549997407128,0.31866399967839243,0.34435099996699137,0.32054700022854377,0.6034629996065632,2.1708710000893916,208.9710235595703,11.333703994750977,0.3627920000326412,6081.932195445461,6304.770585999904
9,42,ours,0.2857449999282835,0.2578009998615016,0.30716600031155394,0.4014090000055148,0.4741560001093603,1.863660999788408,197.01433181762695,14.013051986694336,0.3783570000450709,6287.4594781960695,6500.728880000224
10,42,ours,0.31163300036496366,0.2806049997161608,0.48696400017433916,0.3261189999648195,0.5366840000533557,2.082122000047093,215.81244468688965,22.369384765625,0.36830999988524127,6376.302886547364,6616.935147999811
11,42,ours,0.35266499980934896,0.32610800008114893,0.3976570001213986,0.4575240000121994,0.5724140000893385,2.2544109997397754,218.91331672668457,11.679887771606445,0.3998209999735991,6617.184871502104,6850.432308000109
12,42,ours,0.3289480000603362,0.328503000218916,0.3339620002407173,0.43232100006207475,0.5196229999455682,2.0924469999954454,203.70984077453613,14.215230941772461,0.37748100021417486,6547.991364283462,6768.38636399998
13,42,ours,0.24670799984960468,0.29485699997167103,0.3383620000931842,0.4012600002170075,0.5306190000737843,1.949189000242768,215.49415588378906,14.174461364746094,0.4390190001686278,6612.387121750999,6844.443946999945
14,42,ours,0.35535600000002887,0.32218899968938786,0.3999290001956979,0.45262699995873845,0.6028289999449044,2.3840449998715485,224.97820854187012,14.715194702148438,0.37185600012890063,6299.622485755663,6542.071789999682
15,42,ours,0.3377029997864156,0.32884100028240937,0.38700000004610047,0.4432180003277608,0.6171139998514263,2.2575870002583542,229.3860912322998,14.474630355834961,0.3699039998537046,6479.582766411568,6726.0709789998145
16,42,ours,0.3145669998048106,0.3218520000700664,0.34776500024236157,0.41596799974286114,0.528620000295632,2.0692469997811713,212.6479148864746,14.647245407104492,0.3285869997853297,6660.241683707227,6889.9346780003725
17,42,ours,0.3639189999375958,0.32824200025061145,0.3823820002253342,0.45411400014927494,0.6632650001847651,2.444457999899896,236.4189624786377,10.371923446655273,0.3710639998644183,6415.511372074889,6665.117779999946
18,42,ours,0.3499190002003161,0.3313299998808361,0.418456000261358,0.49698200018610805,0.6395690002136689,2.506387000266841,237.9746437072754,11.457681655883789,0.4347620001681207,6798.544986636443,7050.9184610000375
19,42,ours,0.32959800000753603,0.32687800012354273,0.37300800022421754,0.4212979997646471,0.6139540000731358,2.303646000200388,218.6281681060791,11.178016662597656,0.3405259999453847,6561.705245231224,6794.155602000046
20,42,ours,0.3693429998747888,0.3516750002745539,0.3901090003637364,0.45588400007545715,0.6987639999351813,2.5254060001316248,242.28501319885254,9.948968887329102,0.3370479998920928,6650.182891913573,6905.279327999779
21,42,ours,0.3389749999769265,0.3239349998693797,0.39183499984574155,0.44725399993694737,0.6776430000172695,2.4325819999830856,242.03801155090332,15.98215103149414,0.42507599982855027,7165.4825854175215,7426.360405999731
22,42,ours,0.3284539998276159,0.3187530001014238,0.4212469998492452,0.44959099977859296,0.6997800001045107,3.298352000001614,236.344575881958,18.45097541809082,0.3800670001510298,7066.412734699952,7324.886705000154
23,42,ours,0.3605449996939569,0.32120099967869464,0.42287299993404304,0.45202100000096834,0.5971619998490496,2.3022350001156155,221.30084037780762,8.071184158325195,0.3468220002105227,6992.948744463774,7224.969826000233
24,42,ours,0.3498319997561339,0.3349190001245006,0.41239600022890954,0.446552000084921,0.6903179996697872,2.485476999936509,222.8679656982422,13.567447662353516,0.3633090000221273,6734.891644639447,6974.175844000001
25,42,ours,0.3131459998257924,0.3362099996593315,0.3528719998939778,0.4252550002092903,0.6008290001773275,2.2790759999224974,230.57889938354492,10.686874389648438,0.3399699999135919,7288.713865227237,7532.598685000266
26,42,ours,0.2674870002010721,0.30701700006829924,0.38185200037332834,0.31304499998441315,0.6330900000648398,2.1389019998423464,224.8692512512207,10.879993438720703,0.3854409997074981,7097.75985431088,7336.033442000371
27,42,ours,0.33285100016655633,0.30578400037484244,0.38299499965432915,0.43255099990346935,0.6424969997169683,2.3382499998660933,231.38856887817383,10.614156723022461,0.3489730002002034,7192.655170398666,7437.345118999929
28,42,ours,0.3279750003457593,0.3034950000255776,0.38119000009828596,0.4095239996786404,0.6316640001386986,2.2929950000616373,229.10404205322266,8.210182189941406,0.3449490000093647,6883.071623757132,7123.023792000367
29,42,ours,0.34339399962846073,0.3887560001203383,0.5286890000206768,0.5138700003044505,0.7452869999724498,2.7889819998563325,257.17854499816895,14.917612075805664,0.34416699963912833,6970.341987926531,7245.571294000001
1,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.1769542694092,0.3742480002983939,5649.123688730015,6099.674890999722
2,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.6030578613281,0.47233399982360424,5809.446675138588,6233.52206699974
3,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.61731338500977,0.4518910000115284,6126.302178614878,6577.3713829999
4,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0181369781494,0.5164180001884233,6224.587138021434,6682.121692999772
5,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.2934150695801,0.3990069999417756,6237.832126930698,6670.52454900022
6,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.74010848999023,0.43822800034831744,5987.7160445098525,6428.894381000191
7,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.6075267791748,0.4674229999181989,6254.821914221338,6692.896864000431
8,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.6153964996338,0.5313120000209892,6595.3446085,7056.491316999654
9,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.02839851379395,0.37378700017143274,6529.932184485915,6977.33436999988
10,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.5793933868408,0.4316949998610653,6134.003890613712,6572.014979000414
11,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.41009521484375,1.4188560003276507,6151.7094557848395,6587.538407000011
12,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.6470012664795,0.5790969998997753,6240.08664473331,6686.312742999689
13,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.8645267486572,0.5416760000116483,6267.4327052513945,6771.838908000063
14,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.7385883331299,0.5689139998139581,6653.876628666694,7139.184130999638
15,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.1407661437988,0.44255900002099224,6800.737315856168,7247.3206409999875
16,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.09102058410645,0.5006960000173422,6778.880269415822,7237.471985999946
17,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.7538032531738,0.5349799998839444,6590.229950747016,7046.518734000074
18,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.67679595947266,0.3995530000793224,6719.943918040826,7199.020267000378
19,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.1438674926758,0.48169900037464686,7004.991392506781,7474.616958999832
20,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.1979351043701,0.5396990000008373,6827.183340895772,7277.920975000143
21,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.56615829467773,0.4575689999910537,6661.409130705124,7127.432857999793
22,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.8086643218994,0.6408859999282868,7162.252475678088,7667.702025999915
23,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.2918796539307,0.43358700031603803,6793.5846803457025,7336.310146999949
24,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.1064567565918,0.6914049999977578,6941.981969243443,7414.779831000033
25,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0238437652588,1.1960359997829073,7049.993771235222,7574.213651000264
26,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.5677146911621,0.8609910000814125,7194.652343308462,7679.081048999706
27,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.3291530609131,0.5441059997792763,7456.254202939363,7965.127462000055
28,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.1401996612549,0.40255000021716114,7164.856419338776,7655.399169000248
29,42,full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.8873634338379,0.40721599998505553,7089.071845566195,7597.366425000018
1,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25584600007277913,5576.573351999741,5576.829197999814
2,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31881899985819473,5701.825284999813,5702.144103999672
3,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3026650001629605,5882.042833000014,5882.345498000177
4,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27270200007478707,5888.311432000137,5888.584134000212
5,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34329100026297965,5865.081093999834,5865.424385000097
6,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2936169998974947,6257.495201999973,6257.78881899987
7,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26761100025396445,5753.864723999413,5754.132334999667
8,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2858550001292315,6001.483083000039,6001.768938000168
9,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27730500005418435,6029.722117999881,6029.999422999936
10,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2977869996575464,6005.925134000336,6007.222920999993
11,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28195699997013435,6366.640232000009,6366.922188999979
12,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2886580000449612,6257.592711000143,6257.881369000188
13,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33586299969101674,6134.4318550000025,6134.767717999694
14,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32560699992245645,6462.934994000079,6463.260601000002
15,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32598699999653036,6493.163890000233,6493.489877000229
16,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638890000525862,6336.178122000092,6336.442011000145
17,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27325800010657986,6626.454043999729,6626.727301999836
18,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2897350000239385,6514.9081280001155,6515.1978630001395
19,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2787670000543585,6439.484708999771,6439.7634759998255
20,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313107000238233,6717.413184999714,6717.726291999952
21,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34044099993479904,6756.442586000048,6756.783026999983
22,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31089000003703404,6530.779321999944,6531.090211999981
23,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3234799996789661,6818.412914000419,6818.736394000098
24,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3896900002473558,6857.337832999747,6857.727522999994
25,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2888160001930373,7008.878287999778,7009.167103999971
26,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2761359996839019,6783.888595000008,6784.1647309996915
27,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32123099981618,6770.173359000182,6770.494589999998
28,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015279999090126,6992.525301000114,6992.826829000023
29,43,no_op,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614269999161479,7411.0621660001925,7411.423593000109
1,43,error_only,0.3008619996762718,0.2696780002224841,0.056041999869194115,0.27598199994827155,0.41881000015564496,1.4147920001050807,0.0,0.0,0.21632599964505062,5829.731728000297,5831.362846000047
2,43,error_only,0.3108129999418452,0.3045590001420351,0.05870500035598525,0.3042829998776142,0.4560399997899367,1.5332459997807746,0.0,0.0,0.28756899973814143,5893.670712000585,5895.491527000104
3,43,error_only,0.36824800008616876,0.3163390001645894,0.05575499972110265,0.31774999979461427,0.4708689998551563,1.6226839998125797,0.0,0.0,0.2963349998026388,5620.374856000126,5622.293874999741
4,43,error_only,0.30105899986665463,0.3415030000724073,0.07097800016708788,0.30524100020556943,0.460274000033678,1.5698520001024008,0.0,0.0,0.26404699974591495,5865.829913000198,5867.663812000046
5,43,error_only,0.30683600016345736,0.3240890000597574,0.06775100018785452,0.31224700023813057,0.5168140000932908,1.6352709999409853,0.0,0.0,0.2782060000754427,6130.824841000049,6132.738318000065
6,43,error_only,0.2927189998445101,0.33624199977566605,0.08295999987240066,0.30675199968754896,0.478310000289639,1.586986999882356,0.0,0.0,0.2768340000329772,6048.350433999985,6050.214254999901
7,43,error_only,0.2931159997388022,0.29097500009811483,0.06442700032494031,0.286679000055301,0.4479039998841472,1.4822840003034798,0.0,0.0,0.25369299964950187,6080.151789999945,6081.887766999898
8,43,error_only,0.48245700054394547,0.3525809997881879,0.06989800021983683,0.36335100048745517,0.5497290003404487,1.9337919993631658,0.0,0.0,0.3368679999766755,6085.165436999887,6087.436096999227
9,43,error_only,0.32061399997473927,0.3117690002909512,0.06698699962726096,0.32499000008101575,0.507089000166161,1.632671000152186,0.0,0.0,0.2861220000340836,6210.865001999991,6212.783795000178
10,43,error_only,0.3855200002362835,0.3390660003788071,0.08376900041184854,0.35763100004260195,0.5490449993885704,1.8205169999419013,0.0,0.0,0.3246890000809799,6094.818906,6096.964112000023
11,43,error_only,0.32694900073693134,0.2943519994005328,0.06943199969100533,0.3050839995921706,0.5169120004211436,1.6080470004453673,0.0,0.0,0.2759400003924384,6158.645512999101,6160.529499999939
12,43,error_only,0.34170099934272,0.30476899974019034,0.07688099958613748,0.3340679995744722,0.5162699999345932,1.6763410003477475,0.0,0.0,0.28535900037240935,6290.672003999134,6292.633703999854
13,43,error_only,0.3055320003113593,0.29761099995084805,0.06429899985960219,0.30204399990907405,0.5935190001764568,1.656368999647384,0.0,0.0,0.26628300020092865,6306.669810999665,6308.592462999513
14,43,error_only,0.4164589990978129,0.36192599964124383,0.07491299948014785,0.3803409999818541,0.5519579999599955,1.8924539999716217,0.0,0.0,0.3096469999945839,6205.745244999889,6207.947345999855
15,43,error_only,0.3433459996813326,0.319755999953486,0.06708199998683995,0.3137160001642769,0.5357190002541756,1.6823930000100518,0.0,0.0,0.28993399973842315,6449.2772820003665,6451.249609000115
16,43,error_only,0.34393799978715833,0.3539199997248943,0.08030299977690447,0.34044300082314294,0.6308199999693898,1.8535120007072692,0.0,0.0,0.30427500041696476,6586.017263999565,6588.17505100069
17,43,error_only,0.32614900010230485,0.2981369998451555,0.07559999994555255,0.31565800054522697,0.5374769998525153,2.4386459999732324,0.0,0.0,0.2942020000773482,6457.745028000318,6460.477876000368
18,43,error_only,0.40392000028077746,0.37468699974851916,0.07682900013605831,0.3886200001943507,0.6304309999904945,2.8966449999643373,0.0,0.0,0.3209469996363623,6631.036777999725,6634.254369999326
19,43,error_only,0.3327899994474137,0.322969000080775,0.07104299947968684,0.30297800003609154,0.554808999368106,1.6776630000094883,0.0,0.0,0.2693189999263268,6393.833658999938,6395.780640999874
20,43,error_only,0.37288000021362677,0.3397899999981746,0.08108000020001782,0.36027900023327675,0.622280000243336,1.8933869996544672,0.0,0.0,0.2971560006699292,6719.580193999718,6721.770737000043
21,43,error_only,1.2757320000673644,0.35318199934408767,0.06915299945831066,0.3258890001234249,0.5531330007215729,2.6701729993874324,0.0,0.0,0.286231000245607,6592.341184000361,6595.297587999994
22,43,error_only,0.36207599987392314,0.3667679993668571,0.07946400000946596,0.3618480004661251,0.636235999991186,1.9111749998046434,0.0,0.0,0.31348600077762967,6832.608440999138,6834.83310199972
23,43,error_only,0.3312270000606077,0.3631039999163477,0.08477800020045834,0.3536200001690304,0.586472000577487,1.8155859997932566,0.0,0.0,0.314447000164364,6888.7260580004295,6890.856091000387
