scale,scale_str,seed,policy,display_name,mean_psnr,final_psnr,delta_q_vs_noop,mean_actual_opt_ms,mean_n_gaussians,final_n_gaussians,mean_n_selected,mean_fraction_selected,opt_violation_rate_pct
0.5,0.5x,42,no_op,No-Op (Pass-through),11.923426718547427,11.878010034561157,0.0,0.0,2108.7241379310344,2592,0.0,0.0,0.0
0.5,0.5x,42,error_only,Error-Only Heuristic,11.922417180291538,11.879910230636597,-0.0010095382558894528,9.627901274582435,2088.137931034483,2567,1.0344827586206897,0.05092392207972659,3.4482758620689653
0.5,0.5x,42,ours,Ours (Adaptive Marginal Utility),11.930652363546963,11.882736682891846,0.007225644999536485,9.848890633418643,2092.551724137931,2562,0.8620689655172413,0.040075951165711665,6.896551724137931
1.0,1.0x,42,no_op,No-Op (Pass-through),12.348568233950385,12.139074802398682,0.0,0.0,4538.689655172414,5499,0.0,0.0,0.0
1.0,1.0x,42,error_only,Error-Only Heuristic,12.344280070271985,12.15455412864685,-0.00428816367839957,8.83552123760355,4549.724137931034,5531,1.0344827586206897,0.02331921563715379,3.4482758620689653
1.0,1.0x,42,ours,Ours (Adaptive Marginal Utility),12.338194312720463,12.141588926315308,-0.01037392122992209,10.269033497777478,4524.241379310345,5487,0.8275862068965517,0.017717968114220117,10.344827586206897
2.0,2.0x,42,no_op,No-Op (Pass-through),12.525372258548078,12.31269121170044,0.0,0.0,8344.51724137931,10311,0.0,0.0,0.0
2.0,2.0x,42,error_only,Error-Only Heuristic,12.533483875208887,12.327674627304077,0.008111616660809062,7.4529812253754715,8364.827586206897,10331,1.0344827586206897,0.012736043218192553,0.0
2.0,2.0x,42,ours,Ours (Adaptive Marginal Utility),12.53344831795528,12.319825887680054,0.008076059407201797,8.752370702809301,8373.0,10336,0.7931034482758621,0.00918256144522238,6.896551724137931
