comparison,delta_mean_psnr,ci_mean_psnr,p_mean_psnr_raw,p_mean_psnr_holm,cohens_d_mean_psnr,delta_final_psnr,ci_final_psnr,p_final_psnr_raw,p_final_psnr_holm,cohens_d_final_psnr,delta_mean_ssim,ci_mean_ssim,p_mean_ssim_holm
A1_plus_warmup vs A0,-0.7538761965433757,"(-1.1386974143981932, -0.3690549786885583)",0.0625,0.25,-1.551214618930915,-0.17980599403381348,"(-1.1936070919036865, 0.9383594989776611)",0.8125,1.0,-0.12789790200166193,-0.062470717549324026,"(-0.10806412931283316, -0.01693923568725584)",0.25
A2_plus_coverage_throttling vs A0,1.0360699860254914,"(0.4652620172500594, 1.5933890708287546)",0.0625,0.25,1.4926900740160776,1.370757818222046,"(0.4322338104248047, 2.621495628356933)",0.0625,0.25,0.9719073896639654,0.07303675544261934,"(0.031156907359759022, 0.11872372857729593)",0.25
A3_plus_backlog_throttling vs A0,1.0752902905146275,"(0.553667834599812, 1.5590035915374745)",0.0625,0.25,1.720184021086169,1.7485594749450684,"(0.4878675937652588, 3.2495937526226037)",0.125,0.375,1.0288103610885406,0.07441228910287223,"(0.0337242042620977, 0.11715518752733864)",0.25
A4_all vs A0,-1.542239933013916,"(-2.775665726661682, -0.3088141393661502)",0.125,0.25,-0.9990938651919195,0.03035879135131836,"(-1.0123533070087432, 0.827094554901123)",0.8125,1.0,0.02488653882353981,-0.13163393843173982,"(-0.27137375601132707, 0.008105879147847484)",0.3125
