condition,seed,mean_psnr,final_psnr,mean_ssim,final_ssim,mean_depth_l1,final_depth_l1,mean_n_optimized,mean_k,N_final,fps,mean_opt_time_ms,mean_frame_time_ms
A0_old_substrate,42,16.247435156504313,13.553435802459717,0.7359631717205047,0.6965307593345642,0.13062533639371396,0.15369214117527008,14989.366666666667,5.0,150000,7.383235010635866,108.18650563557942,135.433580353371
A0_old_substrate,43,16.129384779930113,10.404278039932251,0.7210369155804316,0.347176730632782,0.1321680526435375,0.21375074982643127,14989.293333333333,5.0,150000,7.426876516014854,107.58755524953206,134.63735276020694
A0_old_substrate,44,16.837285017967226,14.607675075531006,0.7557162431875865,0.7643543481826782,0.1271055738379558,0.14827629923820496,14989.16,5.0,150000,7.330522924191592,108.72128804524739,136.40631833339285
A0_old_substrate,45,15.573446861902873,12.897535562515259,0.6219165754318238,0.5600087642669678,0.14798089236021042,0.19401900470256805,14988.966666666667,5.0,121848,7.508228467296946,109.56020832061768,133.17827258654384
A0_old_substrate,46,15.562709895769755,13.21351170539856,0.6496661404768626,0.6528816819190979,0.14293250317374864,0.16576066613197327,14989.3,5.0,133140,7.50009692262725,109.13358847300212,133.32333593993098
A1_plus_warmup,42,14.9170827627182,11.882888078689575,0.6011206626892089,0.43392500281333923,0.1686376779526472,0.2085130661725998,6951.106666666667,5.0,148142,8.081586201833266,97.10721969604492,123.72970409349364
A1_plus_warmup,43,14.951233053207398,12.417702674865723,0.6004568600654602,0.5068732500076294,0.16834767738978068,0.2062537968158722,9451.553333333333,5.0,147698,7.967526194274798,99.07488822937012,125.50068410021292
A1_plus_warmup,44,16.160806186993916,13.544713258743286,0.7265503752231598,0.6828464865684509,0.1274966911226511,0.154185488820076,14592.7,5.0,150000,7.409294567173236,107.47664451599121,134.95645846652528
A1_plus_warmup,45,15.289375472068787,12.61202096939087,0.6093644841512045,0.5295034646987915,0.1490887186427911,0.1910930573940277,13911.04,5.0,121818,7.767576625552519,105.06402651468913,128.73149541342477
A1_plus_warmup,46,15.2623832543691,13.320081233978271,0.6344530765215556,0.6607420444488525,0.1468580500781536,0.16807082295417786,14316.426666666666,5.0,132534,7.985225898578567,102.42259979248047,125.22233432008458
A2_plus_coverage_throttling,42,17.180220786730448,14.544650316238403,0.7788228797912597,0.7467514872550964,0.12188330849011739,0.1315891593694687,12688.526666666667,5.0,46590,8.724979930472353,98.71594587961833,114.6048542464996
A2_plus_coverage_throttling,43,17.267735608418782,14.174708127975464,0.7772962240378062,0.7204036116600037,0.11568821142117182,0.12890736758708954,12674.033333333333,5.0,45950,8.717247450945917,99.11764303843181,114.70626845989803
A2_plus_coverage_throttling,44,16.86476429303487,14.642187356948853,0.7626191492875417,0.7587447166442871,0.11692053221166133,0.12357552349567413,12673.713333333333,5.0,46157,8.637417339247243,99.68832969665527,115.76670635343665
A2_plus_coverage_throttling,45,17.549659625689188,14.058252573013306,0.7677151155471802,0.6973599195480347,0.1211967933177948,0.15099413692951202,12272.313333333334,5.0,39822,8.789975124316792,98.89739354451497,113.75688322000012
A2_plus_coverage_throttling,46,16.66823132832845,14.110426902770996,0.763029454946518,0.7180334329605103,0.12712166192630928,0.15211527049541473,12661.246666666666,5.0,45804,8.864449823976551,97.82487233479817,112.80275579309091
A3_plus_backlog_throttling,42,17.22200645605723,15.04186749458313,0.7800968865553538,0.7763094902038574,0.12138955627878507,0.12628783285617828,12660.326666666666,5.0,45159,8.747905982396931,98.9633321762085,114.30505252676085
A3_plus_backlog_throttling,43,17.316916306813557,14.907937049865723,0.7784447805086772,0.775016188621521,0.11649550259113312,0.12811872363090515,12645.82,5.0,44571,8.596374321793595,100.69349765777588,116.31955318654946
A3_plus_backlog_throttling,44,16.968377057711283,14.428499937057495,0.7671891065438589,0.7361291646957397,0.11542887364824612,0.1215594932436943,12646.653333333334,5.0,44717,8.698449860629118,99.66012001037598,114.95477344006456
A3_plus_backlog_throttling,45,17.44204189777374,14.460439682006836,0.7632141856352488,0.7200958132743835,0.12257303724686305,0.1552727222442627,12279.773333333333,5.0,40162,9.041650625996882,96.55394713083903,110.59158891332724
A3_plus_backlog_throttling,46,16.777371446291607,14.58048939704895,0.7674155326684317,0.7433969378471375,0.12626142208774885,0.150680273771286,12636.22,5.0,44511,8.899278151955087,97.40357398986816,112.36112578677421
A4_all,42,13.25001082420349,11.564016342163086,0.4304011827707291,0.35962793231010437,0.18831301098068556,0.21419744193553925,3985.4,1.9999768567085265,35909,16.469857570926575,46.14321231842041,60.70901210009955
A4_all,43,12.938330658276875,11.495739221572876,0.4091781359910965,0.35788363218307495,0.19304412131508192,0.21283628046512604,636.7466666666667,1.9999990351994832,35755,21.122440372797083,33.329763412475586,47.33473779987738
A4_all,44,15.335913292566936,14.431818723678589,0.6336890002091725,0.7349242568016052,0.1407698629051447,0.13677337765693665,20456.846666666668,1.9999113337198893,39416,9.076254116100644,95.17834663391113,110.16993802654422
A4_all,45,15.530542230606079,13.62447738647461,0.6662218809127808,0.6774865388870239,0.1509204643468062,0.17309722304344177,20401.013333333332,1.9998640211423238,38771,8.829988942909228,97.27792739868164,113.24152644013036
A4_all,46,15.584265041351319,13.712178468704224,0.6866391543547312,0.7017285227775574,0.15011644018193085,0.1713537722826004,20930.633333333335,1.9999127531051635,41737,8.094861777807896,105.39685726165771,123.52596638673276
