seed,budget_pct,policy,latency_ms,delta_quality,delta_psnr_db,efficiency
42,10%,oracle_reference,639.361474000907,8.59569442019303e-05,0.0015627335790160402,1.3444185753645886e-07
42,10%,no_op,0.0,0.0,0.0,0.0
42,10%,random,640.4193460039096,7.16656251443004e-06,0.00012654807984624483,1.1190421649733063e-08
42,10%,random,696.8178309980431,6.941634237277128e-06,3.693470444510183e-05,9.96190672580051e-09
42,10%,random,657.2475400025724,3.7759517142087964e-05,0.000676984302549144,5.745098283964696e-08
42,10%,random,656.8315180047648,4.346452113323297e-05,0.0006385302206108889,6.617301384267262e-08
42,10%,random,723.6946120028733,3.654950647986695e-05,0.000609462794084692,5.050404669825265e-08
42,10%,error_only,710.0170589983463,1.3861830365741842e-05,5.9943367640258316e-05,1.9523235660418305e-08
42,10%,error_influence,708.0896949992166,5.403762345127123e-05,0.000646705469375064,7.631465876837965e-08
42,10%,heuristic,681.5407319954829,7.399790630529757e-06,0.00013078659609888632,1.0857444438960988e-08
42,10%,learned_utility,659.9582249982632,6.8841061607336485e-06,4.450333019967445e-05,1.0431124122669681e-08
42,20%,oracle_reference,774.4061589983176,0.0001929343062626009,0.003307506623990264,2.4913839336215827e-07
42,20%,no_op,0.0,0.0,0.0,0.0
42,20%,random,812.1629410015885,5.7388898789571984e-05,0.0009740308498429329,7.06618042911413e-08
42,20%,random,826.7268019990297,7.199757652275156e-05,0.001206292405601772,8.708750744340337e-08
42,20%,random,693.2936220036936,7.785114926028519e-05,0.0011139313684260799,1.1229174305006144e-07
42,20%,random,799.2226040005335,4.8094295949539754e-05,0.0006291438428593921,6.017634600022856e-08
42,20%,random,782.66712599725,9.725130325102816e-05,0.0016953844075988656,1.2425627705662685e-07
42,20%,error_only,679.3981840019114,3.200973776381953e-05,5.933787494249998e-05,4.711484151351437e-08
42,20%,error_influence,679.0294960010215,9.418955659362758e-05,0.001111205990605768,1.387120252482904e-07
42,20%,heuristic,741.9331130004139,1.8788475383234622e-05,0.00026884338723576207,2.532367817801406e-08
42,20%,learned_utility,758.2951430013054,9.561548834135006e-05,0.0016687327743269975,1.2609270839175805e-07
42,40%,oracle_reference,837.2438759979559,0.000264616729078795,0.0041622771240525935,3.1605692996366697e-07
42,40%,no_op,0.0,0.0,0.0,0.0
42,40%,random,888.0816479941132,6.880282412437356e-05,0.0011236216145231737,7.747353442082346e-08
42,40%,random,1005.7450879976386,0.00012558054704008657,0.0020963900877664088,1.2486319698573702e-07
42,40%,random,853.888026002096,0.00012841538836643143,0.001813804437800215,1.503890257926116e-07
42,40%,random,894.8323989970959,5.9619308238787304e-05,0.0006712313080026178,6.662622889560885e-08
42,40%,random,855.7070380047662,0.00011867183568728945,0.001961606857230791,1.3868278559913919e-07
42,40%,error_only,826.7497769993497,4.778679597675499e-05,0.00021192470480713155,5.780079693543428e-08
42,40%,error_influence,824.4556739955442,0.00019598778035899227,0.0027440136950556138,2.3771778949519546e-07
42,40%,heuristic,869.4018719979795,0.0001182945704065814,0.0017720087643144922,1.360643152685279e-07
42,40%,learned_utility,921.2178319939994,0.0001511204978508482,0.0025543814426054468,1.6404426032846545e-07
42,60%,oracle_reference,947.7516189945163,0.00029052634600463623,0.004414710515112219,3.0654270610780904e-07
42,60%,no_op,0.0,0.0,0.0,0.0
42,60%,random,1071.8615050063818,8.208467757679126e-05,0.001093036848855533,7.658142138083645e-08
42,60%,random,1028.1373289981275,0.00021314129587658736,0.003314172031638307,2.073081969354072e-07
42,60%,random,997.445727000013,0.00023174062311854664,0.003660181331863299,2.3233406775478987e-07
42,60%,random,1187.5567509996472,0.00018083027951942314,0.0025343887483355587,1.5227085304951196e-07
42,60%,random,1036.2287960015237,0.00018547996835229787,0.0026988768329694324,1.789951881939644e-07
42,60%,error_only,927.6512430005823,0.00016222118487520295,0.002087909221851092,1.748730313242313e-07
42,60%,error_influence,962.0789339969633,0.00021284270523460407,0.0029291100289849936,2.2123206081474795e-07
42,60%,heuristic,935.0189629985834,0.00013842829118015042,0.0018044155195973133,1.4804864570469694e-07
42,60%,learned_utility,917.3497059964575,0.000151494967015582,0.002512578641374219,1.6514418222985405e-07
42,80%,oracle_reference,1048.3194050029851,0.0003010088662107737,0.004511687627630323,2.871346888879888e-07
42,80%,no_op,0.0,0.0,0.0,0.0
42,80%,random,1122.8345390045433,0.00014913217042800532,0.002189680705910746,1.3281758375567916e-07
42,80%,random,1114.4467310004984,0.00022687983656725864,0.0033029620337323706,2.035806918860774e-07
42,80%,random,1106.8805119939498,0.00024741984409808274,0.003836832435927917,2.2352895494779038e-07
42,80%,random,1174.995568995655,0.00022608437237896386,0.0033426516159131836,1.9241295741413973e-07
42,80%,random,1182.9691410021042,0.0002571255858818956,0.0037898661752979734,2.1735612280137935e-07
42,80%,error_only,1049.278559999948,0.0002685618967823874,0.003959553127261373,2.559490939969275e-07
42,80%,error_influence,1048.957473001792,0.0002995287622402498,0.004439257642022909,2.8554900455887027e-07
42,80%,heuristic,986.2093260016991,0.00023071371445000522,0.0034132454332009843,2.3393990339289058e-07
42,80%,learned_utility,945.1854369981447,0.000151494967015582,0.002512578641374219,1.6028068258935667e-07
42,10%,oracle_reference,712.9047120033647,5.651963974174674e-05,0.00011217319450196328,7.928077734669256e-08
42,10%,no_op,0.0,0.0,0.0,0.0
42,10%,random,748.7021459965035,4.680590004220516e-06,1.925699477212106e-05,6.251604899556912e-09
42,10%,random,745.6176679988857,3.671445178554234e-05,0.00026142099236636795,4.924031894801775e-08
42,10%,random,734.5357570011402,1.5792645582200258e-05,3.2736941919964124e-05,2.1500172635129788e-08
