scene,frame,split,gaussian_id,persistent_id,population,geometry_stratum,group_size,psnr_before,psnr_after,delta_psnr,ssim_before,ssim_after,delta_ssim,depth_before,depth_after,delta_depth,loss_before,loss_after,delta_loss,delta_quality,delta_time_ms,oracle_utility_joint,oracle_utility_rgb,oracle_utility_depth,oracle_utility_loss,predicted_importance,predicted_utility,modeled_marginal_cost_us,n_influence_pixels,filtered,filter_reason,visible,feat_rgb_error,feat_depth_error,feat_gradient_norm,feat_visibility_count,feat_visibility,feat_influence_mass,feat_position_drift,feat_residual_drift_ema,feat_temporal_drift,feat_uncertainty,feat_uncertainty_var,feat_projected_area,feat_age,feat_staleness,feat_update_frequency,feat_tier,feat_knn_density,feat_knn_error_mean,feat_knn_depth_var,feat_sh_degree
tum_fr1_desk,15,train,1072,1072,geometry_stratified,edge,1,2.0664849811644515,2.0784188644746053,0.011933883310153881,0.12510040283751372,0.1270162093020454,0.001915806464531683,0.4960450530052185,0.4943925738334656,0.0016524791717529297,0.5837737381458282,0.5820844173431396,0.0016893208026885764,0.005041869742479697,62.97693899978185,8.005898385275857e-05,0.00018949608379974169,2.623943300512992e-05,2.6824434936325314e-05,1.0,1867.572998046875,0.5344542860984802,104,False,none,True,0.7942453026771545,0.5000789165496826,22.297523498535156,0.0,0.0013541666558012366,17.227155685424805,0.0,0.0,0.0,0.11164206266403198,0.11164206266403198,17.227155685424805,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,2189,2189,geometry_stratified,edge,1,2.611940932791982,2.6455860995616485,0.033645166769666446,0.009902355135488925,0.007336849978099785,-0.002565505157389141,0.022599417716264725,0.022349340841174126,0.00025007687509059906,0.39040221534669395,0.3873667189851403,0.0030354963615536468,0.012336592572244903,133.63543300511083,9.231528117077374e-05,0.0002517683073498905,1.8713365869143027e-06,2.2714756807332345e-05,0.6580021977424622,1270.399658203125,0.516948938369751,81,False,none,True,0.7419530749320984,0.013510018587112427,6.40215539932251,0.0,0.0010546875419095159,8.474477767944336,0.0,0.0,0.0,0.44771212339401245,0.44771212339401245,8.474477767944336,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,159,159,geometry_stratified,edge,1,19.716180206216606,19.89333541168278,0.1771552054661747,0.23163335359984313,0.24117875644479284,0.009545402844949702,1.5888751745224,1.588631272315979,0.00024390220642089844,0.48413529489189383,0.4837634333409369,0.0003718615509569201,0.00633574096758777,111.08596900157863,5.7034574433947935e-05,0.001594757709352629,2.195616679703558e-06,3.3475114301036128e-06,0.6986198425292969,1387.217041015625,0.5026124715805054,18,True,min_influence_pixels,True,0.09986439347267151,1.5888128280639648,2.205829381942749,0.0,0.00023437500931322575,1.3062468767166138,0.0,0.0,0.0,0.38197749853134155,0.38197749853134155,1.3062468767166138,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1592,1592,geometry_stratified,edge,1,13.410572189285705,13.527706546529682,0.1171343572439767,0.5733094838639131,0.5861616964500237,0.012852212586110578,0.1325189620256424,0.13254311680793762,-2.415478229522705e-05,0.0716740671545267,0.0708319429308176,0.0008421242237091064,0.006059452847751051,196.2173120045918,3.08813365438889e-05,0.0005969623987165595,-1.231021974995855e-07,4.291793701105229e-06,0.5883780121803284,1155.390869140625,0.5082458257675171,45,False,none,True,0.2087315022945404,0.12966936826705933,1.3951985836029053,0.0,0.0005859375232830644,4.1229166984558105,0.0,0.0,0.0,0.4085022807121277,0.4085022807121277,4.1229166984558105,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1274,1274,geometry_stratified,edge,1,1.903151806480148,1.9101691453900347,0.00701733890988665,0.13055200776816628,0.13304839010339223,0.0024963823352259495,0.5289499163627625,0.5284083485603333,0.0005415678024291992,0.6103150546550751,0.60942342877388,0.0008916258811950684,0.002888210196820875,139.44758800062118,2.071179744470022e-05,5.03224115275152e-05,3.883665613684095e-06,6.393985682929822e-06,0.8281474113464355,1533.23583984375,0.539130449295044,126,False,none,True,0.8027117848396301,0.5290773510932922,26.0567626953125,0.0,0.0016406250651925802,19.565231323242188,0.0,0.0,0.0,0.3509424924850464,0.3509424924850464,19.565231323242188,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,3989,3989,geometry_stratified,edge,1,21.100345968336796,21.06728291903789,-0.03306304929890658,0.3514285255221889,0.3493504387713828,-0.0020780867508061185,0.2652325928211212,0.2627159357070923,0.0025166571140289307,0.08500307481735944,0.08428959948942065,0.0007134753279387923,0.0017496869219506763,58.253278002666775,3.0035853465114485e-05,-0.0005675740564744354,4.320198279509216e-05,1.2247814241563027e-05,0.3423462510108948,636.7749633789062,0.5366251468658447,96,False,none,True,0.07631633430719376,0.2659919857978821,6.268548965454102,0.0,0.0012499999720603228,18.31258201599121,0.0,0.0,0.0,0.6456415057182312,0.6456415057182312,18.31258201599121,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,2044,2044,geometry_stratified,edge,1,1.4414827642524792,1.4428423029103599,0.0013595386578806323,0.10522221962710394,0.10520742367173531,-1.4795955368629432e-05,0.010240533389151096,0.010157444514334202,8.308887481689453e-05,0.5053566451184451,0.5051745052449405,0.00018213987350468308,0.0030943246232911616,181.81353699765168,1.7019220209830294e-05,7.477653646318933e-06,4.570004862617447e-07,1.001794896642023e-06,0.6768044233322144,1296.976806640625,0.5208323001861572,91,False,none,True,0.8490270376205444,0.0008358464110642672,8.852290153503418,0.0,0.0011848958674818277,10.416139602661133,0.0,0.0,0.0,0.43456727266311646,0.43456727266311646,10.416139602661133,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,728,728,geometry_stratified,edge,1,8.497457113881444,8.586769958835877,0.08931284495443315,0.0,0.0,0.0,0.5983781218528748,0.5941550135612488,0.0042231082916259766,0.2784489765763283,0.2751682087779045,0.0032807677984237893,0.009474653944654703,132.3498709971318,7.158793486742447e-05,0.0006748238157056358,3.190866949705978e-05,2.4788598384768263e-05,0.6981627345085144,1253.0556640625,0.5561681389808655,312,False,none,True,0.28155067563056946,0.5168132781982422,22.421300888061523,0.0,0.006796875037252903,28.084060668945312,0.0,0.0,0.0,0.32376253604888916,0.32376253604888916,28.084060668945312,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,1335,1335,geometry_stratified,texture,1,21.861794579821773,21.84011331305574,-0.021681266766034213,0.17946261609645178,0.17603599060785016,-0.00342662548860162,0.1436791867017746,0.14269767701625824,0.0009815096855163574,0.04766327030956745,0.04739163676276802,0.0002716335467994255,0.0013551579714604998,161.4037070030463,8.396077120056003e-06,-0.00013432942259266082,6.08108514817341e-06,1.6829449077913602e-06,0.6934899091720581,1338.2034912109375,0.5172244906425476,78,False,none,True,0.05495213717222214,0.1450524777173996,1.722490906715393,0.0,0.0010156250791624188,8.612256050109863,0.0,0.0,0.0,0.26116079092025757,0.26116079092025757,8.612256050109863,0,15,0.5,1,0.0,0.0,0.0,0
tum_fr1_desk,15,train,584,584,geometry_stratified,texture,1,12.22912923740201,12.145878685629876,-0.08325055177213336,0.5411358537747301,0.5478119365524085,0.006676082777678394,0.4466240406036377,0.4441843032836914,0.002439737319946289,0.17588442340493202,0.1759633831679821,-7.89597630500849e-05,-0.0031265072521873697,76.99820899870247,-4.060493474906742e-05,-0.0010812011455167258,3.1685637259269265e-05,-1.0254753204897985e-06,0.5983747243881226,1188.8463134765625,0.5023238062858582,16,True,min_influence_pixels,True,0.23328165709972382,0.43795904517173767,0.7799228429794312,0.0,0.00020833333837799728,1.1619123220443726,0.0,0.0,0.0,0.4069026708602905,0.4069026708602905,1.1619123220443726,0,15,0.5,1,0.0,0.0,0.0,0
