policy,mean_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,violation_rate_pct
full,138.32490298212792,136.2285614013672,162.7314567565918,165.43912887573242,182.36042976379386,191.68496131896973,0.0
random,111.1109159430679,111.54532432556152,124.01313781738281,126.5242576599121,132.98306465148923,137.0251178741455,100.0
error_only,110.79705004789392,107.8193187713623,125.57353973388672,129.88743782043454,142.5714778900146,149.60455894470215,100.0
ours,67.82226659813706,68.6483383178711,84.57560539245605,87.76059150695801,92.74015426635741,93.8267707824707,100.0
