seed,policy,frame,psnr,psnr_pre,ssim,depth_l1,opt_time_ms,frame_time_ms,n_gaussians,n_optimized,fraction_optimized,budget_violation,budget_utilization
42,full,1,12.112462520599365,12.107350826263428,0.7917699813842773,1.1868295669555664,551.4986515045166,7489.64786529541,4066,4066,1.0,False,36.76657676696777
42,full,2,10.658643245697021,10.64906120300293,0.7093163728713989,1.198093056678772,445.70064544677734,7642.715215682983,4141,4141,1.0,False,29.71337636311849
42,full,3,9.989362359046936,9.976996183395386,0.6607359647750854,1.2117592096328735,459.1090679168701,7125.560522079468,4212,4212,1.0,False,30.607271194458008
42,full,4,9.608182311058044,9.604709148406982,0.6321272850036621,1.2267011404037476,514.4708156585693,7286.1809730529785,4283,4283,1.0,False,34.29805437723795
42,full,5,9.380324482917786,9.377349615097046,0.6136177778244019,1.2441041469573975,462.09239959716797,7040.980339050293,4360,4360,1.0,False,30.80615997314453
42,full,6,9.068586230278015,9.062060713768005,0.581985354423523,1.2664825916290283,470.700740814209,7426.5923500061035,4430,4430,1.0,False,31.380049387613933
42,full,7,8.488911986351013,8.479880690574646,0.5182230472564697,1.2927361726760864,480.1816940307617,7504.274606704712,4505,4505,1.0,False,32.01211293538412
42,full,8,7.993259429931641,7.984710335731506,0.4602493941783905,1.3173243999481201,486.4048957824707,7701.795339584351,4582,4582,1.0,False,32.42699305216471
42,full,9,7.6443928480148315,7.639079689979553,0.4135299623012543,1.3413559198379517,528.7055969238281,7558.627367019653,4652,4652,1.0,False,35.247039794921875
42,full,10,7.317711710929871,7.316763997077942,0.36701974272727966,1.364081859588623,464.7972583770752,7341.991662979126,4728,4728,1.0,False,30.986483891805012
42,full,11,7.088719606399536,7.086220383644104,0.333136647939682,1.383009910583496,479.27284240722656,7491.255044937134,4803,4803,1.0,False,31.951522827148438
42,full,12,6.880291700363159,6.879158020019531,0.30013495683670044,1.401408314704895,474.69592094421387,7554.648876190186,4878,4878,1.0,False,31.646394729614258
42,full,13,6.681200265884399,6.678690314292908,0.2662617564201355,1.423335075378418,481.7218780517578,7367.12908744812,4950,4950,1.0,False,32.11479187011719
42,full,14,6.452661752700806,6.4443886280059814,0.2274419069290161,1.4390535354614258,479.5801639556885,7806.803941726685,5022,5022,1.0,False,31.97201093037923
42,full,15,6.364929676055908,6.350070238113403,0.20908352732658386,1.445443034172058,556.4641952514648,7933.690547943115,5094,5094,1.0,False,37.09761301676432
42,full,16,6.32600724697113,6.319683194160461,0.19839179515838623,1.448603630065918,487.1487617492676,8056.908845901489,5156,5156,1.0,False,32.476584116617836
42,full,17,6.230735182762146,6.199857592582703,0.17987076938152313,1.446230411529541,471.28915786743164,7646.319627761841,5228,5228,1.0,False,31.41927719116211
42,full,18,6.209954023361206,6.177660226821899,0.17530211806297302,1.4437779188156128,524.6069431304932,8594.520092010498,5298,5298,1.0,False,34.97379620869955
42,full,19,6.248230338096619,6.20000958442688,0.1773519515991211,1.4304105043411255,503.28826904296875,8088.733673095703,5372,5372,1.0,False,33.55255126953125
42,full,20,6.242809891700745,6.200054883956909,0.17006978392601013,1.422119140625,500.5669593811035,7556.845426559448,5446,5446,1.0,False,33.3711306254069
42,full,21,6.207588315010071,6.152104139328003,0.15580862760543823,1.4127949476242065,500.55503845214844,8324.784278869629,5516,5516,1.0,False,33.3703358968099
42,full,22,6.255928874015808,6.188099980354309,0.15494859218597412,1.393338680267334,500.7929801940918,8305.289030075073,5589,5589,1.0,False,33.38619867960612
42,full,23,6.348746418952942,6.297587156295776,0.16448524594306946,1.3829702138900757,478.330135345459,7696.093797683716,5661,5661,1.0,False,31.888675689697266
42,full,24,6.494552493095398,6.4210450649261475,0.18037907779216766,1.3705261945724487,477.4477481842041,7546.159505844116,5736,5736,1.0,False,31.82984987894694
42,full,25,6.616294980049133,6.557865142822266,0.194586381316185,1.354244589805603,519.4995403289795,8419.091701507568,5804,5804,1.0,False,34.63330268859863
42,full,26,6.775503754615784,6.7152029275894165,0.21807071566581726,1.3435733318328857,529.4873714447021,8231.892824172974,5871,5871,1.0,False,35.29915809631348
42,full,27,6.998081803321838,6.932179927825928,0.24340319633483887,1.3610678911209106,540.9526824951172,8058.206796646118,5943,5943,1.0,False,36.06351216634115
42,full,28,7.173757553100586,7.112872004508972,0.26409250497817993,1.358824610710144,459.3677520751953,7848.830938339233,6015,6015,1.0,False,30.62451680501302
42,full,29,7.358805537223816,7.262799143791199,0.29287394881248474,1.3535387516021729,488.7731075286865,8166.114091873169,6088,6088,1.0,False,32.584873835245766
42,full,30,7.473347187042236,7.443822622299194,0.29823386669158936,1.3883167505264282,486.0250949859619,8223.61445426941,6158,6158,1.0,False,32.401672999064125
42,full,31,7.49641478061676,7.438411116600037,0.2988211512565613,1.4075913429260254,497.46179580688477,8171.8621253967285,6231,6231,1.0,False,33.164119720458984
42,full,32,7.495962381362915,7.45400607585907,0.2957470715045929,1.4270647764205933,487.38956451416016,8277.97269821167,6304,6304,1.0,False,32.492637634277344
42,full,33,7.475927472114563,7.399693727493286,0.3004142940044403,1.4421101808547974,490.00096321105957,8438.813209533691,6379,6379,1.0,False,32.666730880737305
42,full,34,7.409907579421997,7.349073886871338,0.2864988148212433,1.4384809732437134,477.8733253479004,8351.624965667725,6453,6453,1.0,False,31.858221689860027
42,full,35,7.315244078636169,7.27592408657074,0.27348679304122925,1.4277493953704834,479.42519187927246,7831.361770629883,6528,6528,1.0,False,31.961679458618164
42,full,36,7.271808981895447,7.225222587585449,0.2666262090206146,1.398898959159851,484.6351146697998,8008.529424667358,6602,6602,1.0,False,32.30900764465332
42,full,37,7.115883827209473,7.086923122406006,0.23524034023284912,1.3787245750427246,490.77773094177246,7951.002597808838,6674,6674,1.0,False,32.718515396118164
42,full,38,6.990389823913574,6.950989365577698,0.21010152995586395,1.366254448890686,503.0481815338135,8305.541038513184,6745,6745,1.0,False,33.53654543558756
42,full,39,6.876306533813477,6.818079948425293,0.18066415190696716,1.3438533544540405,501.6801357269287,8422.738790512085,6817,6817,1.0,False,33.44534238179525
42,full,40,6.7302387952804565,6.642813086509705,0.1378788948059082,1.3178935050964355,530.8971405029297,8545.53484916687,6891,6891,1.0,False,35.39314270019531
42,full,41,6.2956303358078,6.1387646198272705,0.10003319382667542,1.3080415725708008,505.1095485687256,9005.292177200317,6971,6971,1.0,False,33.6739699045817
42,full,42,6.232537031173706,6.118601560592651,0.048617444932460785,1.2925934791564941,483.5939407348633,8473.426103591919,7045,7045,1.0,False,32.23959604899088
42,full,43,5.868330001831055,5.716535449028015,-0.04750745743513107,1.2881077527999878,488.50274085998535,8221.498489379883,7117,7117,1.0,False,32.56684939066569
42,full,44,5.56143045425415,5.438637137413025,-0.12239775061607361,1.2799770832061768,472.6600646972656,8121.041297912598,7191,7191,1.0,False,31.510670979817707
42,full,45,5.4940420389175415,5.33487856388092,-0.1437719315290451,1.2608108520507812,480.9308052062988,8055.390357971191,7264,7264,1.0,False,32.06205368041992
