seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,budget_cost,budget_realized_delta_q,budget_ose
42,tum_fr1_desk_val,random,0.1,0.019198810681700706,0.2411363124847412,0.07961807861988765,0.09670268710240656,0.0,289.14588928222656,0.04119013994932175,0.1565405142103084
42,tum_fr1_desk_val,random,0.2,0.09225093573331833,0.3321757912635803,0.2777172069199512,0.24995048716515786,0.125,584.4907913208008,0.11424226313829422,0.3439210884830331
42,tum_fr1_desk_val,random,0.4,0.29473012685775757,0.4303746223449707,0.6848222564881891,0.42739527382994513,0.5625,1163.5163345336914,0.29767337441444397,0.6489431742713097
42,tum_fr1_desk_val,random,0.6,0.3594505190849304,0.5066201090812683,0.709506996557454,0.48323750217606815,0.6666666666666666,1756.4204444885254,0.40182971954345703,0.7811360645214087
42,tum_fr1_desk_val,random,0.8,0.47929269075393677,0.5387634038925171,0.8896162552892934,0.5653955238691033,0.875,2306.692859649658,0.4823598861694336,0.895309283688042
42,tum_fr1_desk_val,error_only,0.1,0.05018710345029831,0.2411363124847412,0.20812751448290867,0.1950487239389785,0.0,293.367374420166,0.05018710345029831,0.19073290332350534
42,tum_fr1_desk_val,error_only,0.2,0.08825752884149551,0.3321757912635803,0.265695238803574,0.24211835892193637,0.125,582.832820892334,0.09356625378131866,0.28167691151913316
42,tum_fr1_desk_val,error_only,0.4,0.17964838445186615,0.4303746223449707,0.41742326556986137,0.36962162739661886,0.5625,1173.450527191162,0.23691411316394806,0.5164848785307573
42,tum_fr1_desk_val,error_only,0.6,0.24484486877918243,0.5066201090812683,0.48329085158164864,0.47411743539130446,0.5833333333333334,1758.495891571045,0.2545629143714905,0.49485705868438484
42,tum_fr1_desk_val,error_only,0.8,0.4150036573410034,0.5387634038925171,0.7702892339007198,0.5899323170834431,0.75,2334.84379196167,0.4256054759025574,0.7899672934871285
42,tum_fr1_desk_val,heuristic,0.1,0.03585166856646538,0.2411363124847412,0.14867801000296846,0.20759087654145345,0.0,266.3022651672363,0.019532131031155586,0.07423062507197341
42,tum_fr1_desk_val,heuristic,0.2,0.060836926102638245,0.3321757912635803,0.18314677309791258,0.24073120839185758,0.25,557.0474662780762,0.019989874213933945,0.06017859861523161
42,tum_fr1_desk_val,heuristic,0.4,0.1563292145729065,0.4303746223449707,0.36323984460031883,0.37082711538187885,0.5,1162.293254852295,0.14931514859199524,0.3255146574149896
42,tum_fr1_desk_val,heuristic,0.6,0.39783674478530884,0.5066201090812683,0.7852762450626062,0.5648878950199769,0.625,1738.1102561950684,0.3978367745876312,0.7733739873107233
42,tum_fr1_desk_val,heuristic,0.8,0.41936415433883667,0.5387634038925171,0.7783827623129945,0.5877523617561801,0.75,2316.806652069092,0.4123748540878296,0.7654099061932554
42,tum_fr1_desk_val,learned,0.1,0.004022352397441864,0.2411363124847412,0.016680823345045385,0.11882262507175771,0.0,288.13172149658203,0.11029130965471268,0.41915512662785614
42,tum_fr1_desk_val,learned,0.2,0.10744574666023254,0.3321757912635803,0.32346048764393504,0.24980193135507997,0.125,538.1159973144531,0.11254406720399857,0.3388087475845215
42,tum_fr1_desk_val,learned,0.4,0.17546693980693817,0.4303746223449707,0.40770744049405555,0.33278179848112566,0.375,1147.8078384399414,0.15368878841400146,0.33504941582190206
42,tum_fr1_desk_val,learned,0.6,0.26852330565452576,0.5066201090812683,0.5300289024081398,0.4381405186517472,0.625,1737.0906372070312,0.27481114864349365,0.5342185724387938
42,tum_fr1_desk_val,learned,0.8,0.4819785952568054,0.5387634038925171,0.8946015687564111,0.5717738590058745,0.8125,2110.951385498047,0.34605997800827026,0.6423227136156445
42,tum_fr1_desk_val,oracle,0.1,0.2411363124847412,0.2411363124847412,0.9999999585296819,0.9983933071691563,1.0,291.33648681640625,0.2631276547908783,0.9999999619956343
42,tum_fr1_desk_val,oracle,0.2,0.3321757912635803,0.3321757912635803,0.9999999698954591,0.9987014607768575,1.0,567.8314666748047,0.3321757912635803,0.9999999698954591
42,tum_fr1_desk_val,oracle,0.4,0.4303746223449707,0.4303746223449707,0.9999999767644298,0.9988702015527717,1.0,1163.082374572754,0.4587048292160034,0.9999999781994888
42,tum_fr1_desk_val,oracle,0.6,0.5066201090812683,0.5066201090812683,0.9999999802613444,0.998947817324977,1.0,1705.0452995300293,0.5144170522689819,0.9999999805605203
42,tum_fr1_desk_val,oracle,0.8,0.5387634038925171,0.5387634038925171,0.9999999814389772,0.9989939237394441,1.0,2274.336154937744,0.5387634038925171,0.9999999814389772
42,tum_fr2_xyz,random,0.1,0.029036005958914757,0.09468899667263031,0.3066460086470372,0.6872377077325397,0.25,276.1135482788086,0.029036005958914757,0.3066459845186753
42,tum_fr2_xyz,random,0.2,0.005260948091745377,0.14261093735694885,0.03689021207171044,0.6370236550887037,0.125,563.6024169921875,7.88824399933219e-05,0.0005224919299366147
42,tum_fr2_xyz,random,0.4,0.10175710916519165,0.23647519946098328,0.4303077239983621,0.7219273449769983,0.4375,1150.4570007324219,0.08689206093549728,0.34831009980197986
42,tum_fr2_xyz,random,0.6,0.10297159105539322,0.23266978561878204,0.44256535654549284,0.7754314510161748,0.5416666666666666,1752.8782043457031,0.15302488207817078,0.6316034386908103
42,tum_fr2_xyz,random,0.8,0.15030041337013245,0.2437291443347931,0.6166698185136918,0.8259689416815889,0.78125,2319.2997856140137,0.1482764631509781,0.6023713926571655
42,tum_fr2_xyz,error_only,0.1,0.022101812064647675,0.09468899667263031,0.23341476314204662,0.5024923138014676,0.0,285.2498321533203,-0.0008431579917669296,-0.008904496467455017
42,tum_fr2_xyz,error_only,0.2,0.013497275300323963,0.14261093735694885,0.09464403364869939,0.569376588221342,0.375,551.8682250976562,0.02185984142124653,0.1447925638869993
42,tum_fr2_xyz,error_only,0.4,0.04569162800908089,0.23647519946098328,0.19321952653400518,0.6332327962803561,0.4375,1131.550495147705,0.045691631734371185,0.18315662717826703
42,tum_fr2_xyz,error_only,0.6,0.12030698359012604,0.23266978561878204,0.5170717723380094,0.7208102001543724,0.7916666666666666,1718.90625,0.14692170917987823,0.6064128622490198
42,tum_fr2_xyz,error_only,0.8,0.19761008024215698,0.2437291443347931,0.8107773597356118,0.8121890698069881,0.84375,2314.6941261291504,0.19744496047496796,0.8021178364184695
42,tum_fr2_xyz,heuristic,0.1,-0.013056713156402111,0.09468899667263031,-0.13789048607874066,0.4328963602339428,0.0,278.64717864990234,-0.0013752956874668598,-0.014524342662151942
42,tum_fr2_xyz,heuristic,0.2,0.006205469369888306,0.14261093735694885,0.04351327499673845,0.517249646396197,0.25,579.6226539611816,0.016501298174262047,0.10929929563866972
42,tum_fr2_xyz,heuristic,0.4,0.09066615253686905,0.23647519946098328,0.3834065851703086,0.6455596958987939,0.5625,1161.1844062805176,0.1365991234779358,0.5475627326503634
42,tum_fr2_xyz,heuristic,0.6,0.12283164262771606,0.23266978561878204,0.5279225964893597,0.6970598295681446,0.75,1719.5725479125977,0.10585777461528778,0.4369232869267489
42,tum_fr2_xyz,heuristic,0.8,0.15776990354061127,0.2437291443347931,0.6473165016766692,0.7811272102588537,0.84375,2289.48091506958,0.18844999372959137,0.7655758895027249
42,tum_fr2_xyz,learned,0.1,0.012083524838089943,0.09468899667263031,0.12761275318756368,0.3753888541949716,0.0,275.8768310546875,0.010560515336692333,0.11152841155311657
42,tum_fr2_xyz,learned,0.2,0.027539093047380447,0.14261093735694885,0.19310644489620649,0.4485213054862998,0.0,578.4052085876465,0.0254301056265831,0.1684408465109628
42,tum_fr2_xyz,learned,0.4,0.15256793797016144,0.23647519946098328,0.6451751890522548,0.6438714559952495,0.5,1147.99271774292,0.15256793797016144,0.6115743271461521
42,tum_fr2_xyz,learned,0.6,0.16735252737998962,0.23266978561878204,0.719270530731838,0.6883232431675117,0.7083333333333334,1464.667194366455,0.15730199217796326,0.6492570216245199
42,tum_fr2_xyz,learned,0.8,0.17370417714118958,0.2437291443347931,0.7126934716336181,0.7178584550362815,0.78125,1464.667194366455,0.15730199217796326,0.6390374984835295
42,tum_fr2_xyz,oracle,0.1,0.09468899667263031,0.09468899667263031,0.9999998943911195,0.9978790041068186,1.0,269.7713203430176,0.09468900412321091,0.9999998943911278
42,tum_fr2_xyz,oracle,0.2,0.14261093735694885,0.14261093735694885,0.999999929879156,0.9983887830049666,1.0,572.8063011169434,0.15097349882125854,0.999999933763214
42,tum_fr2_xyz,oracle,0.4,0.23647519946098328,0.23647519946098328,0.9999999577122692,0.9987637225923306,1.0,1155.5275421142578,0.24946752190589905,0.9999999599146233
42,tum_fr2_xyz,oracle,0.6,0.23266978561878204,0.23266978561878204,0.9999999570206354,0.9989347406424028,1.0,1689.768398284912,0.2422799915075302,0.9999999587254419
42,tum_fr2_xyz,oracle,0.8,0.2437291443347931,0.2437291443347931,0.9999999589708501,0.9990412624563636,1.0,1891.6197700500488,0.2461545467376709,0.9999999593751173
43,tum_fr1_desk_val,random,0.1,0.06324740499258041,0.16360601782798767,0.38658358638886803,0.11801292251041454,0.0,232.14931869506836,0.06324740499258041,0.3865835511790173
43,tum_fr1_desk_val,random,0.2,0.16323624551296234,0.3228396475315094,0.5056263742846722,0.15850643255933752,0.125,515.7139472961426,0.16323624551296234,0.45033329163996405
43,tum_fr1_desk_val,random,0.4,0.19092333316802979,0.4132879376411438,0.46196201524320213,0.31434386338739084,0.375,1044.7795753479004,0.23056240379810333,0.565719515276547
43,tum_fr1_desk_val,random,0.6,0.2412404716014862,0.4989584982395172,0.48348804082459396,0.36104691126841193,0.5833333333333334,1583.9354095458984,0.241240456700325,0.4702691985735239
43,tum_fr1_desk_val,random,0.8,0.41411882638931274,0.5010955333709717,0.826426879799112,0.5311262620612816,0.8125,2105.6051483154297,0.4229723811149597,0.8372921558758167
43,tum_fr1_desk_val,error_only,0.1,0.059161096811294556,0.16360601782798767,0.3616070727754324,0.2795745629995183,0.25,253.5335350036621,0.07187958061695099,0.4393455120477929
43,tum_fr1_desk_val,error_only,0.2,0.1077364906668663,0.3228396475315094,0.33371516836140597,0.43626208415084766,0.375,528.2577896118164,0.10396427661180496,0.28681482321794805
43,tum_fr1_desk_val,error_only,0.4,0.0774441584944725,0.4132879376411438,0.18738547527574392,0.45303207546767366,0.375,1064.9060173034668,0.08197217434644699,0.20113105160910916
43,tum_fr1_desk_val,error_only,0.6,0.2084571123123169,0.4989584982395172,0.41778446277591147,0.5108242256314264,0.5416666666666666,1599.5768241882324,0.22245267033576965,0.433644673162326
43,tum_fr1_desk_val,error_only,0.8,0.3025491237640381,0.5010955333709717,0.6037753234218141,0.5777852604735324,0.8125,2110.844341278076,0.26460525393486023,0.5237975655506723
43,tum_fr1_desk_val,heuristic,0.1,0.016035253182053566,0.16360601782798767,0.09801138377928674,0.09652241642482214,0.0,250.71958923339844,0.014820852316915989,0.09058866084458769
43,tum_fr1_desk_val,heuristic,0.2,0.07789897918701172,0.3228396475315094,0.24129309200313695,0.2117664177274573,0.125,501.0219306945801,0.07327021658420563,0.2021365886592769
43,tum_fr1_desk_val,heuristic,0.4,0.3192109167575836,0.4132879376411438,0.7723692853360271,0.47106424220311854,0.5625,1041.8708381652832,0.3192109167575836,0.7832319672430822
43,tum_fr1_desk_val,heuristic,0.6,0.2736334800720215,0.4989584982395172,0.5484092876529686,0.49402762721929433,0.5416666666666666,1600.348014831543,0.38155531883239746,0.743796113027899
43,tum_fr1_desk_val,heuristic,0.8,0.3253736197948456,0.5010955333709717,0.6493245132574739,0.5647409409980169,0.84375,2108.297389984131,0.31827783584594727,0.6300447670849523
43,tum_fr1_desk_val,learned,0.1,0.04676293581724167,0.16360601782798767,0.2858264847454603,0.2785042144302817,0.25,257.3331069946289,0.0713854655623436,0.43632536043013287
43,tum_fr1_desk_val,learned,0.2,0.1516290307044983,0.3228396475315094,0.4696728768202809,0.3528771096208533,0.375,527.2783203125,0.08628764748573303,0.23804884875910326
43,tum_fr1_desk_val,learned,0.4,0.22016531229019165,0.4132879376411438,0.5327165080588323,0.5790370972315372,0.5625,1046.6868476867676,0.1805262565612793,0.44294830672378943
43,tum_fr1_desk_val,learned,0.6,0.27294015884399414,0.4989584982395172,0.5470197508145778,0.595086914866401,0.625,1586.1359100341797,0.27294015884399414,0.5320639477877531
43,tum_fr1_desk_val,learned,0.8,0.41703861951828003,0.5010955333709717,0.832253698990768,0.6496639502956668,0.8125,2113.9589233398438,0.41297346353530884,0.8174988652722511
