seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
44,tum_fr2_xyz,learned,0.8,0.11941796541213989,0.4344448447227478,0.3150268793106079,0.12129732966423035
44,tum_fr2_xyz,oracle,0.1,0.0,0.10548802465200424,0.10548802465200424,0.04492740333080292
44,tum_fr2_xyz,oracle,0.2,0.0,0.17258165776729584,0.17258165776729584,-0.008836433291435242
44,tum_fr2_xyz,oracle,0.4,0.0,0.302217960357666,0.302217960357666,-0.00860622525215149
44,tum_fr2_xyz,oracle,0.6,0.0,0.39707791805267334,0.39707791805267334,-0.011811316013336182
44,tum_fr2_xyz,oracle,0.8,0.0,0.4344448447227478,0.4344448447227478,-0.005207866430282593
45,tum_fr1_desk_val,random,0.1,0.19778430461883545,0.4239445924758911,0.22616028785705566,0.1588612198829651
45,tum_fr1_desk_val,random,0.2,0.09250009059906006,0.5745325684547424,0.4820324778556824,0.291915625333786
45,tum_fr1_desk_val,random,0.4,0.1735905408859253,0.8934377431869507,0.7198472023010254,0.19128930568695068
45,tum_fr1_desk_val,random,0.6,0.12525177001953125,1.0196146965026855,0.8943629264831543,0.13285291194915771
45,tum_fr1_desk_val,random,0.8,0.11646318435668945,1.098691701889038,0.9822285175323486,0.10222423076629639
45,tum_fr1_desk_val,error_only,0.1,0.22228087484836578,0.4239445924758911,0.20166371762752533,0.22096416354179382
45,tum_fr1_desk_val,error_only,0.2,0.14927953481674194,0.5745325684547424,0.4252530336380005,0.14882194995880127
45,tum_fr1_desk_val,error_only,0.4,0.28752750158309937,0.8934377431869507,0.6059102416038513,0.28752756118774414
45,tum_fr1_desk_val,error_only,0.6,0.10256850719451904,1.0196146965026855,0.9170461893081665,0.08779776096343994
45,tum_fr1_desk_val,error_only,0.8,0.0580369234085083,1.098691701889038,1.0406547784805298,0.057962775230407715
45,tum_fr1_desk_val,heuristic,0.1,0.225139319896698,0.4239445924758911,0.19880527257919312,0.225139319896698
45,tum_fr1_desk_val,heuristic,0.2,0.3152574300765991,0.5745325684547424,0.2592751383781433,0.3513341695070267
