policy,seed,frame,psnr,actual_opt_ms,n_selected
error_only,42,21,11.641055345535278,6.7119598388671875,1
error_only,42,22,11.62416934967041,8.152008056640625,1
error_only,42,23,11.647698879241943,6.040334701538086,1
error_only,42,24,11.745120286941528,8.132457733154297,1
error_only,42,25,11.853880882263184,9.414434432983398,1
error_only,42,26,11.882078647613525,6.526708602905273,1
error_only,42,27,11.984233856201172,9.858846664428711,1
error_only,42,28,12.15783953666687,8.870124816894531,1
error_only,42,29,12.15455412864685,6.279945373535156,1
ours,42,1,13.464378118515015,11.842012405395508,1
ours,42,2,13.425371646881104,0.0,0
ours,42,3,13.298478126525879,0.0,0
ours,42,4,13.113037347793579,0.0,0
ours,42,5,12.942581176757812,0.0,0
ours,42,6,12.881356477737427,0.0,0
ours,42,7,12.837859392166138,0.0,0
ours,42,8,12.837458848953247,11.333703994750977,1
ours,42,9,12.794569730758667,14.013051986694336,1
ours,42,10,12.720123529434204,22.369384765625,1
ours,42,11,12.641619443893433,11.679887771606445,1
ours,42,12,12.512990236282349,14.215230941772461,1
ours,42,13,12.33305811882019,14.174461364746094,1
ours,42,14,12.209975719451904,14.715194702148438,1
ours,42,15,12.075674533843994,14.474630355834961,1
ours,42,16,11.959278583526611,14.647245407104492,1
ours,42,17,11.91747784614563,10.371923446655273,1
ours,42,18,11.795897483825684,11.457681655883789,1
ours,42,19,11.72350525856018,11.178016662597656,1
ours,42,20,11.710842847824097,9.948968887329102,1
ours,42,21,11.644679307937622,15.98215103149414,1
ours,42,22,11.624823808670044,18.45097541809082,2
ours,42,23,11.645581722259521,8.071184158325195,1
ours,42,24,11.739543676376343,13.567447662353516,1
ours,42,25,11.844984292984009,10.686874389648438,1
ours,42,26,11.867767572402954,10.879993438720703,1
ours,42,27,11.963245868682861,10.614156723022461,1
ours,42,28,12.139885425567627,8.210182189941406,1
ours,42,29,12.141588926315308,14.917612075805664,1
full,42,1,13.461652994155884,450.1769542694092,3571
full,42,2,13.428963422775269,423.6030578613281,3640
full,42,3,13.30406665802002,450.61731338500977,3704
full,42,4,13.125852346420288,457.0181369781494,3767
full,42,5,12.963932752609253,432.2934150695801,3833
full,42,6,12.898766994476318,440.74010848999023,3905
full,42,7,12.84935712814331,437.6075267791748,3975
full,42,8,12.839962244033813,460.6153964996338,4047
full,42,9,12.79966115951538,447.02839851379395,4119
full,42,10,12.734172344207764,437.5793933868408,4188
full,42,11,12.669363021850586,434.41009521484375,4254
full,42,12,12.55577564239502,445.6470012664795,4324
full,42,13,12.377594709396362,503.8645267486572,4393
full,42,14,12.252116203308105,484.7385883331299,4462
full,42,15,12.11545705795288,446.1407661437988,4530
full,42,16,11.994274854660034,458.09102058410645,4596
full,42,17,11.940298080444336,455.7538032531738,4663
full,42,18,11.813384294509888,478.67679595947266,4735
full,42,19,11.745928525924683,469.1438674926758,4811
full,42,20,11.73227310180664,450.1979351043701,4880
full,42,21,11.664867401123047,465.56615829467773,4943
full,42,22,11.652446985244751,504.8086643218994,5015
full,42,23,11.679984331130981,542.2918796539307,5080
full,42,24,11.769217252731323,472.1064567565918,5146
full,42,25,11.876362562179565,523.0238437652588,5215
full,42,26,11.908702850341797,483.5677146911621,5291
full,42,27,12.012654542922974,508.3291530609131,5357
full,42,28,12.186088562011719,490.1401996612549,5426
full,42,29,12.184364795684814,507.8873634338379,5496
random,42,1,13.464815616607666,45.22299766540527,2
random,42,2,13.43313217163086,6.622552871704102,1
random,42,3,13.307363986968994,8.193731307983398,1
random,42,4,13.131134510040283,8.00013542175293,1
random,42,5,12.968330383300781,8.47625732421875,1
random,42,6,12.903097867965698,10.116338729858398,1
random,42,7,12.858760356903076,6.095647811889648,1
random,42,8,12.865748405456543,5.066871643066406,1
random,42,9,12.815446853637695,6.2923431396484375,1
random,42,10,12.733945846557617,8.216619491577148,1
random,42,11,12.660149335861206,8.498907089233398,1
random,42,12,12.532867193222046,8.734941482543945,1
random,42,13,12.357561588287354,6.699800491333008,1
random,42,14,12.234255075454712,8.077383041381836,1
random,42,15,12.097172737121582,7.771968841552734,1
random,42,16,11.978703737258911,9.755134582519531,1
random,42,17,11.924515962600708,8.512496948242188,1
random,42,18,11.795046329498291,5.06281852722168,1
random,42,19,11.722264289855957,6.322622299194336,1
random,42,20,11.710401773452759,8.060216903686523,1
random,42,21,11.645019054412842,9.92727279663086,1
random,42,22,11.631890535354614,5.368232727050781,1
random,42,23,11.660012006759644,8.208036422729492,1
random,42,24,11.753990650177002,8.629322052001953,1
random,42,25,11.861572265625,8.727073669433594,1
random,42,26,11.893309354782104,7.788181304931641,1
random,42,27,11.993556022644043,6.177425384521484,1
random,42,28,12.164422273635864,7.846593856811523,1
random,42,29,12.164232730865479,5.850076675415039,1
grad_norm,42,1,13.465007543563843,9.880304336547852,1
grad_norm,42,2,13.429362773895264,8.008718490600586,1
grad_norm,42,3,13.29893708229065,8.026361465454102,1
grad_norm,42,4,13.120434284210205,6.232261657714844,1
grad_norm,42,5,12.958908081054688,8.056163787841797,1
grad_norm,42,6,12.897964715957642,5.068778991699219,1
grad_norm,42,7,12.850548028945923,7.934331893920898,1
grad_norm,42,8,12.84440279006958,6.705760955810547,1
grad_norm,42,9,12.792352437973022,8.351802825927734,1
grad_norm,42,10,12.715544700622559,5.135059356689453,1
grad_norm,42,11,12.650812864303589,10.292291641235352,1
grad_norm,42,12,12.531898021697998,9.801626205444336,1
grad_norm,42,13,12.359158992767334,8.15272331237793,1
grad_norm,42,14,12.224264144897461,5.970954895019531,1
grad_norm,42,15,12.093334197998047,10.289430618286133,1
grad_norm,42,16,11.973183155059814,8.167743682861328,1
grad_norm,42,17,11.927725076675415,11.128902435302734,1
grad_norm,42,18,11.798738241195679,7.9402923583984375,1
grad_norm,42,19,11.728658676147461,10.287046432495117,1
grad_norm,42,20,11.71236515045166,6.25157356262207,1
grad_norm,42,21,11.64688229560852,8.243083953857422,1
grad_norm,42,22,11.637372970581055,8.181095123291016,1
grad_norm,42,23,11.661385297775269,8.327484130859375,1
grad_norm,42,24,11.754088401794434,6.176233291625977,1
grad_norm,42,25,11.857421398162842,8.168697357177734,1
grad_norm,42,26,11.880450248718262,8.497476577758789,1
grad_norm,42,27,11.97893738746643,11.343717575073242,1
grad_norm,42,28,12.149628400802612,8.800506591796875,1
grad_norm,42,29,12.15003252029419,8.086442947387695,1
importance,42,1,13.46143126487732,9.866952896118164,1
importance,42,2,13.426810503005981,6.193637847900391,1
importance,42,3,13.303416967391968,8.175849914550781,1
importance,42,4,13.130370378494263,8.457422256469727,1
importance,42,5,12.973945140838623,11.52348518371582,1
importance,42,6,12.908743619918823,4.874229431152344,1
importance,42,7,12.85879135131836,6.185054779052734,1
importance,42,8,12.85544753074646,5.981683731079102,1
importance,42,9,12.803590297698975,8.001565933227539,1
importance,42,10,12.731499671936035,7.883310317993164,1
importance,42,11,12.66397476196289,8.059263229370117,1
importance,42,12,12.541570663452148,6.407260894775391,1
importance,42,13,12.36778736114502,5.95855712890625,1
importance,42,14,12.240903377532959,8.360147476196289,1
importance,42,15,12.108720541000366,5.271673202514648,1
importance,42,16,11.99216604232788,8.926630020141602,1
importance,42,17,11.939140558242798,7.585048675537109,1
importance,42,18,11.812336444854736,5.399227142333984,1
importance,42,19,11.743311882019043,6.431102752685547,1
importance,42,20,11.723607778549194,6.692647933959961,1
importance,42,21,11.65307879447937,5.922794342041016,1
importance,42,22,11.629973649978638,10.62321662902832,1
importance,42,23,11.655691862106323,8.311986923217773,1
importance,42,24,11.74233078956604,8.10861587524414,1
importance,42,25,11.844453811645508,7.97271728515625,1
importance,42,26,11.86693787574768,7.8449249267578125,1
importance,42,27,11.968529224395752,10.432004928588867,1
importance,42,28,12.144114971160889,8.28695297241211,1
importance,42,29,12.144912481307983,8.142232894897461,1
no_op,43,1,13.458311557769775,0.0,0
no_op,43,2,13.423688411712646,0.0,0
no_op,43,3,13.295191526412964,0.0,0
no_op,43,4,13.114668130874634,0.0,0
no_op,43,5,12.94701337814331,0.0,0
no_op,43,6,12.885361909866333,0.0,0
no_op,43,7,12.837166786193848,0.0,0
no_op,43,8,12.829005718231201,0.0,0
no_op,43,9,12.784308195114136,0.0,0
no_op,43,10,12.699275016784668,0.0,0
no_op,43,11,12.641633749008179,0.0,0
no_op,43,12,12.523794174194336,0.0,0
no_op,43,13,12.345954179763794,0.0,0
no_op,43,14,12.218567132949829,0.0,0
no_op,43,15,12.090456485748291,0.0,0
no_op,43,16,11.979039907455444,0.0,0
no_op,43,17,11.938263177871704,0.0,0
no_op,43,18,11.805906295776367,0.0,0
no_op,43,19,11.731128692626953,0.0,0
no_op,43,20,11.713504791259766,0.0,0
no_op,43,21,11.64541244506836,0.0,0
no_op,43,22,11.634334325790405,0.0,0
no_op,43,23,11.665993928909302,0.0,0
no_op,43,24,11.758338212966919,0.0,0
no_op,43,25,11.86510443687439,0.0,0
no_op,43,26,11.889451742172241,0.0,0
no_op,43,27,11.986771821975708,0.0,0
no_op,43,28,12.161943912506104,0.0,0
no_op,43,29,12.161511182785034,0.0,0
error_only,43,1,13.458311557769775,0.0,0
error_only,43,2,13.424530029296875,0.0,0
error_only,43,3,13.297531604766846,0.0,0
error_only,43,4,13.118332624435425,0.0,0
error_only,43,5,12.947930097579956,0.0,0
error_only,43,6,12.877899408340454,0.0,0
error_only,43,7,12.83291220664978,0.0,0
error_only,43,8,12.825977802276611,0.0,0
error_only,43,9,12.790800333023071,0.0,0
error_only,43,10,12.70918607711792,0.0,0
error_only,43,11,12.639062404632568,0.0,0
error_only,43,12,12.518346309661865,0.0,0
error_only,43,13,12.340900897979736,0.0,0
error_only,43,14,12.211741209030151,0.0,0
error_only,43,15,12.074810266494751,0.0,0
error_only,43,16,11.966829299926758,0.0,0
error_only,43,17,11.917786598205566,0.0,0
error_only,43,18,11.793733835220337,0.0,0
error_only,43,19,11.720232963562012,0.0,0
error_only,43,20,11.70121431350708,0.0,0
error_only,43,21,11.631584167480469,0.0,0
error_only,43,22,11.614305973052979,0.0,0
error_only,43,23,11.641759872436523,0.0,0
error_only,43,24,11.742234230041504,0.0,0
error_only,43,25,11.854467391967773,0.0,0
error_only,43,26,11.881492137908936,0.0,0
error_only,43,27,11.978306770324707,0.0,0
error_only,43,28,12.150336503982544,0.0,0
error_only,43,29,12.149627208709717,0.0,0
ours,43,1,13.458311557769775,0.0,0
ours,43,2,13.422921895980835,0.0,0
ours,43,3,13.296021223068237,0.0,0
ours,43,4,13.116377592086792,0.0,0
ours,43,5,12.947543859481812,0.0,0
ours,43,6,12.878377437591553,0.0,0
ours,43,7,12.830860614776611,0.0,0
ours,43,8,12.83229947090149,0.0,0
ours,43,9,12.784770727157593,0.0,0
ours,43,10,12.717818021774292,0.0,0
ours,43,11,12.645915746688843,0.0,0
ours,43,12,12.526777982711792,0.0,0
ours,43,13,12.350062131881714,0.0,0
ours,43,14,12.223634719848633,0.0,0
ours,43,15,12.096298933029175,0.0,0
ours,43,16,11.987825632095337,0.0,0
ours,43,17,11.936525106430054,0.0,0
ours,43,18,11.811319589614868,0.0,0
ours,43,19,11.746524572372437,0.0,0
ours,43,20,11.725845336914062,0.0,0
ours,43,21,11.654833555221558,0.0,0
ours,43,22,11.63522481918335,0.0,0
ours,43,23,11.657413244247437,0.0,0
ours,43,24,11.742817163467407,0.0,0
ours,43,25,11.835938692092896,0.0,0
ours,43,26,11.85602068901062,0.0,0
ours,43,27,11.958378553390503,0.0,0
ours,43,28,12.132972478866577,0.0,0
ours,43,29,12.13104248046875,0.0,0
random,43,1,13.458311557769775,0.0,0
random,43,2,13.423478603363037,0.0,0
random,43,3,13.295120000839233,0.0,0
random,43,4,13.116182088851929,0.0,0
random,43,5,12.947598695755005,0.0,0
random,43,6,12.88848876953125,0.0,0
random,43,7,12.839757204055786,0.0,0
random,43,8,12.839916944503784,0.0,0
random,43,9,12.794960737228394,0.0,0
random,43,10,12.71365761756897,0.0,0
random,43,11,12.643967866897583,0.0,0
random,43,12,12.526085376739502,0.0,0
random,43,13,12.355440855026245,0.0,0
random,43,14,12.226178646087646,0.0,0
random,43,15,12.102974653244019,0.0,0
random,43,16,11.99142336845398,0.0,0
random,43,17,11.94334864616394,0.0,0
random,43,18,11.815463304519653,0.0,0
random,43,19,11.741760969161987,0.0,0
random,43,20,11.724700927734375,0.0,0
random,43,21,11.658828258514404,0.0,0
random,43,22,11.634585857391357,0.0,0
random,43,23,11.654304265975952,0.0,0
random,43,24,11.742192506790161,0.0,0
random,43,25,11.841802597045898,0.0,0
random,43,26,11.867810487747192,0.0,0
random,43,27,11.96250319480896,0.0,0
random,43,28,12.133547067642212,0.0,0
random,43,29,12.134897708892822,0.0,0
grad_norm,43,1,13.458311557769775,0.0,0
grad_norm,43,2,13.423892259597778,0.0,0
grad_norm,43,3,13.295388221740723,0.0,0
grad_norm,43,4,13.112499713897705,0.0,0
grad_norm,43,5,12.946666479110718,0.0,0
grad_norm,43,6,12.879853248596191,0.0,0
grad_norm,43,7,12.840222120285034,0.0,0
grad_norm,43,8,12.839192152023315,0.0,0
grad_norm,43,9,12.789839506149292,0.0,0
grad_norm,43,10,12.71186351776123,0.0,0
grad_norm,43,11,12.632925510406494,0.0,0
grad_norm,43,12,12.51386284828186,0.0,0
grad_norm,43,13,12.333139181137085,0.0,0
grad_norm,43,14,12.210309505462646,0.0,0
grad_norm,43,15,12.073962688446045,0.0,0
grad_norm,43,16,11.96091890335083,0.0,0
grad_norm,43,17,11.913158893585205,0.0,0
grad_norm,43,18,11.785962581634521,0.0,0
grad_norm,43,19,11.717612743377686,0.0,0
grad_norm,43,20,11.702091693878174,0.0,0
grad_norm,43,21,11.638233661651611,0.0,0
grad_norm,43,22,11.614700555801392,0.0,0
grad_norm,43,23,11.630944013595581,0.0,0
grad_norm,43,24,11.722432374954224,0.0,0
grad_norm,43,25,11.840554475784302,0.0,0
grad_norm,43,26,11.869158744812012,0.0,0
grad_norm,43,27,11.967955827713013,0.0,0
grad_norm,43,28,12.139344215393066,0.0,0
grad_norm,43,29,12.144887447357178,0.0,0
importance,43,1,13.458311557769775,0.0,0
importance,43,2,13.42471718788147,0.0,0
importance,43,3,13.296842575073242,0.0,0
importance,43,4,13.113855123519897,0.0,0
importance,43,5,12.946971654891968,0.0,0
importance,43,6,12.877284288406372,0.0,0
importance,43,7,12.826911211013794,0.0,0
importance,43,8,12.818933725357056,0.0,0
importance,43,9,12.766340970993042,0.0,0
importance,43,10,12.69034743309021,0.0,0
importance,43,11,12.630594968795776,0.0,0
importance,43,12,12.523720264434814,0.0,0
importance,43,13,12.36579418182373,0.0,0
importance,43,14,12.244312763214111,0.0,0
importance,43,15,12.107142210006714,0.0,0
importance,43,16,11.991844177246094,0.0,0
importance,43,17,11.949962377548218,0.0,0
importance,43,18,11.823692321777344,0.0,0
importance,43,19,11.75593614578247,0.0,0
importance,43,20,11.746103763580322,0.0,0
importance,43,21,11.684709787368774,0.0,0
importance,43,22,11.662037372589111,0.0,0
importance,43,23,11.690912246704102,0.0,0
importance,43,24,11.777502298355103,0.0,0
importance,43,25,11.876342296600342,0.0,0
importance,43,26,11.897245645523071,0.0,0
importance,43,27,11.997790336608887,0.0,0
importance,43,28,12.170920372009277,0.0,0
importance,43,29,12.170157432556152,0.0,0
no_op,44,1,13.458311557769775,0.0,0
no_op,44,2,13.422671556472778,0.0,0
no_op,44,3,13.295983076095581,0.0,0
no_op,44,4,13.115488290786743,0.0,0
no_op,44,5,12.946149110794067,0.0,0
no_op,44,6,12.878780364990234,0.0,0
no_op,44,7,12.832309007644653,0.0,0
no_op,44,8,12.820190191268921,0.0,0
no_op,44,9,12.776422500610352,0.0,0
no_op,44,10,12.699832916259766,0.0,0
no_op,44,11,12.625633478164673,0.0,0
no_op,44,12,12.514692544937134,0.0,0
no_op,44,13,12.333670854568481,0.0,0
no_op,44,14,12.205804586410522,0.0,0
no_op,44,15,12.069963216781616,0.0,0
no_op,44,16,11.952475309371948,0.0,0
no_op,44,17,11.907038688659668,0.0,0
no_op,44,18,11.777305603027344,0.0,0
no_op,44,19,11.706438064575195,0.0,0
no_op,44,20,11.697391271591187,0.0,0
no_op,44,21,11.640688180923462,0.0,0
no_op,44,22,11.625783443450928,0.0,0
no_op,44,23,11.648446321487427,0.0,0
no_op,44,24,11.73965334892273,0.0,0
no_op,44,25,11.842221021652222,0.0,0
no_op,44,26,11.876840591430664,0.0,0
no_op,44,27,11.978342533111572,0.0,0
no_op,44,28,12.15199589729309,0.0,0
no_op,44,29,12.150859832763672,0.0,0
error_only,44,1,13.458311557769775,0.0,0
error_only,44,2,13.424005508422852,0.0,0
error_only,44,3,13.296414613723755,0.0,0
error_only,44,4,13.114180564880371,0.0,0
error_only,44,5,12.945051193237305,0.0,0
error_only,44,6,12.876927852630615,0.0,0
error_only,44,7,12.827428579330444,0.0,0
error_only,44,8,12.817931175231934,0.0,0
error_only,44,9,12.765451669692993,0.0,0
error_only,44,10,12.688212394714355,0.0,0
error_only,44,11,12.614428997039795,0.0,0
error_only,44,12,12.493948936462402,0.0,0
error_only,44,13,12.322360277175903,0.0,0
error_only,44,14,12.203280925750732,0.0,0
error_only,44,15,12.073428630828857,0.0,0
error_only,44,16,11.958643198013306,0.0,0
error_only,44,17,11.908588409423828,0.0,0
error_only,44,18,11.787530183792114,0.0,0
error_only,44,19,11.716614961624146,0.0,0
error_only,44,20,11.699787378311157,0.0,0
error_only,44,21,11.630743741989136,0.0,0
error_only,44,22,11.617816686630249,0.0,0
error_only,44,23,11.640713214874268,0.0,0
error_only,44,24,11.73368215560913,0.0,0
error_only,44,25,11.83426022529602,0.0,0
error_only,44,26,11.854963302612305,0.0,0
error_only,44,27,11.947177648544312,0.0,0
error_only,44,28,12.116249799728394,0.0,0
error_only,44,29,12.115421295166016,0.0,0
ours,44,1,13.458311557769775,0.0,0
ours,44,2,13.425942659378052,0.0,0
ours,44,3,13.295845985412598,0.0,0
ours,44,4,13.118395805358887,0.0,0
ours,44,5,12.948594093322754,0.0,0
ours,44,6,12.881799936294556,0.0,0
ours,44,7,12.83875823020935,0.0,0
ours,44,8,12.836744785308838,0.0,0
ours,44,9,12.796037197113037,0.0,0
ours,44,10,12.71578073501587,0.0,0
ours,44,11,12.643581628799438,0.0,0
ours,44,12,12.519932985305786,0.0,0
ours,44,13,12.354040145874023,0.0,0
ours,44,14,12.224303483963013,0.0,0
ours,44,15,12.088470458984375,0.0,0
ours,44,16,11.980379819869995,0.0,0
ours,44,17,11.928950548171997,0.0,0
ours,44,18,11.794930696487427,0.0,0
ours,44,19,11.727781295776367,0.0,0
ours,44,20,11.716289520263672,0.0,0
ours,44,21,11.645485162734985,0.0,0
ours,44,22,11.626213788986206,0.0,0
ours,44,23,11.648998260498047,0.0,0
ours,44,24,11.737806797027588,0.0,0
ours,44,25,11.845825910568237,0.0,0
ours,44,26,11.875,0.0,0
ours,44,27,11.972705125808716,0.0,0
ours,44,28,12.148550748825073,0.0,0
ours,44,29,12.148722410202026,0.0,0
random,44,1,13.458311557769775,0.0,0
random,44,2,13.42373013496399,0.0,0
random,44,3,13.29593539237976,0.0,0
random,44,4,13.11496376991272,0.0,0
random,44,5,12.949389219284058,0.0,0
random,44,6,12.879825830459595,0.0,0
random,44,7,12.831097841262817,0.0,0
random,44,8,12.821063995361328,0.0,0
random,44,9,12.773740291595459,0.0,0
random,44,10,12.697384357452393,0.0,0
random,44,11,12.62561321258545,0.0,0
random,44,12,12.524652481079102,0.0,0
random,44,13,12.345633506774902,0.0,0
random,44,14,12.227541208267212,0.0,0
random,44,15,12.094850540161133,0.0,0
random,44,16,11.978563070297241,0.0,0
random,44,17,11.929287910461426,0.0,0
random,44,18,11.802736520767212,0.0,0
random,44,19,11.730241775512695,0.0,0
random,44,20,11.7104172706604,0.0,0
random,44,21,11.637500524520874,0.0,0
random,44,22,11.619400978088379,0.0,0
random,44,23,11.649209260940552,0.0,0
random,44,24,11.737697124481201,0.0,0
random,44,25,11.836553812026978,0.0,0
random,44,26,11.864252090454102,0.0,0
random,44,27,11.965757608413696,0.0,0
random,44,28,12.14044451713562,0.0,0
random,44,29,12.140177488327026,0.0,0
grad_norm,44,1,13.458311557769775,0.0,0
grad_norm,44,2,13.423882722854614,0.0,0
grad_norm,44,3,13.295154571533203,0.0,0
grad_norm,44,4,13.115485906600952,0.0,0
grad_norm,44,5,12.946876287460327,0.0,0
grad_norm,44,6,12.881523370742798,0.0,0
grad_norm,44,7,12.83398151397705,0.0,0
grad_norm,44,8,12.820625305175781,0.0,0
grad_norm,44,9,12.776198387145996,0.0,0
grad_norm,44,10,12.701234817504883,0.0,0
grad_norm,44,11,12.63818621635437,0.0,0
grad_norm,44,12,12.528122663497925,0.0,0
grad_norm,44,13,12.351771593093872,0.0,0
grad_norm,44,14,12.22156286239624,0.0,0
grad_norm,44,15,12.09195613861084,0.0,0
grad_norm,44,16,11.980900764465332,0.0,0
grad_norm,44,17,11.926289796829224,0.0,0
grad_norm,44,18,11.796072721481323,0.0,0
grad_norm,44,19,11.730051040649414,0.0,0
grad_norm,44,20,11.708492040634155,0.0,0
grad_norm,44,21,11.641300916671753,0.0,0
grad_norm,44,22,11.627061367034912,0.0,0
grad_norm,44,23,11.646596193313599,0.0,0
grad_norm,44,24,11.740026473999023,0.0,0
grad_norm,44,25,11.839810609817505,0.0,0
grad_norm,44,26,11.87146544456482,0.0,0
grad_norm,44,27,11.970609426498413,0.0,0
grad_norm,44,28,12.154285907745361,0.0,0
grad_norm,44,29,12.150336503982544,0.0,0
importance,44,1,13.458311557769775,0.0,0
importance,44,2,13.421852588653564,0.0,0
importance,44,3,13.291066884994507,0.0,0
importance,44,4,13.110188245773315,0.0,0
importance,44,5,12.946195602416992,0.0,0
importance,44,6,12.876584529876709,0.0,0
importance,44,7,12.834044694900513,0.0,0
importance,44,8,12.822263240814209,0.0,0
importance,44,9,12.776726484298706,0.0,0
importance,44,10,12.698091268539429,0.0,0
importance,44,11,12.630943059921265,0.0,0
importance,44,12,12.507785558700562,0.0,0
importance,44,13,12.326326370239258,0.0,0
importance,44,14,12.196433544158936,0.0,0
importance,44,15,12.05573558807373,0.0,0
importance,44,16,11.93924069404602,0.0,0
importance,44,17,11.895848512649536,0.0,0
importance,44,18,11.772627830505371,0.0,0
importance,44,19,11.700571775436401,0.0,0
importance,44,20,11.695793867111206,0.0,0
importance,44,21,11.624122858047485,0.0,0
importance,44,22,11.614060401916504,0.0,0
importance,44,23,11.638717651367188,0.0,0
importance,44,24,11.729650497436523,0.0,0
importance,44,25,11.830565929412842,0.0,0
importance,44,26,11.863175630569458,0.0,0
importance,44,27,11.967765092849731,0.0,0
importance,44,28,12.14215874671936,0.0,0
importance,44,29,12.14111328125,0.0,0
no_op,45,1,13.458311557769775,0.0,0
no_op,45,2,13.425194025039673,0.0,0
no_op,45,3,13.295962810516357,0.0,0
no_op,45,4,13.1149423122406,0.0,0
no_op,45,5,12.950085401535034,0.0,0
no_op,45,6,12.890058755874634,0.0,0
no_op,45,7,12.845512628555298,0.0,0
no_op,45,8,12.839462757110596,0.0,0
no_op,45,9,12.787528038024902,0.0,0
no_op,45,10,12.705769538879395,0.0,0
no_op,45,11,12.633517980575562,0.0,0
no_op,45,12,12.515162229537964,0.0,0
no_op,45,13,12.335505485534668,0.0,0
no_op,45,14,12.211993932723999,0.0,0
no_op,45,15,12.07701325416565,0.0,0
no_op,45,16,11.95887565612793,0.0,0
no_op,45,17,11.906468868255615,0.0,0
no_op,45,18,11.776940822601318,0.0,0
no_op,45,19,11.71238899230957,0.0,0
no_op,45,20,11.705989837646484,0.0,0
no_op,45,21,11.647177934646606,0.0,0
no_op,45,22,11.63143277168274,0.0,0
no_op,45,23,11.65181279182434,0.0,0
no_op,45,24,11.751174926757812,0.0,0
no_op,45,25,11.861647367477417,0.0,0
no_op,45,26,11.885359287261963,0.0,0
no_op,45,27,11.986905336380005,0.0,0
no_op,45,28,12.158538103103638,0.0,0
no_op,45,29,12.160204648971558,0.0,0
error_only,45,1,13.458311557769775,0.0,0
error_only,45,2,13.425318002700806,0.0,0
error_only,45,3,13.299360275268555,0.0,0
error_only,45,4,13.116551637649536,0.0,0
error_only,45,5,12.948037385940552,0.0,0
error_only,45,6,12.87523627281189,0.0,0
error_only,45,7,12.823044061660767,0.0,0
error_only,45,8,12.82782793045044,0.0,0
error_only,45,9,12.784035205841064,0.0,0
error_only,45,10,12.704710960388184,0.0,0
error_only,45,11,12.63155221939087,0.0,0
error_only,45,12,12.5082528591156,0.0,0
error_only,45,13,12.344211339950562,0.0,0
error_only,45,14,12.216503620147705,0.0,0
error_only,45,15,12.080109119415283,0.0,0
error_only,45,16,11.964782476425171,0.0,0
error_only,45,17,11.9102942943573,0.0,0
error_only,45,18,11.78583025932312,0.0,0
error_only,45,19,11.71646237373352,0.0,0
error_only,45,20,11.70253038406372,0.0,0
error_only,45,21,11.638566255569458,0.0,0
error_only,45,22,11.617101430892944,0.0,0
error_only,45,23,11.637474298477173,0.0,0
error_only,45,24,11.732858419418335,0.0,0
error_only,45,25,11.84499740600586,0.0,0
error_only,45,26,11.870118379592896,0.0,0
error_only,45,27,11.9716477394104,0.0,0
error_only,45,28,12.140308618545532,0.0,0
error_only,45,29,12.136878967285156,0.0,0
ours,45,1,13.458311557769775,0.0,0
ours,45,2,13.427187204360962,0.0,0
ours,45,3,13.298277854919434,0.0,0
