frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
1,new_init_new_dense,no_op,42,True,14073,294,14367,14073,0,20.961694717407227,0.6329941749572754,0.1917351633310318,0.8081510663032532,0.0,593.0598740087589,-1.3777732849121094,-1.3777732849121094,False
2,new_init_new_dense,no_op,42,True,14367,322,14689,14366,0,17.617253065109253,0.5727579593658447,0.16753339767456055,0.8143619894981384,0.0,488.40799400932156,-3.3444416522979736,-4.722214937210083,False
3,new_init_new_dense,no_op,42,True,14689,428,15117,14687,0,16.16884469985962,0.5287315845489502,0.1754477322101593,0.8207682371139526,0.0,496.7370749945985,-1.4484083652496338,-6.170623302459717,False
4,new_init_new_dense,no_op,42,True,15117,487,15604,15104,0,15.299063920974731,0.49320241808891296,0.1680750697851181,0.8293880224227905,0.0,506.5215909999097,-0.8697807788848877,-7.0404040813446045,False
5,new_init_new_dense,no_op,42,True,15604,567,16171,15568,0,15.49244999885559,0.4981507658958435,0.17725378274917603,0.8405469059944153,0.0,511.89761799469125,0.19338607788085938,-6.847018003463745,False
6,new_init_new_dense,no_op,42,True,16171,439,16610,16079,0,15.82221269607544,0.508983850479126,0.152990460395813,0.8438281416893005,0.0,529.4166259991471,0.32976269721984863,-6.5172553062438965,False
7,new_init_new_dense,no_op,42,True,16610,393,17003,16416,0,16.204833984375,0.5267316102981567,0.15633784234523773,0.8495573401451111,0.0,536.6330109973205,0.38262128829956055,-6.134634017944336,False
8,new_init_new_dense,no_op,42,True,17003,402,17405,16710,0,16.296051740646362,0.5318848490715027,0.14955152571201324,0.8530339002609253,0.0,547.7149319922319,0.0912177562713623,-6.043416261672974,False
9,new_init_new_dense,no_op,42,True,17405,436,17841,17009,0,15.837492942810059,0.5114907026290894,0.14542347192764282,0.8549609780311584,0.0,563.4203039953718,-0.4585587978363037,-6.501975059509277,False
10,new_init_new_dense,no_op,42,True,17841,426,18267,17331,0,15.77513337135315,0.5086514949798584,0.14591972529888153,0.8560547232627869,0.0,575.4517659952398,-0.06235957145690918,-6.5643346309661865,False
11,new_init_new_dense,no_op,42,True,18267,406,18673,17616,0,16.004072427749634,0.5128569602966309,0.1442066878080368,0.8571484684944153,0.0,598.4638200025074,0.22893905639648438,-6.335395574569702,False
