variant,feature_index,feature_name,fr1_median,fr2_median,median_ratio_fr2_fr1,fr1_mean,fr2_mean,fr1_std,fr2_std,wasserstein_distance,ks_statistic,ks_pvalue
A0_raw,0,rgb_error,0.29406389594078064,0.11792118847370148,0.40100396239559544,0.3590087294578552,0.1352621465921402,0.24182549118995667,0.106401726603508,0.2237466207314283,0.4528,1.4783354665071933e-33
A0_raw,1,depth_error,0.20617519319057465,0.0459747277200222,0.22298756713160586,0.31584471464157104,0.25449469685554504,0.4326851963996887,0.5499974489212036,0.13747621152376255,0.356,1.3178608375294576e-20
A0_raw,2,gradient_norm,3.608579158782959,1.0561449527740479,0.2926760405206702,6.257166862487793,2.300251007080078,8.51526927947998,3.1968233585357666,3.9569182166228094,0.3368,1.904534353107109e-18
A0_raw,3,visibility_count,61.0,59.0,0.967213098898146,83.26080322265625,79.5999984741211,102.6456298828125,87.67941284179688,8.542400000000017,0.084,0.1537237889997534
A0_raw,4,influence_mass,6.440327167510986,5.5210065841674805,0.8572554752751367,9.354806900024414,8.843958854675293,11.542373657226562,11.273577690124512,2.0191192886739993,0.144,0.0011048082413938596
A0_raw,5,position_drift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A0_raw,6,residual_drift_ema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A0_raw,7,uncertainty_var,0.31514620780944824,0.4471178352832794,1.4187586759570037,0.32060521841049194,0.42178210616111755,0.1684219390153885,0.14156199991703033,0.1111195662021637,0.3048,3.909047882101537e-15
A0_raw,8,projected_area,6.440327167510986,5.5210065841674805,0.8572554752751367,9.354806900024414,8.843958854675293,11.542373657226562,11.273577690124512,2.0191192886739993,0.144,0.0011048082413938596
A0_raw,9,update_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A0_raw,10,age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A1_geometry_relative,0,rgb_error,0.29406389594078064,0.11792118847370148,0.40100396239559544,0.3590087294578552,0.1352621465921402,0.24182549118995667,0.106401726603508,0.2237466207314283,0.4528,1.4783354665071933e-33
A1_geometry_relative,1,depth_error,0.9999951124191284,0.9999834299087524,0.9999873174403195,1.5360724925994873,3.890745162963867,2.058715581893921,9.866411209106445,2.5085720053165654,0.1184,0.012482673977484676
A1_geometry_relative,2,gradient_norm,3.608579158782959,1.0561449527740479,0.2926760405206702,6.257166862487793,2.300251007080078,8.51526927947998,3.1968233585357666,3.9569182166228094,0.3368,1.904534353107109e-18
A1_geometry_relative,3,visibility_count,61.0,59.0,0.967213098898146,83.26080322265625,79.5999984741211,102.6456298828125,87.67941284179688,8.542400000000017,0.084,0.1537237889997534
A1_geometry_relative,4,influence_mass,6.440327167510986,5.5210065841674805,0.8572554752751367,9.354806900024414,8.843958854675293,11.542373657226562,11.273577690124512,2.0191192886739993,0.144,0.0011048082413938596
A1_geometry_relative,5,position_drift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A1_geometry_relative,6,residual_drift_ema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A1_geometry_relative,7,uncertainty_var,0.31514620780944824,0.4471178352832794,1.4187586759570037,0.32060521841049194,0.42178210616111755,0.1684219390153885,0.14156199991703033,0.1111195662021637,0.3048,3.909047882101537e-15
A1_geometry_relative,8,projected_area,0.9999998211860657,0.9999998211860657,0.9999990000008213,1.4799543619155884,1.6293048858642578,1.827004075050354,2.0515012741088867,0.28718004089146887,0.0616,0.49161328734246224
A1_geometry_relative,9,update_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A1_geometry_relative,10,age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A2_geometry_optimization_relative,0,rgb_error,0.29406389594078064,0.11792118847370148,0.40100396239559544,0.3590087294578552,0.1352621465921402,0.24182549118995667,0.106401726603508,0.2237466207314283,0.4528,1.4783354665071933e-33
A2_geometry_optimization_relative,1,depth_error,0.9999951124191284,0.9999834299087524,0.9999873174403195,1.5360724925994873,3.890745162963867,2.058715581893921,9.866411209106445,2.5085720053165654,0.1184,0.012482673977484676
A2_geometry_optimization_relative,2,gradient_norm,0.9999997615814209,0.9999990463256836,0.9999982847455691,1.739189863204956,2.090080499649048,2.370272159576416,2.9864652156829834,0.37387288840767025,0.1064,0.033027122713255794
A2_geometry_optimization_relative,3,visibility_count,61.0,59.0,0.967213098898146,83.26080322265625,79.5999984741211,102.6456298828125,87.67941284179688,8.542400000000017,0.084,0.1537237889997534
A2_geometry_optimization_relative,4,influence_mass,0.9999998211860657,0.9999998211860657,0.9999990000008213,1.4799543619155884,1.6293048858642578,1.827004075050354,2.0515012741088867,0.28718004089146887,0.0616,0.49161328734246224
A2_geometry_optimization_relative,5,position_drift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A2_geometry_optimization_relative,6,residual_drift_ema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A2_geometry_optimization_relative,7,uncertainty_var,0.9999969005584717,0.999997615814209,0.9999997152551394,1.0318502187728882,0.9774957299232483,0.5586848258972168,0.3332301676273346,0.14228905789107085,0.1376,0.0021180878701818925
A2_geometry_optimization_relative,8,projected_area,0.9999998211860657,0.9999998211860657,0.9999990000008213,1.4799543619155884,1.6293048858642578,1.827004075050354,2.0515012741088867,0.28718004089146887,0.0616,0.49161328734246224
A2_geometry_optimization_relative,9,update_frequency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A2_geometry_optimization_relative,10,age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
