variant,seed,rho_in_domain,rho_zero_shot,delta_rho,ndcg_in_domain,ndcg_zero_shot,delta_ndcg,ose_in_domain,ose_zero_shot,delta_ose
raw,42,0.34990619136960605,0.28780487804878047,0.06210131332082558,0.4570777467295586,0.8715667233448344,-0.41448897661527584,0.4376781888002019,0.9883575295650902,-0.5506793407648882
raw,43,0.3388367729831145,0.18161350844277677,0.15722326454033772,0.7287940466155477,0.5877255059878048,0.14106854062774288,0.5227323910951607,0.3609880468489402,0.16174434424622047
raw,44,0.40187617260787994,0.43733583489681055,-0.035459662288930605,0.6814878678825802,0.7573604038783872,-0.07587253599580701,0.6604458590141967,0.45218717064542185,0.20825868836877487
raw,45,0.3703564727954972,0.2041275797373359,0.16622889305816133,0.407610850320457,0.8248798439599585,-0.4172689936395015,0.4199744777461088,0.3872919735153252,0.032682504230783616
raw,46,0.13151969981238276,0.125140712945591,0.006378986866791753,0.24591328468410978,0.3640932689984326,-0.1181799843143228,0.48795809531687145,0.5221867492362023,-0.03422865391933089
geometry_relative,42,0.4189493433395873,0.45328330206379,-0.034333958724202696,0.5320208192991787,0.6684974309559377,-0.13647661165675906,0.8347005286817778,0.6828823562245171,0.1518181724572607
geometry_relative,43,0.4470919324577862,0.251031894934334,0.19606003752345225,0.761308313686668,0.547951634864068,0.2133566788226,0.8345186823236752,0.5203111222622501,0.31420756006142514
geometry_relative,44,0.24746716697936214,0.33921200750469044,-0.0917448405253283,0.7914043633755383,0.7505686417342127,0.04083572164132565,0.6529285278735335,0.4702062825235181,0.1827222453500154
geometry_relative,45,-0.006191369606003753,0.2992495309568481,-0.30544090056285184,0.22701217237629057,0.7982894802512757,-0.5712773078749851,0.3564372469422842,0.6160183933823954,-0.2595811464401112
geometry_relative,46,-0.15159474671669798,0.011632270168855536,-0.16322701688555352,0.13086360687673132,0.37275618576387654,-0.24189257888714522,0.175922740840269,0.5089344365921455,-0.33301169575187656
geometry_optimization_relative,42,0.4078799249530957,0.5135084427767356,-0.10562851782363986,0.48094908448938345,0.6664623501548853,-0.18551326566550186,0.5786861972698241,0.41934602343622013,0.15934017383360394
geometry_optimization_relative,43,0.06116322701688557,0.03677298311444653,0.02439024390243904,0.3123671738469533,0.572481689546786,-0.26011451569983274,0.5275872069250964,0.37043844464675335,0.15714876227834307
geometry_optimization_relative,44,0.403189493433396,0.4557223264540338,-0.052532833020637826,0.67104877355788,0.646037347305087,0.025011426252792957,0.9386336215378301,0.4410777923161315,0.49755582922169866
geometry_optimization_relative,45,0.26435272045028146,0.21951219512195125,0.044840525328330216,0.30335597949229476,0.8483965843047822,-0.5450406048124874,0.255716970767764,0.1660096637127982,0.0897073070549658
geometry_optimization_relative,46,-0.16191369606003755,0.09136960600375237,-0.2532833020637899,0.5662469914541396,0.3229044865525537,0.24334250490158588,0.40126937222150477,0.47859473871971336,-0.07732536649820859
