experiment,variant,beta,seed,domain,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg
sensitivity,B2_beta_0.80,0.8,44,tum_fr1_desk_val,0.1,0.14109469950199127,0.17743204534053802,0.7952041091514949,0.7206043870594765
sensitivity,B2_beta_0.80,0.8,44,tum_fr1_desk_val,0.2,0.22750018537044525,0.22170570492744446,1.0261358641336653,0.7459885031752155
sensitivity,B2_beta_0.80,0.8,44,tum_fr1_desk_val,0.4,0.24477484822273254,0.36898475885391235,0.6633738541106103,0.7674213962999893
sensitivity,B2_beta_0.80,0.8,44,tum_fr1_desk_val,0.6,0.40086829662323,0.5344743728637695,0.7500234051917246,0.794789637634917
sensitivity,B2_beta_0.80,0.8,44,tum_fr1_desk_val,0.8,0.404529869556427,0.5601627826690674,0.7221648328853124,0.8182334477836896
sensitivity,B2_beta_0.80,0.8,44,tum_fr2_xyz,0.1,0.031851787120103836,0.10548802465200424,0.3019469196215484,0.6580454464768551
sensitivity,B2_beta_0.80,0.8,44,tum_fr2_xyz,0.2,0.09262783825397491,0.19699403643608093,0.4702062825235181,0.7797611662128205
sensitivity,B2_beta_0.80,0.8,44,tum_fr2_xyz,0.4,0.16232550144195557,0.302217960357666,0.5371139950739797,0.7268766655354783
sensitivity,B2_beta_0.80,0.8,44,tum_fr2_xyz,0.6,0.2633393108844757,0.3939777612686157,0.6684115960058311,0.7854864933701283
sensitivity,B2_beta_0.80,0.8,44,tum_fr2_xyz,0.8,0.37443235516548157,0.4344448447227478,0.8618639422129541,0.8273920686622955
sensitivity,B2_beta_0.80,0.8,45,tum_fr1_desk_val,0.1,0.050230249762535095,0.4239445924758911,0.11848305054288688,0.03540039653132117
sensitivity,B2_beta_0.80,0.8,45,tum_fr1_desk_val,0.2,0.21206876635551453,0.5745325684547424,0.3691153022616972,0.1829024777741195
sensitivity,B2_beta_0.80,0.8,45,tum_fr1_desk_val,0.4,0.4266049265861511,0.8934377431869507,0.47748701581550984,0.3378156703419249
sensitivity,B2_beta_0.80,0.8,45,tum_fr1_desk_val,0.6,0.5926438570022583,1.0196146965026855,0.5812429471864403,0.4346156035607468
sensitivity,B2_beta_0.80,0.8,45,tum_fr1_desk_val,0.8,0.8611708879470825,1.098691701889038,0.7838148578243359,0.47591620692315195
sensitivity,B2_beta_0.80,0.8,45,tum_fr2_xyz,0.1,0.07172703742980957,0.07897429913282394,0.9082325406503341,0.6221041105140663
sensitivity,B2_beta_0.80,0.8,45,tum_fr2_xyz,0.2,0.10046911239624023,0.17670920491218567,0.5685561584672741,0.660236800675714
sensitivity,B2_beta_0.80,0.8,45,tum_fr2_xyz,0.4,0.14840568602085114,0.404036283493042,0.3673078097460739,0.7637646316783208
sensitivity,B2_beta_0.80,0.8,45,tum_fr2_xyz,0.6,0.22006621956825256,0.483527272939682,0.4551267887725477,0.7968786579892653
sensitivity,B2_beta_0.80,0.8,45,tum_fr2_xyz,0.8,0.23479357361793518,0.5111280679702759,0.45936348194823556,0.8075532669093981
