beta,seed,domain,n_candidates,t_ema_ms,t_infer_ms,t_selection_ms,t_total_ms,t_ema_per_cand_us,t_infer_per_cand_us
0.8,42,tum_fr1_desk_val,40,0.08657400030642748,0.487904002511641,4.078751000633929,4.653229003451997,2.164350007660687,12.197600062791025
0.8,42,tum_fr2_xyz,40,0.13161199967726134,0.6259209985728376,2.8881540019938257,3.6456870002439246,3.2902999919315334,15.648024964320939
0.8,43,tum_fr1_desk_val,40,0.0693340007273946,0.3964339994126931,2.1958650031592697,2.6616330032993574,1.733350018184865,9.910849985317327
0.8,43,tum_fr2_xyz,40,0.06659900100203231,0.2888390008592978,1.6108659983729012,1.9663040002342314,1.6649750250508077,7.220975021482445
0.8,44,tum_fr1_desk_val,40,0.055223001254489645,0.2058629979728721,1.6647240008751396,1.9258100001025014,1.3805750313622411,5.146574949321803
0.8,44,tum_fr2_xyz,40,0.05938899994362146,0.2726480015553534,1.6869729988684412,2.019010000367416,1.4847249985905364,6.816200038883835
0.8,45,tum_fr1_desk_val,40,0.054337000619852915,0.23654200049350038,1.60146099733538,1.8923399984487332,1.3584250154963229,5.9135500123375095
0.8,45,tum_fr2_xyz,40,0.05491900083143264,0.22806599736213684,1.7205920012202114,2.003576999413781,1.372975020785816,5.701649934053421
0.8,46,tum_fr1_desk_val,40,0.05760199928772636,0.26150700068683363,1.5460610011359677,1.8651700011105277,1.440049982193159,6.537675017170841
0.8,46,tum_fr2_xyz,40,0.053157000365899876,0.2855499988072552,1.590931999089662,1.929638998262817,1.328925009147497,7.1387499701813795
0.9,42,tum_fr1_desk_val,40,0.05832099850522354,0.23501400210079737,1.7008489994623233,1.9941840000683442,1.4580249626305886,5.875350052519934
0.9,42,tum_fr2_xyz,40,0.05468499875860289,0.21482099691638723,1.5527739997196477,1.8222799953946378,1.3671249689650722,5.370524922909681
0.9,43,tum_fr1_desk_val,40,0.0543610003660433,0.22272099886322394,1.5880619976087473,1.8651439968380146,1.3590250091510825,5.5680249715805985
0.9,43,tum_fr2_xyz,40,0.05548799890675582,0.2546869982325006,1.5717839996796101,1.8819589968188666,1.3871999726688955,6.367174955812516
0.9,44,tum_fr1_desk_val,40,0.0542029993084725,0.1861969976744149,2.282983001350658,2.5233829983335454,1.3550749827118125,4.654924941860372
0.9,44,tum_fr2_xyz,40,0.09624900121707469,0.41026800317922607,2.014581001276383,2.521098005672684,2.4062250304268673,10.256700079480652
0.9,45,tum_fr1_desk_val,40,0.054044001444708556,0.26233600146952085,1.6494299998157658,1.9658100027299952,1.351100036117714,6.558400036738021
0.9,45,tum_fr2_xyz,40,0.05576799958362244,0.2620409977680538,1.6390320015489124,1.9568409989005886,1.394199989590561,6.551024944201345
0.9,46,tum_fr1_desk_val,40,0.0579169973207172,0.25506000019959174,1.6506730025867,1.963650000107009,1.44792493301793,6.3765000049897935
0.9,46,tum_fr2_xyz,40,0.05624799814540893,0.2602029999252409,1.599699000507826,1.9161499985784758,1.4061999536352232,6.505074998131022
0.95,42,tum_fr1_desk_val,40,0.054661999456584454,0.2310150011908263,1.6056919994298369,1.8913690000772476,1.3665499864146113,5.775375029770657
0.95,42,tum_fr2_xyz,40,0.0532020021637436,0.32860899955267087,1.5714969995315187,1.9533080012479331,1.33005005409359,8.215224988816772
0.95,43,tum_fr1_desk_val,40,0.054489999456563964,0.22793300013290718,1.5109809974092059,1.793403996998677,1.3622499864140991,5.6983250033226795
0.95,43,tum_fr2_xyz,40,0.054045001888880506,0.19886099835275672,1.5408939980261493,1.7937999982677866,1.3511250472220127,4.971524958818918
0.95,44,tum_fr1_desk_val,40,0.05224499909672886,0.19138099742121994,1.5946950006764382,1.838320997194387,1.3061249774182215,4.784524935530499
0.95,44,tum_fr2_xyz,40,0.06272999962675385,0.22390400044969283,1.6765360014687758,1.9631700015452225,1.5682499906688463,5.597600011242321
0.95,45,tum_fr1_desk_val,40,0.0576940001337789,0.23824899835744873,1.7180909999297,2.0140339984209277,1.4423500033444725,5.956224958936218
0.95,45,tum_fr2_xyz,40,0.05556299947784282,0.2797429988277145,1.6881449992069975,2.0234509975125547,1.3890749869460706,6.993574970692862
0.95,46,tum_fr1_desk_val,40,0.05439300002763048,0.20213599782437086,1.5524760019616224,1.8090049998136237,1.359825000690762,5.0533999456092715
0.95,46,tum_fr2_xyz,40,0.0614119999227114,0.377480002498487,2.74553700000979,3.1844290024309885,1.535299998067785,9.437000062462175
