variant_code,variant_name,seed,domain,n_candidates,spearman_rho,spearman_pval,pearson_r,ndcg_20pct,ose_20pct,regret_20pct,dq_10pct,dq_20pct,dq_40pct,dq_60pct,dq_80pct,t_norm_ms,t_infer_ms
B0,A1_standard,42,tum_fr1_desk_val,40,0.4189493433395873,0.007130819292037927,0.2672119438648224,0.5320208192991787,0.8347005286817778,0.03698185086250305,0.05306234583258629,0.1867445707321167,0.2695666551589966,0.3261391520500183,0.4061662256717682,0.015418998373206705,0.33568400249350816
B0,A1_standard,42,tum_fr2_xyz,40,0.45328330206379,0.0033104615595491846,0.35361140966415405,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.17530424892902374,0.2073705792427063,0.18181881308555603,0.01382999835186638,0.3052909996767994
B0,A1_standard,43,tum_fr1_desk_val,40,0.4470919324577862,0.0038239111107486044,0.5591636300086975,0.761308313686668,0.8345186823236752,0.05124872922897339,0.10980022698640823,0.25844627618789673,0.30881041288375854,0.4381253719329834,0.5197800993919373,0.018807000742526725,0.22459300089394674
B0,A1_standard,43,tum_fr2_xyz,40,0.251031894934334,0.118180202921099,0.2528492212295532,0.547951634864068,0.5203111222622501,0.09132350981235504,0.04288620129227638,0.09905721247196198,0.1743624210357666,0.3364129066467285,0.427410364151001,0.012214000889798626,0.2553829981479794
B0,A1_standard,44,tum_fr1_desk_val,40,0.24746716697936214,0.1236707922684712,0.47999611496925354,0.7914043633755383,0.6529285278735335,0.07694771885871887,0.14109469950199127,0.14475798606872559,0.2404797226190567,0.3367002010345459,0.398575097322464,0.012620999768842012,0.22037099915905856
B0,A1_standard,44,tum_fr2_xyz,40,0.33921200750469044,0.032251821744604225,0.4398268461227417,0.7505686417342127,0.4702062825235181,0.10436619818210602,0.0445224829018116,0.09262783825397491,0.16799426078796387,0.26474088430404663,0.37212857604026794,0.01180199978989549,0.20809499983442947
B0,A1_standard,45,tum_fr1_desk_val,40,-0.006191369606003753,0.9697544253255672,0.1062641590833664,0.22701217237629057,0.3564372469422842,0.36974775791168213,0.050230249762535095,0.2047848105430603,0.40993282198905945,0.584175705909729,0.7868291735649109,0.013823999324813485,0.26361900017946027
B0,A1_standard,45,tum_fr2_xyz,40,0.2992495309568481,0.0606762964396292,0.34617096185684204,0.7982894802512757,0.6160183933823954,0.06785307824611664,0.067080557346344,0.10885612666606903,0.13296814262866974,0.21930065751075745,0.2605910003185272,0.013191001926315948,0.2764099990599789
B0,A1_standard,46,tum_fr1_desk_val,40,-0.15159474671669798,0.3504179744692104,0.05305396392941475,0.13086360687673132,0.175922740840269,0.2749009355902672,0.028929123654961586,0.05868542939424515,0.23934389650821686,0.3744621276855469,0.5084900259971619,0.012268003047211096,0.27075000252807513
B0,A1_standard,46,tum_fr2_xyz,40,0.011632270168855536,0.9432080234485396,-0.347546249628067,0.37275618576387654,0.5089344365921455,0.04539019986987114,0.028163358569145203,0.047041866928339005,0.07365821301937103,0.14152756333351135,0.14782525599002838,0.011965999874519184,0.24757000210229307
B2,A1_online_adaptive,42,tum_fr1_desk_val,40,0.4080675422138837,0.008951853105400982,0.2753061354160309,0.5353709373151184,0.8347005286817778,0.03698185086250305,0.05306234583258629,0.1867445707321167,0.26380670070648193,0.3261391520500183,0.4076228439807892,0.06467699859058484,0.24583299818914384
B2,A1_online_adaptive,42,tum_fr2_xyz,40,0.45966228893058164,0.0028454981777393477,0.3678968548774719,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.16796359419822693,0.17411351203918457,0.18181881308555603,0.060128997574793175,0.21577900042757392
B2,A1_online_adaptive,43,tum_fr1_desk_val,40,0.4643527204502815,0.0025411277747663798,0.539492130279541,0.795008988233768,0.8401212626786612,0.04951363801956177,0.12577305734157562,0.26018136739730835,0.30881041288375854,0.4650680124759674,0.5197800993919373,0.06029699943610467,0.23144100123317912
B2,A1_online_adaptive,43,tum_fr2_xyz,40,0.22851782363977488,0.15610608278787994,0.2360963225364685,0.6105264305142744,0.5860043426520791,0.07881678640842438,0.04288620129227638,0.11156393587589264,0.1743624210357666,0.3364129066467285,0.427410364151001,0.05662100011250004,0.1756490019033663
B2,A1_online_adaptive,44,tum_fr1_desk_val,40,0.29174484052532834,0.06775810252566332,0.5148946642875671,0.8016148601910761,0.6967370813501583,0.06723511219024658,0.14109469950199127,0.15447059273719788,0.24477484822273254,0.3367002010345459,0.398575097322464,0.05915900328545831,0.18613599968375638
B2,A1_online_adaptive,44,tum_fr2_xyz,40,0.34333958724202635,0.030080596152322735,0.45883283019065857,0.8027804000208465,0.4702062825235181,0.10436619818210602,0.0445224829018116,0.09262783825397491,0.16191869974136353,0.29286545515060425,0.37443235516548157,0.09371400301461108,0.2842450012394693
B2,A1_online_adaptive,45,tum_fr1_desk_val,40,-0.04465290806754222,0.7843989449011584,0.09389802813529968,0.20870827295609698,0.3564372469422842,0.36974775791168213,0.050230249762535095,0.2047848105430603,0.4266049265861511,0.49478572607040405,0.7068386077880859,0.059735000832006335,0.3409749988350086
B2,A1_online_adaptive,45,tum_fr2_xyz,40,0.2433395872420263,0.13026454283231093,0.32147055864334106,0.7157521560478738,0.6475082513276326,0.06228853017091751,0.06322695314884186,0.11442067474126816,0.13296814262866974,0.2072892189025879,0.2605910003185272,0.05935299850534648,0.19489199985400774
B2,A1_online_adaptive,46,tum_fr1_desk_val,40,-0.11500938086303941,0.47977274206873655,0.08429361134767532,0.1350795436054349,0.175922740840269,0.2749009355902672,0.03237529098987579,0.05868542939424515,0.27877113223075867,0.35308122634887695,0.5976654291152954,0.0686330022290349,0.28755300081684254
B2,A1_online_adaptive,46,tum_fr2_xyz,40,0.04371482176360226,0.7888242303415803,-0.3083796501159668,0.3545168448659169,0.5096562230786789,0.045323483645915985,0.028163358569145203,0.04710858315229416,0.07593094557523727,0.14152756333351135,0.14782525599002838,0.07447400275850669,0.35002699951292016
B2_static,A1_b2_static_start,42,tum_fr1_desk_val,40,0.4189493433395873,0.007130819292037927,0.2672119438648224,0.5320208192991787,0.8347005286817778,0.03698185086250305,0.05306234583258629,0.1867445707321167,0.2695666551589966,0.3261391520500183,0.4061662256717682,0.033439002436352894,0.3034629989997484
B2_static,A1_b2_static_start,42,tum_fr2_xyz,40,0.45328330206379,0.0033104615595491846,0.35361140966415405,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.17530424892902374,0.2073705792427063,0.18181881308555603,0.0283800000033807,0.227668002480641
