condition,perturbation_type,scale,offset,variant,seed,spearman_rho,spearman_pval,pearson_r,ndcg_20pct,ose_20pct,regret_20pct,dq_10pct,dq_20pct,dq_40pct,dq_60pct,dq_80pct
scale_0.8,scale,0.8,0.0,B0,42,0.525515947467167,0.000497444881027334,0.47895461320877075,0.8175144948646563,0.6867930905456943,0.044929251074790955,0.09284025430679321,0.09851987659931183,0.14692166447639465,0.1816329061985016,0.1877153217792511
scale_0.8,scale,0.8,0.0,B2,42,0.55140712945591,0.0002262377271191204,0.48090144991874695,0.8175144948646563,0.6867930905456943,0.044929251074790955,0.09284025430679321,0.09851987659931183,0.14692166447639465,0.1816329061985016,0.19580239057540894
scale_0.8,scale,0.8,0.0,B0,43,0.24484052532833023,0.12783718748741282,0.3367738723754883,0.6638882358669296,0.5406873916954584,0.0874442607164383,0.05413432419300079,0.10293646156787872,0.20537009835243225,0.27744272351264954,0.3651640713214874
scale_0.8,scale,0.8,0.0,B2,43,0.2363977485928706,0.14193917160762182,0.3330521881580353,0.6339082322931171,0.5718124461608298,0.08151865005493164,0.05413432419300079,0.10886207222938538,0.20537011325359344,0.27744272351264954,0.3651640713214874
scale_0.8,scale,0.8,0.0,B0,44,0.08348968105065667,0.6085202332596835,0.1963266283273697,0.5549801261599342,0.33433225388424687,0.131132572889328,0.03753998875617981,0.06586146354675293,0.11521200835704803,0.2768430709838867,0.3501216173171997
scale_0.8,scale,0.8,0.0,B2,44,0.1382739212007505,0.3948314784098307,0.24973729252815247,0.5598266335114537,0.33647509805906756,0.1307104453444481,0.03753998875617981,0.06628359109163284,0.11521200835704803,0.2911842465400696,0.3501216173171997
scale_0.8,scale,0.8,0.0,B0,45,0.20806754221388368,0.19762052839336153,0.20172618329524994,0.6636891551748803,0.6741652240678385,0.05757799744606018,0.05385034903883934,0.11913120746612549,0.1737283170223236,0.19832843542099,0.41894733905792236
scale_0.8,scale,0.8,0.0,B2,45,0.14258911819887432,0.3800993262677639,0.19474609196186066,0.654454146790756,0.6741652240678385,0.05757799744606018,0.05385034903883934,0.11913120746612549,0.15758222341537476,0.18648098409175873,0.23983177542686462
scale_0.8,scale,0.8,0.0,B0,46,0.038086303939962485,0.8155088717513234,-0.3051406145095825,0.46713405353370896,0.5209535579404881,0.044279247522354126,0.028702512383461,0.04815281927585602,0.08494491130113602,0.12027084827423096,0.14350737631320953
scale_0.8,scale,0.8,0.0,B2,46,0.05891181988742965,0.7180321029679881,-0.27870622277259827,0.4186812668790224,0.5117269913894767,0.04513207823038101,0.028702512383461,0.04729998856782913,0.08494491130113602,0.12027084827423096,0.14974156022071838
scale_1.0,scale,1.0,0.0,B0,42,0.45328330206379,0.0033104615595491846,0.35361140966415405,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.17530424892902374,0.2073705792427063,0.18181881308555603
scale_1.0,scale,1.0,0.0,B2,42,0.45966228893058164,0.0028454981777393477,0.3678968548774719,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.16796359419822693,0.17411351203918457,0.18181881308555603
scale_1.0,scale,1.0,0.0,B0,43,0.251031894934334,0.118180202921099,0.2528492212295532,0.547951634864068,0.5203111222622501,0.09132350981235504,0.04288620129227638,0.09905721247196198,0.1743624210357666,0.3364129066467285,0.427410364151001
scale_1.0,scale,1.0,0.0,B2,43,0.22851782363977488,0.15610608278787994,0.2360963225364685,0.6105264305142744,0.5860043426520791,0.07881678640842438,0.04288620129227638,0.11156393587589264,0.1743624210357666,0.3364129066467285,0.427410364151001
scale_1.0,scale,1.0,0.0,B0,44,0.33921200750469044,0.032251821744604225,0.4398268461227417,0.7505686417342127,0.4702062825235181,0.10436619818210602,0.0445224829018116,0.09262783825397491,0.16799426078796387,0.26474088430404663,0.37212857604026794
scale_1.0,scale,1.0,0.0,B2,44,0.34333958724202635,0.030080596152322735,0.45883283019065857,0.8027804000208465,0.4702062825235181,0.10436619818210602,0.0445224829018116,0.09262783825397491,0.16191869974136353,0.29286545515060425,0.37443235516548157
scale_1.0,scale,1.0,0.0,B0,45,0.2992495309568481,0.0606762964396292,0.34617096185684204,0.7982894802512757,0.6160183933823954,0.06785307824611664,0.067080557346344,0.10885612666606903,0.13296814262866974,0.21930065751075745,0.2605910003185272
scale_1.0,scale,1.0,0.0,B2,45,0.2433395872420263,0.13026454283231093,0.32147055864334106,0.7157521560478738,0.6475082513276326,0.06228853017091751,0.06322695314884186,0.11442067474126816,0.13296814262866974,0.2072892189025879,0.2605910003185272
scale_1.0,scale,1.0,0.0,B0,46,0.011632270168855536,0.9432080234485396,-0.347546249628067,0.37275618576387654,0.5089344365921455,0.04539019986987114,0.028163358569145203,0.047041866928339005,0.07365821301937103,0.14152756333351135,0.14782525599002838
scale_1.0,scale,1.0,0.0,B2,46,0.04371482176360226,0.7888242303415803,-0.3083796501159668,0.3545168448659169,0.5096562230786789,0.045323483645915985,0.028163358569145203,0.04710858315229416,0.07593094557523727,0.14152756333351135,0.14782525599002838
scale_1.2,scale,1.2,0.0,B0,42,0.3797373358348969,0.015656974869754595,0.2730522155761719,0.7416018879277866,1.1000280949399983,-0.01434895396232605,0.07291749119758606,0.15779808163642883,0.16461271047592163,0.1685379594564438,0.18601059913635254
scale_1.2,scale,1.2,0.0,B2,42,0.402063789868668,0.010117424516441913,0.30103522539138794,0.6865961015781318,1.008915022968245,-0.0012788623571395874,0.07370372116565704,0.14472799003124237,0.1707034558057785,0.17333872616291046,0.18601059913635254
scale_1.2,scale,1.2,0.0,B0,43,0.09212007504690432,0.5718370440815266,0.10880504548549652,0.45764008983676746,0.4954003791369533,0.09606603533029556,0.056084126234054565,0.09431468695402145,0.15841324627399445,0.2959449291229248,0.3914310932159424
scale_1.2,scale,1.2,0.0,B2,43,0.11144465290806756,0.49358065798078776,0.16570712625980377,0.5441974687305173,0.6670259446067179,0.06339183449745178,0.056084126234054565,0.12698888778686523,0.17988404631614685,0.29476064443588257,0.3847748041152954
scale_1.2,scale,1.2,0.0,B0,44,0.44521575984990625,0.003992618710730209,0.46943163871765137,0.6832210301925483,0.4680634383486974,0.10478832572698593,0.04040268808603287,0.092205710709095,0.1906222254037857,0.2817525267601013,0.38980916142463684
scale_1.2,scale,1.2,0.0,B2,44,0.4652908067542214,0.0024838056858930567,0.48798713088035583,0.7704415213441741,0.4680634383486974,0.10478832572698593,0.04040268808603287,0.092205710709095,0.16312457621097565,0.24703094363212585,0.38980916142463684
scale_1.2,scale,1.2,0.0,B0,45,0.12945590994371484,0.4259465730563533,0.35572654008865356,0.7846430136786972,0.4680776062880161,0.0939955785870552,0.07310868799686432,0.08271362632513046,0.13425956666469574,0.19215695559978485,0.23575285077095032
scale_1.2,scale,1.2,0.0,B2,45,0.12157598499061914,0.4548761565535585,0.3437384068965912,0.7669520075066945,0.48292874410853,0.09137124568223953,0.07310868799686432,0.08533795922994614,0.12088032066822052,0.19215695559978485,0.2834436595439911
scale_1.2,scale,1.2,0.0,B0,46,-0.056848030018761736,0.7275251450594078,-0.39312100410461426,0.32532849254500085,0.42390956835625543,0.05324922502040863,0.01887851022183895,0.039182841777801514,0.0829496681690216,0.127670019865036,0.13607633113861084
scale_1.2,scale,1.2,0.0,B2,46,0.0001876172607879925,0.999083256819481,-0.33465030789375305,0.3104735183107657,0.499443200218304,0.046267494559288025,0.01423652097582817,0.04616457223892212,0.0829496681690216,0.127670019865036,0.1525559425354004
offset_-0.2,offset,1.0,-0.2,B0,42,0.0,1.0,0.0,0.8286890270704544,1.0249053271583264,-0.0035726577043533325,0.07224355638027191,0.14702178537845612,0.16733604669570923,0.16004931926727295,0.17794474959373474
offset_-0.2,offset,1.0,-0.2,B2,42,0.0,1.0,0.0,0.8273874811140165,1.0249053271583264,-0.0035726577043533325,0.07224355638027191,0.14702178537845612,0.16733604669570923,0.16004931926727295,0.17794474959373474
offset_-0.2,offset,1.0,-0.2,B0,43,-0.5842401500938087,7.555116213894112e-05,-0.29104018211364746,0.17645830410703384,0.6034188239705442,0.07550140470266342,0.09374761581420898,0.1148793175816536,0.20475345849990845,0.2684032917022705,0.4253975749015808
offset_-0.2,offset,1.0,-0.2,B2,43,-0.5909943714821764,5.940193914729091e-05,-0.3001641035079956,0.17184534579797783,0.5528028156826426,0.08513771742582321,0.09374761581420898,0.1052430048584938,0.20475345849990845,0.2684032917022705,0.4253975749015808
offset_-0.2,offset,1.0,-0.2,B0,44,0.2992495309568481,0.0606762964396292,0.1921856701374054,0.6317803415019368,0.655571967000198,0.067850261926651,0.07157713174819946,0.12914377450942993,0.2548312544822693,0.3257526755332947,0.3749561607837677
offset_-0.2,offset,1.0,-0.2,B2,44,0.300562851782364,0.059499836293283634,0.19830548763275146,0.6376362056097846,0.655571967000198,0.067850261926651,0.0688612312078476,0.12914377450942993,0.2548312544822693,0.32249438762664795,0.3749561607837677
offset_-0.2,offset,1.0,-0.2,B0,45,0.0758044848068197,0.6420053173664129,-0.5607064366340637,0.5546222169694299,0.5362095073526183,0.08195604383945465,0.051756832748651505,0.09475316107273102,0.36465173959732056,0.441723108291626,0.48833197355270386
offset_-0.2,offset,1.0,-0.2,B2,45,0.08397054077619308,0.6064501144685072,-0.5564072132110596,0.5533658093554628,0.5362095073526183,0.08195604383945465,0.05853889137506485,0.09475316107273102,0.36465173959732056,0.441723108291626,0.451741099357605
offset_-0.2,offset,1.0,-0.2,B0,46,-0.2900834987904536,0.0694107085084172,-0.45966967940330505,0.25258076426762294,0.46938119003877565,0.04904618859291077,0.03235587105154991,0.04338587820529938,0.06689051538705826,0.10340076684951782,0.12809941172599792
offset_-0.2,offset,1.0,-0.2,B2,46,-0.2942390744243469,0.0653354837147253,-0.45547282695770264,0.25258076426762294,0.46938119003877565,0.04904618859291077,0.03235587105154991,0.04338587820529938,0.06689051538705826,0.09763285517692566,0.12809941172599792
offset_+0.2,offset,1.0,0.2,B0,42,-0.031619441352361256,0.8464218500160324,0.20891247689723969,0.7178121871344753,0.7492105813548401,0.035975515842437744,0.07224355638027191,0.10747361183166504,0.16282323002815247,0.19181741774082184,0.21044690907001495
offset_+0.2,offset,1.0,0.2,B2,42,-0.03846334260059528,0.8137145499296499,0.21351571381092072,0.7178159208829671,0.7492105813548401,0.035975515842437744,0.07224355638027191,0.10747361183166504,0.16282323002815247,0.19181741774082184,0.21044690907001495
