beta,seed,domain,n_candidates,spearman_rho,spearman_pval,pearson_r,ndcg_20pct,ose_20pct,regret_20pct,dq_10pct,dq_20pct,dq_40pct,dq_60pct,dq_80pct,d_norm,mu_shift,sigma_shift,t_ema_ms,t_infer_ms,t_selection_ms,t_total_ms
0.8,42,tum_fr1_desk_val,40,0.3575984990619137,0.02348658628256184,0.2836386561393738,0.541391219043127,0.8347005286817778,0.03698185086250305,0.05306234583258629,0.1867445707321167,0.258422315120697,0.32290804386138916,0.4076228439807892,0.680030107498169,6.476266384124756,7.3117170333862305,0.08657400030642748,0.487904002511641,4.078751000633929,4.653229003451997
0.8,42,tum_fr2_xyz,40,0.46341463414634154,0.002599607407110345,0.3846738338470459,0.6701175308392764,0.5273044166429476,0.06780776381492615,0.0747782289981842,0.07564136385917664,0.17335668206214905,0.1754675805568695,0.18181881308555603,0.6232602596282959,5.768312454223633,3.7827563285827637,0.13161199967726134,0.6259209985728376,2.8881540019938257,3.6456870002439246
0.8,43,tum_fr1_desk_val,40,0.44840525328330205,0.003709545334327634,0.513575553894043,0.5425048735437473,0.5092958213630072,0.15196862816810608,0.12577305734157562,0.15772637724876404,0.32953977584838867,0.4562920331954956,0.5197800993919373,0.2198217809200287,1.7819173336029053,5.524752140045166,0.0693340007273946,0.3964339994126931,2.1958650031592697,2.6616330032993574
0.8,43,tum_fr2_xyz,40,0.249718574108818,0.12018128339071224,0.2502610981464386,0.6199589345205854,0.5997467326848257,0.07620050013065338,0.04288620129227638,0.11418022215366364,0.1743624210357666,0.3364129066467285,0.4134129583835602,0.5731950402259827,5.006926536560059,10.233649253845215,0.06659900100203231,0.2888390008592978,1.6108659983729012,1.9663040002342314
0.8,44,tum_fr1_desk_val,40,0.3416510318949344,0.03095378277623839,0.5370414853096008,0.7459885031752155,1.0261358641336653,-0.0057944804430007935,0.14109469950199127,0.22750018537044525,0.24477484822273254,0.40086829662323,0.404529869556427,0.4667719900608063,4.383055686950684,10.986788749694824,0.055223001254489645,0.2058629979728721,1.6647240008751396,1.9258100001025014
0.8,44,tum_fr2_xyz,40,0.33245778611632276,0.03608166164451033,0.4679555594921112,0.7797611662128205,0.4702062825235181,0.10436619818210602,0.031851787120103836,0.09262783825397491,0.16232550144195557,0.2633393108844757,0.37443235516548157,0.1521727442741394,0.8234460353851318,1.1137341260910034,0.05938899994362146,0.2726480015553534,1.6869729988684412,2.019010000367416
0.8,45,tum_fr1_desk_val,40,-0.016885553470919325,0.9176340384640626,0.07538720220327377,0.1829024777741195,0.3691153022616972,0.3624638020992279,0.050230249762535095,0.21206876635551453,0.4266049265861511,0.5926438570022583,0.8611708879470825,0.3114224076271057,2.433638572692871,5.793519496917725,0.054337000619852915,0.23654200049350038,1.60146099733538,1.8923399984487332
0.8,45,tum_fr2_xyz,40,0.20356472795497188,0.20771549014294044,0.2914015054702759,0.660236800675714,0.5685561584672741,0.07624009251594543,0.07172703742980957,0.10046911239624023,0.14840568602085114,0.22006621956825256,0.23479357361793518,0.27501800656318665,1.9570492506027222,9.341463088989258,0.05491900083143264,0.22806599736213684,1.7205920012202114,2.003576999413781
0.8,46,tum_fr1_desk_val,40,-0.09699812382739213,0.5515603045648172,0.11699489504098892,0.15359946376494366,0.2608598359384746,0.24656707793474197,0.03237529098987579,0.08701928704977036,0.26414260268211365,0.35308122634887695,0.5976654291152954,0.46544769406318665,3.9861996173858643,1.5041366815567017,0.05760199928772636,0.26150700068683363,1.5460610011359677,1.8651700011105277
0.8,46,tum_fr2_xyz,40,0.0628517823639775,0.7000256231980622,-0.26943719387054443,0.34685597693514053,0.471104062824879,0.04888693988323212,0.024367643520236015,0.04354512691497803,0.07593094557523727,0.14152756333351135,0.1495063304901123,0.3026127219200134,2.1481809616088867,2.9044623374938965,0.053157000365899876,0.2855499988072552,1.590931999089662,1.929638998262817
0.9,42,tum_fr1_desk_val,40,0.4080675422138837,0.008951853105400982,0.2753061354160309,0.5353709373151184,0.8347005286817778,0.03698185086250305,0.05306234583258629,0.1867445707321167,0.26380670070648193,0.3261391520500183,0.4076228439807892,0.34001433849334717,3.2381255626678467,3.6558585166931152,0.05832099850522354,0.23501400210079737,1.7008489994623233,1.9941840000683442
0.9,42,tum_fr2_xyz,40,0.45966228893058164,0.0028454981777393477,0.3678968548774719,0.6684974309559377,0.6828823562245171,0.045490242540836334,0.0747782289981842,0.09795888513326645,0.16796359419822693,0.17411351203918457,0.18181881308555603,0.3116290867328644,2.8841447830200195,1.8913781642913818,0.05468499875860289,0.21482099691638723,1.5527739997196477,1.8222799953946378
0.9,43,tum_fr1_desk_val,40,0.4643527204502815,0.0025411277747663798,0.539492130279541,0.795008988233768,0.8401212626786612,0.04951363801956177,0.12577305734157562,0.26018136739730835,0.30881041288375854,0.4650680124759674,0.5197800993919373,0.10991017520427704,0.8909512162208557,2.762376070022583,0.0543610003660433,0.22272099886322394,1.5880619976087473,1.8651439968380146
0.9,43,tum_fr2_xyz,40,0.22851782363977488,0.15610608278787994,0.2360963225364685,0.6105264305142744,0.5860043426520791,0.07881678640842438,0.04288620129227638,0.11156393587589264,0.1743624210357666,0.3364129066467285,0.427410364151001,0.28659722208976746,2.5034594535827637,5.116820335388184,0.05548799890675582,0.2546869982325006,1.5717839996796101,1.8819589968188666
0.9,44,tum_fr1_desk_val,40,0.29174484052532834,0.06775810252566332,0.5148946642875671,0.8016148601910761,0.6967370813501583,0.06723511219024658,0.14109469950199127,0.15447059273719788,0.24477484822273254,0.3367002010345459,0.398575097322464,0.23338526487350464,2.1915204524993896,5.493398189544678,0.0542029993084725,0.1861969976744149,2.282983001350658,2.5233829983335454
0.9,44,tum_fr2_xyz,40,0.34333958724202635,0.030080596152322735,0.45883283019065857,0.8027804000208465,0.4702062825235181,0.10436619818210602,0.0445224829018116,0.09262783825397491,0.16191869974136353,0.29286545515060425,0.37443235516548157,0.07608713954687119,0.4117276072502136,0.5568654537200928,0.09624900121707469,0.41026800317922607,2.014581001276383,2.521098005672684
0.9,45,tum_fr1_desk_val,40,-0.04465290806754222,0.7843989449011584,0.09389802813529968,0.20870827295609698,0.3564372469422842,0.36974775791168213,0.050230249762535095,0.2047848105430603,0.4266049265861511,0.49478572607040405,0.7068386077880859,0.15571020543575287,1.2168081998825073,2.8967559337615967,0.054044001444708556,0.26233600146952085,1.6494299998157658,1.9658100027299952
