candidate_idx,context_size,context_type,overlap_bin,depth_bin,delta_q_single,delta_q_conditional,utility_single,utility_conditional,deviation_dq,ratio_rq,sign_flip,iou_with_context,depth_conflict_with_context,scene,frame
38,2,high_utility,medium,near,0.009827620146171702,0.008696119624025726,0.006444577458487486,0.006300884526200599,-0.0011315005221459757,0.8847752273153937,False,0.12715062662140522,0.1896378735963098,tum_fr1_desk,0
3530,1,overlap_top,high,near,-0.00899402978310041,-0.010286607393680529,-0.006969214193253505,-0.007543427265535312,-0.0012925776105801188,-1.1435879192981324,False,0.554945780625191,0.07483455883595279,tum_fr1_desk,0
3598,8,random,high,far,0.0008879361077221719,-0.011993815664678465,0.0004635713553045374,-0.005981315338385893,-0.012881751772400637,-13.49232589439039,True,0.685888073673999,1.0016398297543785,tum_fr1_desk,0
3610,4,high_utility,low,medium,0.0009671641578433549,-0.00019605638224704913,0.0005974735218428968,-0.0001045543529167057,-0.001163220540090404,-0.20250324354474838,True,0.02490726630760909,0.3163787576627969,tum_fr1_desk,0
526,2,spatial_knn,medium,near,0.0037136267318885205,0.0036271331701960884,0.0022420086491734942,0.002164114268053526,-8.649356169243214e-05,0.9764462036141245,False,0.4242835149826049,0.005407002447689062,tum_fr1_desk,0
1016,2,high_utility,medium,medium,0.0055450187879425615,0.001828476394495856,0.004536602292048004,0.0015356640503206898,-0.0037165423934467055,0.3296917057820095,False,0.47866181209794156,0.28041772135819376,tum_fr1_desk,0
2013,2,spatial_knn,high,near,0.004223275928334796,0.0012302428824487702,0.004270727140841175,0.0012592182520303242,-0.0029930330458860254,0.29123165799771283,False,0.6380472805097506,0.11147651915405814,tum_fr1_desk,0
4197,2,random,high,medium,-0.003889483214902863,-0.004210782976926615,-0.0035724584814225174,-0.003722117056945852,-0.00032129976202375176,-1.0823290435483215,False,0.779759881496552,0.38391900926239614,tum_fr1_desk,0
2720,1,high_utility,medium,far,0.003289984960600331,0.0032282183801624568,0.0020261728803709946,0.0019898534722483817,-6.176658043787451e-05,0.9809277218859047,False,0.19363601269002198,1.29515479656883,tum_fr1_desk,0
917,8,spatial_knn,high,near,8.408741006963433e-05,-0.0073989768850539475,6.277643947233128e-05,-0.005820120265462387,-0.007483064295123582,-86.95736395077402,True,0.7529900033859093,0.022551664786912423,tum_fr1_desk,0
2270,2,random,medium,near,0.00516058050634189,0.002203047210619383,0.002979271126029121,0.001158077319384982,-0.002957533295722507,0.4268164001147634,False,0.1339860658072558,0.0331346451855227,tum_fr1_desk,0
250,2,high_utility,high,far,0.008915725004361372,0.0065465300932562665,0.006795804386922199,0.004607485810782111,-0.0023691949111051052,0.7341854873907417,False,0.7481614522395678,0.883229348206522,tum_fr1_desk,0
2134,2,random,high,near,0.012578778609583275,0.010770896665162146,0.009461262529740463,0.007189858270945496,-0.0018078819444211297,0.856207171798467,False,0.653838215969995,0.1806182915805139,tum_fr1_desk,0
3804,1,random,high,near,-0.0003014772209692339,0.0002021629555848236,-0.00020433006787114015,0.0001389398668483232,0.0005036401765540575,0.6683576202433649,True,0.6974268532737614,0.07423624745416618,tum_fr1_desk,0
4130,2,spatial_knn,low,medium,0.005093432739239528,0.006222757176779029,0.004083584457622985,0.00548496444735759,0.0011293244375395006,1.2214818597659867,False,0.01668891143323048,0.31775663008763627,tum_fr1_desk,0
4611,2,high_utility,low,near,0.004821386940133681,0.005952639730531419,0.005803008214849119,0.007409605798238846,0.0011312527903977378,1.2343762133625897,False,0.024522001764644853,0.08939362594166896,tum_fr1_desk,0
3811,2,high_utility,high,medium,0.0063689152048005794,0.006021100957502654,0.00506567698326834,0.004820802078304515,-0.0003478142472979251,0.94524036253496,False,0.6936251968979589,0.25930552240579874,tum_fr1_desk,0
3714,2,random,high,medium,0.0001341740889340148,-0.00016507854841702634,7.412376723330957e-05,-9.030242378961926e-05,-0.00029925263735104115,-1.221229229054463,True,0.6343648756845053,0.319271379418718,tum_fr1_desk,0
1,4,overlap_top,high,near,0.009382701748629478,0.010522975811071832,0.005865396374701988,0.006812574895653037,0.0011402740624423544,1.1214098756504862,False,0.6208001656283436,0.15591459764384655,tum_fr1_desk,0
4599,1,overlap_top,low,near,-0.0013581168396902578,-0.0015148472379127836,-0.001760435436364499,-0.0017259153256245078,-0.00015673039822252586,-1.114582053341357,False,0.05530622894929556,0.17243083723187022,tum_fr1_desk,0
4396,1,overlap_top,medium,far,0.011058460280595133,0.011827913124103407,0.01720108287861609,0.014520441316914472,0.0007694528435082744,1.0694837563508048,False,0.3128652293214086,1.046147412546343,tum_fr1_desk,0
2891,4,overlap_top,medium,near,0.009688057800370208,0.007505451370186145,0.011323872940928481,0.011366311651418317,-0.002182606430184062,0.7746317056648554,False,0.1888403706771712,0.02290131676678112,tum_fr1_desk,0
2212,4,overlap_top,high,near,0.0007037477870988722,0.00140480855122698,0.0008060589018045977,0.0014667335888363209,0.0007010607641281079,1.9933493612089812,False,0.7588666838811471,0.08731744231922163,tum_fr1_desk,0
1939,8,random,high,medium,0.008112504574434402,0.011616526207816578,0.004849985098709014,0.006102829394765591,0.003504021633382176,1.431751976133738,False,0.6445361223600425,0.2640993040907765,tum_fr1_desk,0
1008,8,random,low,medium,0.0016419937029296802,0.0016047714664198386,0.0012662325058995943,0.0011713495326264225,-3.7222236509841595e-05,0.9767362245870534,False,0.04135746979322157,0.30649784663387686,tum_fr1_desk,0
3249,8,high_utility,medium,far,0.0015964170994570885,-0.0024925118877558465,0.001159338362637594,-0.0017462514166005157,-0.004088928987212935,-1.5603388048137037,True,0.11867456076967109,1.2944253253600135,tum_fr1_desk,0
1364,2,overlap_top,medium,medium,0.00413935338595193,-0.0010364246832492872,0.006011143816205589,-0.0016842989514479537,-0.0051757780692012175,-0.25032275910694934,True,0.24634395327295275,0.36590950426225183,tum_fr1_desk,0
2474,8,random,medium,near,0.004527135733124089,0.0046215676092380975,0.007064244494206769,0.008416069653344481,9.443187611400802e-05,1.0206336297365244,False,0.12493107583373915,0.08019184102900147,tum_fr1_desk,0
3072,8,random,high,medium,0.0018455618221420997,0.007866005425234728,0.001293522723213568,0.005437850444323497,0.006020443603092628,4.259811575715232,False,0.6916870687640294,0.43897771710164263,tum_fr1_desk,0
703,8,spatial_knn,high,medium,0.0042461421745987275,6.195496603292674e-05,0.005156127975953676,8.281795694707832e-05,-0.004184187208565801,0.014587448097091378,False,0.661471106969502,0.3298581774293176,tum_fr1_desk,0
1637,1,overlap_top,medium,near,0.00702571286639009,0.005520952779461191,0.004198016297570332,0.0036681617572796844,-0.0015047600869288994,0.7857091764584271,False,0.2309484764245105,0.034660170776981344,tum_fr1_desk,0
821,2,random,high,medium,-0.0026686112637011134,-0.004647946407179734,-0.0023059747778804525,-0.0037121883532284555,-0.001979335143478621,-1.741057385537055,False,0.6098281078212926,0.47956964293433263,tum_fr1_desk,0
735,2,high_utility,medium,medium,-0.004702643016912585,-0.003373773724926771,-0.0032537169212729605,-0.0020244262861113427,0.0013288692919858143,-0.7172682350246204,False,0.3169381532874043,0.35669295060934325,tum_fr1_desk,0
