idx_i,idx_j,delta_q_i,delta_q_j,delta_q_ij,interaction_residual,overlap_iou,distance_3d,depth_conflict,overlap_bin,depth_bin,additivity_ratio,cost_i_ms,cost_j_ms,cost_ij_ms,scene,frame
1685,769,0.0044835707650561635,0.0013086784941440768,0.006111151443889623,0.0003189021846893834,0.0,2.209382128343645,0.050878887574381554,low,near,1.0548745911777442,0.5871254182522991,1.7992642186624028,2.5653502776900714,tum_fr1_desk,0
474,1082,0.005837173645764544,0.0031654761952987194,0.008927406081755296,-7.524375930796547e-05,0.9304516790923154,0.05229735923099227,1.456534381466559,high,far,0.9915319053213023,0.510599457829576,0.5345936375621236,1.2221288437724296,tum_fr1_desk,0
646,2888,-0.0006590870510911387,0.0014126224911432503,0.0005896683235573414,-0.00016386711649477018,0.0,2.9225787805823047,0.2890037030720496,low,medium,0.7814985118745599,1.073692986900744,1.9748463287101823,3.2052562788860537,tum_fr1_desk,0
1955,1585,0.0014762722584778412,-0.001003193449594025,0.00045958158414588214,-1.3497224737933922e-05,0.030341646982185822,2.068487428210863,0.1740272527756195,low,near,0.9694202219836262,0.5515827816728276,1.8639806031181732,2.4626778383432053,tum_fr1_desk,0
4911,3342,-0.0043255955696132106,0.007459961321788356,0.003331226988044269,0.00019686123586912352,0.026484254183493303,1.584200662474542,1.047842139820868,low,far,1.062468385301857,1.6626992350416718,1.9092484123462836,3.6828795631906486,tum_fr1_desk,0
2062,3884,0.006408805194743053,0.0014217585880587974,0.005909286240882275,-0.001921277541919575,0.1510893784338106,1.1965980045839721,0.09496813296264771,medium,near,0.7545474192343419,0.9214017645310711,1.3140441247373726,2.3883020005793894,tum_fr1_desk,0
200,4875,-0.0013846100015297937,0.005058381444204339,0.00244926836186126,-0.0012245030808132856,0.9344546019488713,0.06629024551462709,0.3916988726363997,high,medium,0.666509033301579,1.6569055200289187,0.6110669776011355,2.326011621468922,tum_fr1_desk,0
2690,3840,0.0004539381207439271,-0.00039587118922644994,0.0006831185763058732,0.000625051644788396,0.22503020979538224,0.9673978490612036,0.1179942639552394,medium,near,11.565161059767378,1.8308191138644898,1.2083223877429239,3.2069535030359546,tum_fr1_desk,0
1678,3242,-0.00266881420456025,0.005921040938269692,0.0003211113899194923,-0.0029311153437899494,0.29123700434687155,0.8054015521459058,0.06758845999612632,medium,near,0.09870550570367101,1.843645393510279,1.2130553347731676,3.246414770433876,tum_fr1_desk,0
1363,1981,0.00490344770865013,0.01011460249670687,0.014407728188009665,-0.0006103220173473345,0.06003989967302751,2.6473801250950104,0.29373245897084527,low,medium,0.9592968923474743,1.1848018557243654,0.8276606558252504,2.096654216709127,tum_fr1_desk,0
3748,4779,0.008859310667748883,0.0028777664697741635,0.011409414990925279,-0.0003276621465977682,0.0,2.693469334774305,0.0776060238418144,low,near,0.9720003419003668,1.1406616829393845,1.7270221488837396,2.8349250294449506,tum_fr1_desk,0
3457,1636,0.0037275897194438317,-0.001330303101152144,7.180999153526052e-05,-0.002325476626756427,0.3266953715249246,0.6953544477405573,0.2450028591995094,medium,medium,0.02994220581792311,0.880873120901517,0.8703140942579017,1.843863574822338,tum_fr1_desk,0
4218,4496,0.0023011510497051323,0.014316210562426431,0.013099304322653785,-0.003518057289477781,0.7626393568042107,0.20186231618746858,0.08215816564262311,high,near,0.7882428261213889,0.7173423081368346,1.2341791404163445,2.1086625892789304,tum_fr1_desk,0
3397,2511,0.005759665163433871,-0.002009139216748469,0.0009892443096258634,-0.0027612816370595388,0.1257325105855656,1.9153022002510596,0.30115134814129146,medium,medium,0.26369118158436133,1.752953743383857,0.9811700974576038,2.8379685882706895,tum_fr1_desk,0
2385,2919,0.0024982568254382064,-0.0005173782705809962,0.0016153392580246675,-0.0003655392968325427,0.04672902994564995,2.048814867434733,0.07704724411648729,low,near,0.8150546127388966,1.4677591856141747,0.7615496435074871,2.2833376174099715,tum_fr1_desk,0
1016,3643,0.009749672025087697,5.867800511692939e-05,0.006094859978668238,-0.0037134900515363883,0.5172373932751514,0.38474688765973775,0.775857119145217,high,far,0.6213316845561783,1.4899760690512687,1.7258333003018238,3.3436154592797904,tum_fr1_desk,0
4723,4682,0.002314122998665912,0.004507981826730862,0.005975490468531977,-0.0008466143568647967,0.0,2.653777212408552,0.3615498848442137,low,medium,0.8757729247087294,1.769991713357459,1.7844864378171388,3.7005114869602513,tum_fr1_desk,0
4067,160,0.000866387722253191,0.006269988932474506,0.005850394785312644,-0.0012859818694150532,0.26807530750511516,1.1482341613571423,0.8446911703725624,medium,far,0.8196841876682276,1.172636214479371,1.9916861939162311,3.1675938986205496,tum_fr1_desk,0
1045,1693,0.0019757152767448504,8.33834686704833e-05,-0.00040999655447971923,-0.002469095299895053,0.48766695158840684,0.57752699220292,0.38289845852362286,medium,medium,-0.19901791377338096,0.9620911877785838,1.313810345832349,2.4895687915118065,tum_fr1_desk,0
4548,3067,0.0027348732522860814,0.001614491452929479,0.004362366597093468,1.3001891877907019e-05,0.034969211720912226,2.6815373377724843,0.2992003157209449,low,medium,1.002758824303516,1.3653558269395387,1.2387765407282958,2.7768090715257006,tum_fr1_desk,0
