seed,variant,domain,n_candidates,t_norm_ms,t_norm_per_candidate_us,t_infer_ms,t_infer_per_candidate_us,d_norm,mu_shift
42,A1_standard,fr1_desk_val,40,0.009553998097544536,0.2388499524386134,0.342786999681266,8.56967499203165,0.0,0.0
42,A1_standard,fr2_xyz,40,0.009195999155053869,0.22989997887634672,1.1977210015174933,29.943025037937332,0.0,0.0
43,A1_standard,fr1_desk_val,40,0.00920100137591362,0.2300250343978405,0.44126099965069443,11.03152499126736,0.0,0.0
43,A1_standard,fr2_xyz,40,0.009670999133959413,0.24177497834898531,0.6852890001027845,17.132225002569612,0.0,0.0
44,A1_standard,fr1_desk_val,40,0.046492001274600625,1.1623000318650156,0.8642210013931617,21.605525034829043,0.0,0.0
44,A1_standard,fr2_xyz,40,0.010959000064758584,0.2739750016189646,0.7441510024364106,18.603775060910266,0.0,0.0
45,A1_standard,fr1_desk_val,40,0.014119999832473695,0.3529999958118424,0.5112639992148615,12.781599980371539,0.0,0.0
45,A1_standard,fr2_xyz,40,0.010063999070553109,0.2515999767638277,0.8457429976260755,21.143574940651888,0.0,0.0
46,A1_standard,fr1_desk_val,40,0.012755001080222428,0.3188750270055607,2.2464879984909203,56.16219996227301,0.0,0.0
46,A1_standard,fr2_xyz,40,0.01001499913400039,0.25037497835000977,0.6436190014937893,16.09047503734473,0.0,0.0
42,A1_robust_static,fr1_desk_val,40,0.009246999979950488,0.2311749994987622,0.27241000134381466,6.810250033595366,0.0,0.0
42,A1_robust_static,fr2_xyz,40,0.011513999197632074,0.28784997994080186,0.8246580000559334,20.616450001398334,0.0,0.0
43,A1_robust_static,fr1_desk_val,40,0.009269002475775778,0.23172506189439446,0.26359800176578574,6.5899500441446435,0.0,0.0
43,A1_robust_static,fr2_xyz,40,0.014499000826617703,0.36247502066544257,0.9161729976767674,22.904324941919185,0.0,0.0
44,A1_robust_static,fr1_desk_val,40,0.01808199885999784,0.45204997149994597,0.5065760014986154,12.664400037465384,0.0,0.0
44,A1_robust_static,fr2_xyz,40,0.011250998795730993,0.28127496989327483,0.681380999594694,17.03452498986735,0.0,0.0
45,A1_robust_static,fr1_desk_val,40,0.01138500010711141,0.28462500267778523,0.40899899977375753,10.224974994343938,0.0,0.0
45,A1_robust_static,fr2_xyz,40,0.009735002095112577,0.24337505237781443,1.1510570002428722,28.776425006071804,0.0,0.0
46,A1_robust_static,fr1_desk_val,40,0.009365998266730458,0.23414995666826144,0.40314199941349216,10.078549985337304,0.0,0.0
46,A1_robust_static,fr2_xyz,40,0.010613999620545655,0.2653499905136414,1.012769997032592,25.319249925814802,0.0,0.0
42,A1_online_adaptive,fr1_desk_val,40,0.07795200144755654,1.9488000361889135,0.36304899913375266,9.076224978343816,0.34001433849334717,3.2381255626678467
42,A1_online_adaptive,fr2_xyz,40,0.0724220008123666,1.8105500203091651,0.7055349997244775,17.63837499311194,0.3116290867328644,2.8841447830200195
43,A1_online_adaptive,fr1_desk_val,40,0.06928000220796093,1.7320000551990233,0.37813100061612204,9.453275015403051,0.10991017520427704,0.8909512162208557
43,A1_online_adaptive,fr2_xyz,40,0.062319999415194616,1.5579999853798654,0.66216499908478,16.5541249771195,0.28659722208976746,2.5034594535827637
44,A1_online_adaptive,fr1_desk_val,40,0.07101699884515256,1.775424971128814,0.4169390012975782,10.423475032439455,0.23338526487350464,2.1915204524993896
44,A1_online_adaptive,fr2_xyz,40,0.12246400001458824,3.061600000364706,1.0576690001471434,26.441725003678584,0.07608713954687119,0.4117276072502136
45,A1_online_adaptive,fr1_desk_val,40,0.0711779975972604,1.77944993993151,0.4339219995017629,10.848049987544073,0.15571020543575287,1.2168081998825073
45,A1_online_adaptive,fr2_xyz,40,0.06684700201731175,1.6711750504327938,1.3456929991662037,33.64232497915509,0.137508362531662,0.9785178303718567
46,A1_online_adaptive,fr1_desk_val,40,0.06942899926798418,1.7357249816996045,0.24556799689889885,6.139199922472471,0.2327231913805008,1.9930922985076904
46,A1_online_adaptive,fr2_xyz,40,0.07453899888787419,1.8634749721968547,0.7169960008468479,17.924900021171197,0.1513056457042694,1.0740834474563599
