seed,variant,domain,step,frame,n_samples,latency_ms,t_norm_per_candidate_us,d_norm,mu_l2_shift,sigma_l2_shift,overlap_20,mean_mu,mean_sigma
42,A1_standard,tum_fr1_desk_val,0,45,125,0.0430330001108814,0.3442640008870512,0.0,0.0,0.0,1.0,9.395514488220215,11.994841575622559
42,A1_standard,tum_fr1_desk_val,1,55,125,0.06918300277902745,0.5534640222322196,0.0,0.0,0.0,0.16,9.395514488220215,11.994841575622559
42,A1_standard,tum_fr2_xyz,0,10,125,0.04370600072434172,0.34964800579473376,0.0,0.0,0.0,1.0,9.395514488220215,11.994841575622559
42,A1_standard,tum_fr2_xyz,1,20,125,0.050270999054191634,0.4021679924335331,0.0,0.0,0.0,0.24,9.395514488220215,11.994841575622559
42,A1_robust_static,tum_fr1_desk_val,0,45,125,0.0444350007455796,0.3554800059646368,0.0,0.0,0.0,1.0,6.935548305511475,4.401136875152588
42,A1_robust_static,tum_fr1_desk_val,1,55,125,0.05457099905470386,0.4365679924376309,0.0,0.0,0.0,0.12,6.935548305511475,4.401136875152588
42,A1_robust_static,tum_fr2_xyz,0,10,125,0.032106003345688805,0.25684802676551044,0.0,0.0,0.0,1.0,6.935548305511475,4.401136875152588
42,A1_robust_static,tum_fr2_xyz,1,20,125,0.054524000006495044,0.43619200005196035,0.0,0.0,0.0,0.16,6.935548305511475,4.401136875152588
42,A1_online_adaptive,tum_fr1_desk_val,0,45,125,0.0714149973646272,0.5713199789170176,0.10784061253070831,0.9505739212036133,3.2604856491088867,1.0,9.291945457458496,11.636651039123535
42,A1_online_adaptive,tum_fr1_desk_val,1,55,125,0.09329699969384819,0.7463759975507855,0.08029861003160477,0.6676039099693298,0.9246285557746887,0.16,9.370312690734863,11.746475219726562
42,A1_online_adaptive,tum_fr2_xyz,0,10,125,0.06072999894968234,0.4858399915974587,0.19065198302268982,1.2388601303100586,4.703644752502441,1.0,9.270989418029785,11.592205047607422
42,A1_online_adaptive,tum_fr2_xyz,1,20,125,0.0743629971111659,0.5949039768893272,0.07653126120567322,0.4506065547466278,0.7078193426132202,0.24,9.289249420166016,11.631295204162598
43,A1_standard,tum_fr1_desk_val,0,45,125,0.025736000679899007,0.20588800543919206,0.0,0.0,0.0,1.0,9.395514488220215,11.994841575622559
43,A1_standard,tum_fr1_desk_val,1,55,125,0.046784000005573034,0.3742720000445843,0.0,0.0,0.0,0.0,9.395514488220215,11.994841575622559
43,A1_standard,tum_fr2_xyz,0,10,125,0.027193000278202817,0.21754400222562253,0.0,0.0,0.0,1.0,9.395514488220215,11.994841575622559
43,A1_standard,tum_fr2_xyz,1,20,125,0.031946001399774104,0.25556801119819283,0.0,0.0,0.0,0.28,9.395514488220215,11.994841575622559
43,A1_robust_static,tum_fr1_desk_val,0,45,125,0.022088002879172564,0.1767040230333805,0.0,0.0,0.0,1.0,6.935548305511475,4.401136875152588
43,A1_robust_static,tum_fr1_desk_val,1,55,125,0.030970997613621876,0.247767980908975,0.0,0.0,0.0,0.2,6.935548305511475,4.401136875152588
43,A1_robust_static,tum_fr2_xyz,0,10,125,0.024519998987670988,0.1961599919013679,0.0,0.0,0.0,1.0,6.935548305511475,4.401136875152588
43,A1_robust_static,tum_fr2_xyz,1,20,125,0.03587099854485132,0.28696798835881054,0.0,0.0,0.0,0.24,6.935548305511475,4.401136875152588
43,A1_online_adaptive,tum_fr1_desk_val,0,45,125,0.06381799903465435,0.5105439922772348,0.10784061253070831,0.9505739212036133,3.2604856491088867,1.0,9.291945457458496,11.636651039123535
43,A1_online_adaptive,tum_fr1_desk_val,1,55,125,0.07081700096023269,0.5665360076818615,0.08029861003160477,0.6676039099693298,0.9246285557746887,0.04,9.370312690734863,11.746475219726562
43,A1_online_adaptive,tum_fr2_xyz,0,10,125,0.059194000641582534,0.47355200513266027,0.19065198302268982,1.2388601303100586,4.703644752502441,1.0,9.270989418029785,11.592205047607422
43,A1_online_adaptive,tum_fr2_xyz,1,20,125,0.08676200013724156,0.6940960010979325,0.07653126120567322,0.4506065547466278,0.7078193426132202,0.32,9.289249420166016,11.631295204162598
