budget_ms,seed,policy,display_name,mean_psnr,final_psnr,delta_q_vs_noop,mean_ssim,mean_actual_opt_ms,mean_n_selected,mean_fraction_selected,opt_violation_rate_pct,frame_violation_rate_pct
15.0,42,no_op,No-Op (Pass-through),12.348568233950385,12.139074802398682,0.0,0.5157214660069038,0.0,0.0,0.0,0.0,100.0
15.0,42,random,Random Selection,12.353886859170322,12.164232730865479,0.00531862521993709,0.5147714584038176,8.907655189777243,1.0344827586206897,0.02332456392242833,3.4482758620689653,100.0
15.0,42,error_only,Error-Only Heuristic,12.344280070271985,12.15455412864685,-0.00428816367839957,0.5140484571456909,8.83552123760355,1.0344827586206897,0.02331921563715379,3.4482758620689653,100.0
15.0,42,ours,Ours (Adaptive Marginal Utility),12.338194312720463,12.141588926315308,-0.01037392122992209,0.5148046499696272,10.269033497777478,0.8275862068965517,0.017717968114220117,10.344827586206897,100.0
15.0,42,full,Full Optimization (Ref. Bound),12.363363545516442,12.184364795684814,0.014795311566057734,0.515585642436455,467.643639137005,4529.862068965517,100.0,0.0,0.0
15.0,43,no_op,No-Op (Pass-through),12.345900042303677,12.161511182785034,0.0,0.5146451921298586,0.0,0.0,0.0,0.0,100.0
15.0,43,random,Random Selection,12.345492716493277,12.134897708892822,-0.0004073258104000388,0.5151635562551433,0.0,0.0,0.0,0.0,100.0
15.0,43,error_only,Error-Only Heuristic,12.33835117570285,12.149627208709717,-0.007548866600826543,0.5140403786609913,0.0,0.0,0.0,0.0,100.0
15.0,43,ours,Ours (Adaptive Marginal Utility),12.342781856142242,12.13104248046875,-0.0031181861614353323,0.5152476378555956,0.0,0.0,0.0,0.0,100.0
5.0,42,no_op,No-Op (Pass-through),12.348568233950385,12.139074802398682,0.0,0.5157214660069038,0.0,0.0,0.0,0.0,100.0
5.0,42,full,Full Optimization (Ref. Bound),12.363363545516442,12.184364795684814,0.014795311566057734,0.515585642436455,467.643639137005,4529.862068965517,100.0,0.0,0.0
5.0,42,random,Random Selection,12.34130674395068,12.12678074836731,-0.007261489999704551,0.5148222055928461,0.0,0.0,0.0,0.0,100.0
5.0,42,error_only,Error-Only Heuristic,12.342002638455096,12.153513431549072,-0.00656559549528879,0.5140745516481071,0.0,0.0,0.0,0.0,100.0
5.0,42,ours,Ours (Adaptive Marginal Utility),12.346075855452439,12.144410610198975,-0.002492378497946035,0.5149973764501768,0.0,0.0,0.0,0.0,100.0
5.0,43,no_op,No-Op (Pass-through),12.345900042303677,12.161511182785034,0.0,0.5146451921298586,0.0,0.0,0.0,0.0,100.0
5.0,43,random,Random Selection,12.346292734146118,12.167870998382568,0.0003926918424408399,0.5148224758690801,0.0,0.0,0.0,0.0,100.0
5.0,43,error_only,Error-Only Heuristic,12.332254237142102,12.14725375175476,-0.013645805161575097,0.5141194061986332,0.0,0.0,0.0,0.0,100.0
5.0,43,ours,Ours (Adaptive Marginal Utility),12.342034290576803,12.156674861907959,-0.0038657517268738673,0.5144920338844431,0.0,0.0,0.0,0.0,100.0
